KEY,PL
#OPTIONS_PIXELPERFECT_INFO,"Zakładane ustawienia wizualne, nasz artysta się ucieszy.\nDostępne tylko przy wyborze właściwej rozdzielczości."
#OPTIONS_UNIFORMSCALING,"Skalowanie jednorodne"
#OPTIONS_UNIFORMSCALINGFAST,"Szybkie jednorodne"
#OPTIONS_UNIFORMSCALING_INFOGOOD,"Właściwy format obrazu, skalowany do twojej rozdzielczości.\nW tej chwili pixel perfect."
#OPTIONS_UNIFORMSCALING_INFOBAD,"Właściwy format obrazu, skalowany do twojej rozdzielczości.\nW tej chwili rozciąga piksele."
#OPTIONS_FORCEPIXELPERFECT,"Wymuszaj Pixel Perfect"
#OPTIONS_FORCEPIXELPERFECT_INFO,"Zakładane ustawienia wizualne, nasz artysta się ucieszy.\nMoże spowodować wyświetlanie czarnych pasów."
#OPTIONS_MINIMAPSTYLE,"Wyświetlanie minimapy"
#OPTIONS_MINIMAPALWAYS,"Zawsze"
#OPTIONS_MINIMAPNONCOMBAT,"Poza walką"
#OPTIONS_MINIMAPNEVER,"Nigdy"
#OPTIONS_HIGH,"Wysokie"
#OPTIONS_FAST,"Szybkie"
#OPTIONS_MEDIUM,"Średnie"
#OPTIONS_LOW,"Niskie"
#OPTIONS_VERYLOW,"Bardzo Niskie"
#OPTIONS_SLOW,"Powolne"
#OPTIONS_INSTANT,"Natychmiastowe"
#OPTIONS_PS4,"PS4"
#OPTIONS_XBOX,"Xbox"
#OPTIONS_BLANKCONTROL,"Dodatkowe ślepaki"
#OPTIONS_NONE,"Brak"
#OPTIONS_BOTHSTICKSDOWN,"Oba drążki w dół"
#OPTIONS_SHOOT,"Strzał"
#OPTIONS_DODGEROLL,"Unik z przewrotem"
#OPTIONS_INTERACT,"Interakcja"
#OPTIONS_RELOAD,"Przeładowanie"
#OPTIONS_MOVE,"Ruch"
#OPTIONS_MOVEUP,"Ruch w górę"
#OPTIONS_MOVEDOWN,"Ruch w dół"
#OPTIONS_MOVELEFT,"Ruch w lewo"
#OPTIONS_MOVERIGHT,"Ruch w prawo"
#OPTIONS_AIM,"Celuj"
#OPTIONS_AIMUP,"Celuj w górę"
#OPTIONS_AIMDOWN,"Celuj w dół"
#OPTIONS_AIMLEFT,"Celuj w lewo"
#OPTIONS_AIMRIGHT,"Celuj w prawo"
#OPTIONS_MENUUP,"Menu Up"
#OPTIONS_MENUDOWN,"Menu Down"
#OPTIONS_MENULEFT,"Menu Left"
#OPTIONS_MENURIGHT,"Menu Right"
#OPTIONS_MENUSELECT,"Menu Select"
#OPTIONS_MENUCANCEL,"Menu Cancel"
#OPTIONS_USEITEM,"Użycie przedmiotu"
#OPTIONS_USEBLANK,"Użycie ślepaka"
#OPTIONS_MAP,"Mapa"
#OPTIONS_MAP_HOLD,"Mapa"
#OPTIONS_CYCLEGUNUP,"Następna broń"
#OPTIONS_CYCLEGUNDOWN,"Poprzednia broń"
#OPTIONS_CYCLEITEMUP,"Następny przedmiot"
#OPTIONS_CYCLEITEMUP_HOLD,"Zmień przedmiot (Przytrzymaj)"
#OPTIONS_CYCLEITEMDOWN,"Poprzedni przedmiot"
#OPTIONS_DROPGUN,"Upuszczenie broni"
#OPTIONS_DROPITEM,"Upuszczenie przedmiotu"
#OPTIONS_LANGUAGE,"Język"
#OPTIONS_PAUSE,"Pauza"
#OPTIONS_INVENTORY,"Ekwipunek"
#OPTIONS_EDITKEYBOARDBINDINGS,"Edytuj ustawienia klawiszy"
#OPTIONS_PLAYERONE,"Gracz 1"
#OPTIONS_PLAYERTWO,"Gracz 2"
#OPTIONS_CONTROLLERPORT,"Port kontrolera"
#OPTIONS_CONTROLLERCURSOR,"Kontroler kursora"
#OPTIONS_BUTTONIMAGES,"Obrazki przycisków kontrolera"
#OPTIONS_EDITP1BINDINGS,"Edytuj ustawienia kontrolera dla P1"
#OPTIONS_EDITP2BINDINGS,"Edytuj ustawienia kontrolera dla P2"
#PAUSE_PAUSED,"PAUZA"
#PAUSE_RESUME,"Wznów"
#OPTIONS,"Opcje"
#AMMONOMICON,"Amunomicon"
#PAUSE_QUICKRESTART,"Szybki restart"
#PAUSE_EXITTOMAINMENU,"Wyjdź do głównego menu"
#PAUSE_QUITTODESKTOP,"Wyjdź do pulpitu"
#AMMONOMICON_HEADEREQUIPMENT,"Ekwipunek"
#AMMONOMICON_HEADERGUNS,"BROŃ"
#AMMONOMICON_HEADERGUNS_LC,"Broń"
#AMMONOMICON_HEADERITEMS,"PRZEDMIOTY"
#AMMONOMICON_HEADERENEMIES,"WROGOWIE"
#AMMONOMICON_HEADERBOSSES,"BOSSOWIE"
#JOINEDTHESHOOTOUT1,"DOŁĄCZA"
#JOINEDTHESHOOTOUT2,"STRZELANINA"
#AMMONOMICON_UNKNOWN,"Brak danych"
#AMMONOMICON_QUESTIONS,"???"
#AMMONOMICON_MYSTERIOUS,"Loch Giwer ciągle kryje jakieś sekrety."
#DEATH_YOUWON,"WYGRYWASZ"
#DEATH_YOUDIED,"UMIERASZ"
#DEATH_GUNGEONEER,"GIWEROWNIK"
#DEATH_AREA,"OBSZAR"
#DEATH_TIME,"CZAS"
#DEATH_MONEY,"PIENIĄDZE"
#DEATH_KILLS,"ZABÓJSTWA"
#DEATH_PASTHAUNTS,"Przeszłość ciągle cię dręczy"
#DEATH_PASTKILLED,"Udało ci się zabić Przeszłość"
#DEATH_HELLCLEARED,"Zło przepędzone"
#DEATH_KILLEDBY,"ZABIJA CIĘ"
#DEATH_NOBODY,"Nikt. Świetnie ci poszło!"
#DEATH_QUICKRESTART," Szybki restart"
#DEATH_MAINMENU," Powrót do Wyłomu"
#LANGUAGE_ENGLISH,"Angielski"
#LANGUAGE_SPANISH,"Hiszpański"
#LANGUAGE_FRENCH,"Francuski"
#LANGUAGE_ITALIAN,"Włoski"
#LANGUAGE_GERMAN,"Niemiecki"
#LANGUAGE_PORTUGUESE,"Portugalski"
#LANGUAGE_POLISH,"Polski"
#LANGUAGE_RUSSIAN,"Rosyjski"
#LANGUAGE_JAPANESE,"Japoński"
#LANGUAGE_KOREAN,"Koreański"
#AREYOUSURE,"Na pewno?"
#AYS_QUITTODESKTOP,"Wyjść do pulpitu?"
#AYS_QUICKRESTART,"Zrestartować?"
#AYS_SAVEOPTIONS,"Zastosować zmiany?"
#AYS_MADECHANGES,"Anulować zmiany?"
#AYS_RESETDEFAULTS,"Przywrócić ustawienia domyślne?"
#YES,"Tak"
#NO,"Nie"
#ENDGAME_STANDARD_THANKS,"Dziękujemy za grę!"
#ENDGAME_STANDARD_MYSTERY,"Loch Giwer ciągle kryje sekrety..."
#ENDGAME_STANDARD_PAST,"Udało ci się zabić Przeszłość. Loch Giwer nadal tu jest..."
#HOW_TO_PLAY,"Po prostu użyj uniku z przewrotem."
#ACHIEVEMENT_ALTERNATE,"Ukończ grę korzystając wyłącznie ze startowej broni z nieskończoną amunicją."
#SELECTITEM,"Wybór przedmiotu"
#DROPWORD,"Upuszczenie"
#PANMAP,"Przesuwanie mapy"
#SELECTTELEPORT,"Wybór teleportu"
#TELEPORT,"Teleportu"
#CURRENTITEM,"Przedmiot"
#CHARACTERSELECT_PASTKILLED,"Przeszłość zabita"
#OPTIONS_RESETSAVESLOT,"Zresetuj postępy zapisu"
#AYS_CHANGESAVESLOT,"Zmienić miejsce zapisu?"
#AYS_RESETSAVESLOT,"Zresetować postępy?"
#AYS_RESETSAVESLOT2,"%CURRENTSLOT (%PLAYTIMEHOURS godz.)"
#OPTIONS_CONTROLLERSOUND,"Dźwięk kontrolera"
#MAINMENU_NEW_PLAY,"Graj"
#MAINMENU_NEW_QUIT,"Wyjdź"
#MAINMENU_NEW_QUICKSTART,"Szybki start"
#EXIT_COOP,"Wyjdź z trybu współpracy"
#FULL_CREDITS,"Enter the Gungeon\nby Dodge Roll LLC\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\nSFX by:\nErica Hampson\n\nMusic by:\nAdam 'Doseone' Drucker\n\nAdditional Level Design by:\nJon 'Storklord' Malloy\n\nVO by:\nErica Hampson\nAdam Drucker\nErnest Hampson VI\n\nTesters:\nDaren Makuck\nJames Barry\nJohn Michelli\nThomas Shamburger\nRitvik Bansal\nNorman Ren\nJerome Dendy\nVincent Morreale\n\nPromotional Art by:\nMax Grecke\n\nLogo by:\nCory Schmitz\n\nAdditional Art by:\nJohn Cipriani\nMaximo Lorenzo\nJared Lunt\nEric Polak\nMichael Phillippi\n\nTrailers by:\nKert Gartner\n\nAdditional Footage Capture by:\nDaren Makuck\n\nAnimated Trailer by:\nPowerhouse Animation\n\nWebsite by:\nNoel Barry\n\nComic by:\nDayjob Studio\nFederico Chemello\nRiccardo Gamba\nMaurizio Furini\n\nDevolver Digital:\nNigel Lowrie\nGraeme Struthers\nRick Stults\nHarry Miller\nMike Wilson\nAndrew Parsons\n\nPorting and Optimization Assistance by:\n22nd Century Toys LLC\nTony Bratton\nJoe Barton\nSean Barton\n\nLocalization:\nSophie Cristobal\nLoc & Load\nStudio Muehl\nA.C.E.\nKakehashi Games\nDICO Co., Ltd.\n\nJapanese Localization by:\nKeiko Fukuichi\n\nSpecial Thanks:\nPaul Barnett\nKate Flack\nKate Ludlow\nJohn Bartkiw\nJM Specht\nAthena Frazier\nElizabeth Petrov\nLinsey Miller\nZach Huntly\nNick Suttner\nESC Toys\nNick LaMartina\nLeah Henry\nPam & Frank Plummer\nErnest Hampson III\nLee Hampson\nJohn Yentes\nBrian DiMaggio\nDennis Liang\n\nMade with Unity\n2D Toolkit by Unikron Software\nAlagard Font by Hewett Tsoi 'Pix3M'\n\nPowered by Wwise © 2006 – 2016* Audiokinetic Inc.\nAll rights reserved.\n\n\n\nThanks for playing!"
#MAINMENU_CONTINUE,"Kontynuuj"
#QUICKRESTARTDETAIL,"Zachować zmienne?"
#OPTIONS_BEASTMODELVL2,"Tryb bestii poz. 2"
#OPTIONS_TINYUI,"Maleńki UI"
#OPTIONS_CHALLENGESLOWDOWN,"Opóźnienie w sali wyzwań"
#CH_BEST_FOR_LAST,"Do ostatniego naboju"
#CH_BLOBULIN_RANCHER,"Hodowca blobulinów"
#CH_BOO_ROOM,"Nie mrugaj"
#CH_POT_SHOTS,"Ostatnie strzały"
#CH_CURSE_POTS,"Przekleństwo porcelany"
#CH_DARKNESS,"Ciemna noc"
#CH_DRAGUN,"Furia giwerny"
#CH_FINAL_ATTACK,"Ostateczny atak"
#CH_EXPLODING_ENEMIES,"Wybuchowa ofiara"
#CH_FLAME_TRAPS,"Zemsta gryzoni"
#CH_FRIENDLY_FIRE,"Zwodniczy strzał"
#CH_GHOSTS,"Duch z łuski"
#CH_GUN_QUEUE,"Kolejka broni"
#CH_HAMMERTIME,"Czas giweromłotów"
#CH_HIGH_STRESS,"Nerwowa sprawa"
#CH_KING_ENEMY,"Niech żyje król"
#CH_THERMAL_CLIPS,"Gorący grunt"
#CH_POISON_TRAIL,"Trujący szpieg"
#CH_ADRENALINE,"Adrenalinowy kop"
#CH_SHOCKWAVE,"Śmiercionośna fala"
#CH_ROCKETS,"Zemsta mewy"
#CH_MEDUZI,"Spojrzenie giwergona"
#CH_ZONE_CONTROL,"Strefa kontrolna"
#OPTIONS_CONTROLLERTYPES,"Typy sterowników"
#OPTIONS_CONTROLLERTYPES_DEFAULT,"Domyślne"
#OPTIONS_CONTROLLERTYPES_XINPUTONLY,"Tylko X wychodzące"
#OPTIONS_CONTROLLERTYPES_NOXINPUT,"Brak X wychodzących"
#OPTIONS_ALLOWUNKNOWNCONTROLLERS,"Pozwalaj na nieznane sterowniki"
#TERMINATOR_SHORTNAME,"Arena"
#TERMINATOR_NAME,"Arena Imperatora"
#TERMINATOR_SECONDLINE,"Przeszłość (117 lat wcześniej)"
#BULLETPAST_SHORTNAME,"Loch"
#BULLETPAST_NAME,"Właściwy Loch Giwer"
#BULLETPAST_SECONDLINE,"Przeszłość (? lat wcześniej)"
#SWITCH_PERFORMANCE,"Ustawienia wizualne"
#SWITCH_BEAUTY,"Wysokie"
#SWITCH_BALANCED,"Średnie"
#SWITCH_SPEED,"Szybkie"
#CHAR_RANDOM,"Losowa"
#RELOAD_BEHOLD,"Uwaga"
#CH_DEMONWALL,"Nocna straż"
#CH_HIGHPRIEST,"Mała niegodziwość"
#CH_BOSSSTATUES,"Bardzo złe szachy"
#OPTIONS_AIMASSIST_BEAM,"Zakres pomocy w celowaniu wiązką"
#OPTIONS_AIMASSIST_BEAM_BINARY,"Stała pomoc w celowaniu wiązką"
#OPTIONS_GAMESPEED,"Szybkość gry"
#OPTIONS_GAMESPEED_NORMAL,"Klasyczna"
#OPTIONS_GAMESPEED_TURBO,"Turbo"
#OPTIONS_SPEEDUP_OOC,"Zwiększ szybkość poza walką"
#OPTIONS_PUNCHOUT_DODGELEFT,"Unik w lewo"
#OPTIONS_PUNCHOUT_DODGERIGHT,"Unik w prawo"
#OPTIONS_PUNCHOUT_BLOCK,"Blok"
#OPTIONS_PUNCHOUT_DUCK,"Kucnięcie"
#OPTIONS_PUNCHOUT_PUNCHLEFT,"Lewy prosty"
#OPTIONS_PUNCHOUT_PUNCHRIGHT,"Prawy prosty"
#OPTIONS_PUNCHOUT_SUPER,"Specjalna"
#OPTIONS_LOOTPROFILE,"Profil łupów"
#OPTIONS_LOOTPROFILE_AGAD,"Gungeons and Draguns"
#OPTIONS_LOOTPROFILE_OLD,"Oryginalny"
#SUPERDUPERAUTOAIM,"Automatyczne celowanie kontrolerem"
#SUPERDUPERAUTOAIM_OPTION_01,"Automatyczne wykrywanie"
#SUPERDUPERAUTOAIM_OPTION_02,"Zawsze"
#SUPERDUPERAUTOAIM_OPTION_03,"Nigdy"
#SUPERDUPERAUTOAIM_OPTION_04,"Tylko w trybie współpracy"
#SUPERDUPERAUTOAIM_INFO_A,"Zawsze celuje w najbliższego przeciwnika."
#SUPERDUPERAUTOAIM_INFO_B,"Zawsze celuje w najbliższego przeciwnika (o ile gracz nie zmieni wyboru)."
#SUPERDUPERAUTOAIM_WARNING_TITLE,"WSKAZÓWKA:"
#SUPERDUPERAUTOAIM_WARNING_BODY,"Aby wycelować, użyj %CONTROL_AIM !"
#SUPERDUPERAUTOAIM_POPUP_TITLE,"Aktywowano automatyczne celowanie"
#SUPERDUPERAUTOAIM_WARNING_BODY_A,"Funkcję można wyłączyć w opcjach rozgrywki."
#SUPERDUPERAUTOAIM_WARNING_BODY_B,"Więcej informacji znajdziesz w opcjach."
#OPTIONS_VIEWPRIVACY,"Polityka Prywatności"
#MISC_TITLE_BASE,"Enter the Gungeon"
#MISC_TITLE_SDU,"Aktualizacja zrzutu"
#MISC_TITLE_AGD,"Advanced Gungeons & Draguns"
#MISC_TITLE_AFTA,"A Farewell To Arms"
#MISC_TITLE_AFTA_COMBINED,"Enter the Gungeon: A Farewell To Arms"
#CHAR_SELECT_SWAP_GUNS,"Zamień giwerę startowa"
#CHAR_SELECT_CHANGE_COSTUME_A,"Załóż kostium"
#CHAR_SELECT_CHANGE_COSTUME_B,"Zmień ubranie"
#CHAR_SELECT_CHANGE_COSTUME_C,"Załóż"
#PARADOX_CHAR_NOPAST,"Bez przeszłości"
#CHAR_PARADOX,"Paradoks"
#CHAR_PARADOX_SHORT,"Paradoks"
#CHAR_GUNSLINGER,"Rewolwerowiec"
#CHAR_GUNSLINGER_SHORT,"Rewolwerowiec"
#NAKATOMI_SHORTNAME_V1,"Dział Badań i Broni"
#NAKATOMI_SHORTNAME_V2,"BiB"
#NAKATOMI_SHORTNAME_V3,"KSIĘGOWOŚĆ"
#RAINBOW_POPUP_ACTIVE,"Tęczowa Rozgrywka"
#RAINBOW_POPUP_INACTIVE,"Nie-Tęczowa Rozgrywka"
