KEY,FR
#BUTTON_MASH_TO_CONTINUE,"Écraser le bouton pour continuer"
#GENERATING_GUNGEON,"Création en cours..."
#LEVEL,"Chambre"
#FOYER_NAME,"Brèche"
#FOYER_DESC,""
#COOPEND_DESC,"Plus tôt aujourd'hui"
#TUTORIAL_SHORTNAME,"Initiation"
#GUNGEON_SHORTNAME,"Gungeon"
#CASTLE_SHORTNAME,"Forteresse"
#MINES_SHORTNAME,"Mine"
#CATACOMBS_SHORTNAME,"Limbes"
#FORGE_SHORTNAME,"Forge"
#BULLETHELL_SHORTNAME,"Enfer des Balles"
#SEWERS_SHORTNAME,"Oubliettes"
#RESOURCEFUL_RAT_LAIR_SHORTNAME,"???"
#ABBEY_SHORTNAME,"Abbaye"
#STARSHIP_SHORTNAME,"Épave"
#GUNYMEDE_SHORTNAME,"Gunymède"
#WESTERN_SHORTNAME,"Ouest"
#OFFICE_SHORTNAME,"Bureau"
#BELLY_SHORTNAME,"Ventre"
#JUNGLE_SHORTNAME,"Jungle"
#GUNGEON_NAME,"Gungeon"
#GUNGEON_NAME2,"Gungeon supérieur"
#CASTLE_NAME,"Forteresse du Seigneur du Plomb"
#CASTLE_NAME2,"Fort du Plomb"
#MINES_NAME,"Mine de Poudre à canon"
#CATACOMBS_NAME,"Limbes"
#FORGE_NAME,"Forge"
#ABBEY_NAME,"Abbaye de l'Arme Véritable"
#STARSHIP_NAME,"Épave abandonnée"
#WESTERN_NAME,"Vieil Ouest"
#TUTORIAL_NAME,"Salles de l'Initiation"
#TUTORIAL_DESC,"Chambre 0"
#AIMLESSVOID_NAME,"Néant sans cible"
#AIMLESSVOID_DESC,"Chambre ???"
#SEWERS_NAME,"Oubliettes"
#NIGHTCLUB_SHORTNAME,"Boîte de nuit"
#NIGHTCLUB_NAME,"Boîte de nuit 'Confession'"
#NIGHTCLUB_SECONDLINE,"Le passé (12 ans plus tôt)"
#SCIENCELAB_SHORTNAME,"Labo"
#SCIENCELAB_NAME,"Primerdyne R&D"
#SCIENCELAB_SECONDLINE,"Le passé (7 ans plus tôt)"
#NAZICASTLE_SHORTNAME,"Manoir"
#NAZICASTLE_NAME,"Manoir de l'Épée noire"
#NAZICASTLE_SECONDLINE,"Le passé (1147 ans plus tôt)"
#HEGEMONYSPACE_SHORTNAME,"Espace"
#HEGEMONYSPACE_NAME,"Espace de l'Hégémonie"
#HEGEMONYSPACE_SECONDLINE,"Le passé (11 ans plus tôt)"
#RELOAD,"Recharger"
#RELOAD_EMPTY,"VIDE"
#RELOAD_FULL,"PLEIN"
#OPTIONS_AUDIO,"AUDIO"
#OPTIONS_CONTROLS,"COMMANDES"
#OPTIONS_GAMEPLAY,"JEU"
#OPTIONS_VIDEO,"VIDÉO"
#OPTIONS_CANCEL,"ANNULER"
#OPTIONS_RESETDEFAULTS,"PARAMÈTRES D'ORIGINE"
#OPTIONS_CONFIRM,"CONFIRMER"
#OPTIONS_MUSICVOLUME,"Volume musique"
#OPTIONS_SFXVOLUME,"Volume effets sonores"
#OPTIONS_UIVOLUME,"Volume interface"
#OPTIONS_SPEAKERSETUP,"Dispositif écoute"
#OPTIONS_SPEAKERS,"Haut-parleurs"
#OPTIONS_HEADPHONES,"Écouteurs"
#OPTIONS_GAMMA,"Gamma"
#OPTIONS_DISPLAYSAFEAREA,"Taille"
#OPTIONS_QUICKCHARACTER,"Personnage de base"
#OPTIONS_SPEEDRUN," Mode Course"
#OPTIONS_BEASTMODE,"Mode Bestial"
#OPTIONS_AIMASSIST,"Importance aide à la visée manette"
#OPTIONS_SCREENSHAKE,"Importance tremblements écran"
#OPTIONS_COOPSCREENSHAKE,"Réduction tremblements arme coop."
#OPTIONS_STICKYFRICTION,"Degré d'adhérence"
#OPTIONS_TEXTSPEED,"Vitesse texte"
#OPTIONS_HOWTOPLAY,"Comment jouer"
#OPTIONS_VIEWCREDITS,"Voir crédits"
#OPTIONS_CONTROLLERCAMERAMOVES,"Visée manette"
#OPTIONS_SAVESLOT,"EMPLACEMENT SAUVEGARDE"
#OPTIONS_SAVESLOTA,"EMPLACEMENT A"
#OPTIONS_SAVESLOTB,"EMPLACEMENT B"
#OPTIONS_SAVESLOTC,"EMPLACEMENT C"
#OPTIONS_SAVESLOTD,"EMPLACEMENT D"
#OPTIONS_SHOWCONTROLLERCURSOR,"Curseur"
#OPTIONS_CURSOR,"Curseur"
#OPTIONS_ZOOMONLARGEBOSS,"Zoom caméra boss"
#OPTIONS_RUMBLE,"VIBRATIONS"
#OPTIONS_GUNMENU,"Menu arme"
#OPTIONS_GUNMENU_HOLD,"Menu arme (maintenir)"
#OPTIONS_QUICKSELECT,"Autoriser changement d'arme rapide"
#OPTIONS_HIDEEMPTYGUNS,"Cacher armes vides en combat"
#OPTIONS_DEBRISQUANTITY,"Quantité débris"
#OPTIONS_LIGHTINGQUALITY,"Qualité éclairage"
#OPTIONS_MONITORSELECT,"Sélection écran"
#OPTIONS_MONITOR,"Écran"
#OPTIONS_RESOLUTION,"Résolution"
#OPTIONS_SCALINGMODE,"Mode Redimensionnement"
#OPTIONS_FULLSCREEN,"Plein écran"
#OPTIONS_WINDOWED,"Fenêtré"
#OPTIONS_BORDERLESS,"Sans bords"
#OPTIONS_SCREENMODE,"Mode écran"
#OPTIONS_SHADERQUALITY,"Qualité Shader"
#OPTIONS_VSYNC,"Synchro. verticale"
#OPTIONS_RECOMMENDED,"Recommandation"
#OPTIONS_CUSTOM,"Personnalisation"
#OPTIONS_VISUALPRESET,"Modèle visuel"
#OPTIONS_REFLECTIONS,"Reflets en temps réel"
#OPTIONS_KEYBOARDMOUSE,"Clavier/Souris"
#OPTIONS_RESOLUTION_BEST,"Format d'image correct, résolution conforme au pixel près.\nMeilleur confort visuel."
#OPTIONS_RESOLUTION_GOOD,"Format d'image incorrect, résolution conforme pixel au près.\nAffichage de barres noires."
#OPTIONS_RESOLUTION_BAD,"Résolution non conforme au pixel près.\nRisque pixels étirés, sauf si le Mode Forcer Pixels conformes est activé."
#OPTIONS_PIXELPERFECT,"Conforme au pixel près"
#OPTIONS_PIXELPERFECT_INFO,"Fidèle à la création artistique de notre graphiste.\nUniquement disponible lorsque la résolution correcte est sélectionnée."
#OPTIONS_UNIFORMSCALING,"Redimensionnement uniforme"
#OPTIONS_UNIFORMSCALINGFAST,"Redimensionnement rapide"
#OPTIONS_UNIFORMSCALING_INFOGOOD,"Format d'image correct, redimensionné pour votre résolution.\nActuellement conforme au pixel près."
#OPTIONS_UNIFORMSCALING_INFOBAD,"Format d'image correct, redimensionné pour votre résolution.\nPixels étirés."
#OPTIONS_FORCEPIXELPERFECT,"Forcer Pixels conformes"
#OPTIONS_FORCEPIXELPERFECT_INFO,"Fidèle à la création artistique de notre graphiste.\nPeut entraîner l'affichage de barres noires."
#OPTIONS_MINIMAPSTYLE,"Affichage minicarte"
#OPTIONS_MINIMAPALWAYS,"Toujours"
#OPTIONS_MINIMAPNONCOMBAT,"Hors des combats"
#OPTIONS_MINIMAPNEVER,"Jamais"
#OPTIONS_HIGH,"Élevé(e)"
#OPTIONS_FAST,"Rapide"
#OPTIONS_MEDIUM,"Moyen(ne)"
#OPTIONS_LOW,"Faible"
#OPTIONS_VERYLOW,"Très Faible"
#OPTIONS_SLOW,"Lent(e)"
#OPTIONS_INSTANT,"Instantané(e)"
#OPTIONS_PS4,"PS4"
#OPTIONS_XBOX,"Xbox"
#OPTIONS_BLANKCONTROL,"Commande Ballablanc supplémentaire"
#OPTIONS_NONE,"Rien"
#OPTIONS_BOTHSTICKSDOWN,"Deux Joysticks vers le bas"
#OPTIONS_SHOOT,"Tir"
#OPTIONS_DODGEROLL,"Roulade d'esquive"
#OPTIONS_INTERACT,"Interagir"
#OPTIONS_RELOAD,"Recharger"
#OPTIONS_MOVE,"Marcher"
#OPTIONS_MOVEUP,"Vers le haut"
#OPTIONS_MOVEDOWN,"Vers le bas"
#OPTIONS_MOVELEFT,"Vers la gauche"
#OPTIONS_MOVERIGHT,"Vers la droite"
#OPTIONS_AIM,"Regarder"
#OPTIONS_AIMUP,"Viser vers le haut"
#OPTIONS_AIMDOWN,"Viser vers le bas"
#OPTIONS_AIMLEFT,"Viser vers le gauche"
#OPTIONS_AIMRIGHT,"Viser vers le droite"
#OPTIONS_MENUUP,"Menu Up"
#OPTIONS_MENUDOWN,"Menu Down"
#OPTIONS_MENULEFT,"Menu Left"
#OPTIONS_MENURIGHT,"Menu Right"
#OPTIONS_MENUSELECT,"Menu Select"
#OPTIONS_MENUCANCEL,"Menu Cancel"
#OPTIONS_USEITEM,"Utiliser objet"
#OPTIONS_USEBLANK,"Utiliser Ballablanc"
#OPTIONS_MAP,"Carte"
#OPTIONS_MAP_HOLD,"Carte (maintenir)"
#OPTIONS_CYCLEGUNUP,"Arme suivante"
#OPTIONS_CYCLEGUNDOWN,"Arme précédente"
#OPTIONS_CYCLEITEMUP,"Objet suivant"
#OPTIONS_CYCLEITEMDOWN,"Objet précédent"
#OPTIONS_DROPGUN,"Lâcher Arme (maintenir)"
#OPTIONS_DROPITEM,"Lâcher objet (maintenir)"
#OPTIONS_LANGUAGE,"Langue"
#OPTIONS_PAUSE,"Pause"
#OPTIONS_INVENTORY,"Inventaire"
#OPTIONS_EDITKEYBOARDBINDINGS,"Modifier config. clavier"
#OPTIONS_PLAYERONE,"Joueur 1"
#OPTIONS_PLAYERTWO,"Joueur 2"
#OPTIONS_CONTROLLERPORT,"Port manette"
#OPTIONS_CONTROLLERCURSOR,"Manette curseur"
#OPTIONS_BUTTONIMAGES,"Images boutons manette"
#OPTIONS_EDITP1BINDINGS,"Modifier config. manette J1"
#OPTIONS_EDITP2BINDINGS,"Modifier config. manette J2"
#PAUSE_PAUSED,"EN PAUSE"
#PAUSE_RESUME,"Reprendre"
#OPTIONS,"Options"
#AMMONOMICON,"Encyclopédie gungeonesque"
#PAUSE_QUICKRESTART,"Réinitialisation rapide"
#PAUSE_EXITTOMAINMENU,"Revenir au menu principal"
#PAUSE_QUITTODESKTOP,"Revenir au bureau"
#AMMONOMICON_HEADEREQUIPMENT,"Équipement"
#AMMONOMICON_HEADERGUNS,"ARMES"
#AMMONOMICON_HEADERGUNS_LC,"Armes"
#AMMONOMICON_HEADERITEMS,"OBJETS"
#AMMONOMICON_HEADERENEMIES,"ENNEMIS"
#AMMONOMICON_HEADERBOSSES,"BOSS"
#JOINEDTHESHOOTOUT1,"A REJOINT"
#JOINEDTHESHOOTOUT2,"LA BAGARRE"
#AMMONOMICON_UNKNOWN,"Inconnu"
#AMMONOMICON_QUESTIONS,"???"
#AMMONOMICON_MYSTERIOUS,"Certains secrets du Gungeon demeurent secrets."
#DEATH_YOUWON,"VOUS AVEZ GAGNÉ"
#DEATH_YOUDIED,"VOUS AVEZ SUCCOMBÉ"
#DEATH_GUNGEONEER,"GUNGEONNIER"
#DEATH_AREA,"ZONE"
#DEATH_TIME,"TEMPS"
#DEATH_MONEY,"ARGENT"
#DEATH_KILLS,"TUÉS"
#DEATH_PASTHAUNTS,"Le Passé vous hante encore."
#DEATH_PASTKILLED,"Vous avez tué le Passé"
#DEATH_HELLCLEARED,"Mal banni"
#DEATH_KILLEDBY,"VICTIME"
#DEATH_NOBODY,"de personne. Bravo !"
#DEATH_QUICKRESTART," Rejouer directement"
#DEATH_MAINMENU," Retour à la Brèche"
#LANGUAGE_ENGLISH,"Anglais"
#LANGUAGE_SPANISH,"Espagnol"
#LANGUAGE_FRENCH,"Français"
#LANGUAGE_ITALIAN,"Italien"
#LANGUAGE_GERMAN,"Allemand"
#LANGUAGE_PORTUGUESE,"Portugais"
#LANGUAGE_POLISH,"Polonais"
#LANGUAGE_RUSSIAN,"Russe"
#LANGUAGE_JAPANESE,"Japonais"
#LANGUAGE_KOREAN,"Coréen"
#AREYOUSURE,"Vous êtes sûr(e) ?"
#AYS_QUITTODESKTOP,"Revenir au bureau"
#AYS_QUICKRESTART,"Recommencer ?"
#AYS_SAVEOPTIONS,"Confirmer modifications ?"
#AYS_MADECHANGES,"Annuler modifications ?"
#AYS_RESETDEFAULTS,"Paramètres par défaut ?"
#YES,"Oui"
#NO,"Non"
#ENDGAME_STANDARD_THANKS,"Merci d'avoir joué !"
#ENDGAME_STANDARD_MYSTERY,"Le Gungeon recèle encore des mystères..."
#ENDGAME_STANDARD_PAST,"Vous avez tué le Passé. Le Gungeon demeure..."
#HOW_TO_PLAY,"Vous n'avez qu'à faire plus de roulades d'esquive."
#ACHIEVEMENT_ALTERNATE,"Finissez le jeu en utilisant uniquement une arme de départ à munitions infinies."
#SELECTITEM,"Sélectionner objet"
#DROPWORD,"Lâcher"
#PANMAP,"Faire défiler la carte"
#SELECTTELEPORT,"Sélectionner téléporteur"
#TELEPORT,"Teleport"
#CURRENTITEM,"Objet actuel"
#CHARACTERSELECT_PASTKILLED,"Passé tué"
#OPTIONS_RESETSAVESLOT,"Réinitialiser progression sauvegarde de l'emplacement ?"
#AYS_CHANGESAVESLOT,"Modifier emplacement sauvegarde ?"
#AYS_RESETSAVESLOT,"Réinitialiser progression ?"
#AYS_RESETSAVESLOT2,"%CURRENTSLOT (%PLAYTIMEHOURS heures)"
#OPTIONS_CONTROLLERSOUND,"Sons manette"
#MAINMENU_NEW_PLAY,"Jouer"
#MAINMENU_NEW_QUIT,"Quitter"
#MAINMENU_NEW_QUICKSTART,"Partie rapide"
#EXIT_COOP,"Quitter Coop."
#FULL_CREDITS,"Enter the Gungeon\nby Dodge Roll LLC\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\nSFX by:\nErica Hampson\n\nMusic by:\nAdam 'Doseone' Drucker\n\nAdditional Level Design by:\nJon 'Storklord' Malloy\n\nVO by:\nErica Hampson\nAdam Drucker\nErnest Hampson VI\n\nTesters:\nDaren Makuck\nJames Barry\nJohn Michelli\nThomas Shamburger\nRitvik Bansal\nNorman Ren\nJerome Dendy\nVincent Morreale\n\nPromotional Art by:\nMax Grecke\n\nLogo by:\nCory Schmitz\n\nAdditional Art by:\nJohn Cipriani\nMaximo Lorenzo\nJared Lunt\nEric Polak\nMichael Phillippi\n\nTrailers by:\nKert Gartner\n\nAdditional Footage Capture by:\nDaren Makuck\n\nAnimated Trailer by:\nPowerhouse Animation\n\nWebsite by:\nNoel Barry\n\nComic by:\nDayjob Studio\nFederico Chemello\nRiccardo Gamba\nMaurizio Furini\n\nDevolver Digital:\nNigel Lowrie\nGraeme Struthers\nRick Stults\nHarry Miller\nMike Wilson\nAndrew Parsons\n\nPorting and Optimization Assistance by:\n22nd Century Toys LLC\nTony Bratton\nJoe Barton\nSean Barton\n\nLocalization:\nSophie Cristobal\nLoc & Load\nStudio Muehl\nA.C.E.\nKakehashi Games\nDICO Co., Ltd.\n\nJapanese Localization by:\nKeiko Fukuichi\n\nSpecial Thanks:\nPaul Barnett\nKate Flack\nKate Ludlow\nJohn Bartkiw\nJM Specht\nAthena Frazier\nElizabeth Petrov\nLinsey Miller\nZach Huntly\nNick Suttner\nESC Toys\nNick LaMartina\nLeah Henry\nPam & Frank Plummer\nErnest Hampson III\nLee Hampson\nJohn Yentes\nBrian DiMaggio\nDennis Liang\n\nMade with Unity\n2D Toolkit by Unikron Software\nAlagard Font by Hewett Tsoi 'Pix3M'\n\nPowered by Wwise © 2006 – 2016* Audiokinetic Inc.\nAll rights reserved.\n\n\n\nThanks for playing!"
#MAINMENU_CONTINUE,"Continuer"
#QUICKRESTARTDETAIL,"Conserver les modificateurs ?"
#OPTIONS_BEASTMODELVL2,"Mode bestial Niv. 2"
#OPTIONS_TINYUI,"Interface réduite"
#OPTIONS_CHALLENGESLOWDOWN,"Délai salle des défis"
#CH_BEST_FOR_LAST,"Dernière Balle debout"
#CH_BLOBULIN_RANCHER,"Berger de Blobulins"
#CH_BOO_ROOM,"Ne clignez pas des yeux !"
#CH_POT_SHOTS,"Coups de pots"
#CH_CURSE_POTS,"Céramiques ensorcelées"
#CH_DARKNESS,"Dans les ténèbres"
#CH_DRAGUN,"Colère dragunnesque"
#CH_FINAL_ATTACK,"Assaut final"
#CH_EXPLODING_ENEMIES,"Bûcher explosif"
#CH_FLAME_TRAPS,"Vengeance du Rat"
#CH_FRIENDLY_FIRE,"Tirs inamicaux"
#CH_GHOSTS,"Spectracle"
#CH_GUN_QUEUE,"En file indienne"
#CH_HAMMERTIME,"L'heure du marteau"
#CH_HIGH_STRESS,"Super stress"
#CH_KING_ENEMY,"Vive le Roi"
#CH_THERMAL_CLIPS,"Chargeurs thermiques"
#CH_POISON_TRAIL,"Poursuite empoisonnée"
#CH_ADRENALINE,"Poussée d'adrénaline"
#CH_SHOCKWAVE,"Onde de choc"
#CH_ROCKETS,"Revanche du Canardeur"
#CH_MEDUZI,"Regard de la Gorgun"
#CH_ZONE_CONTROL,"Contrôle de zone"
#OPTIONS_CONTROLLERTYPES,"Types de manettes"
#OPTIONS_CONTROLLERTYPES_DEFAULT,"Par défaut"
#OPTIONS_CONTROLLERTYPES_XINPUTONLY,"Axe X seulement"
#OPTIONS_CONTROLLERTYPES_NOXINPUT,"Pas d'axe X"
#OPTIONS_ALLOWUNKNOWNCONTROLLERS,"Autoriser manettes inconnues"
#TERMINATOR_SHORTNAME,"Arène"
#TERMINATOR_NAME,"Arène de l'empereur"
#TERMINATOR_SECONDLINE,"Le passé (117 ans plus tôt)"
#BULLETPAST_SHORTNAME,"Aventure"
#BULLETPAST_NAME,"Gungeon"
#BULLETPAST_SECONDLINE,"Le passé (? ans plus tôt)"
#SWITCH_PERFORMANCE,"Modèle visuel"
#SWITCH_BEAUTY,"Élevé(e)"
#SWITCH_BALANCED,"Moyen(ne)"
#SWITCH_SPEED,"Rapide"
#CHAR_RANDOM,"Aléatoire"
#RELOAD_BEHOLD,"Recharger"
#OPTIONS_CYCLEITEMUP_HOLD,"Changer objet (maintenir)"
#CH_DEMONWALL,"La Garde Nocturne"
#CH_HIGHPRIEST,"Véritable Désordre"
#CH_BOSSSTATUES,"Échec et mort"
#OPTIONS_AIMASSIST_BEAM,"Cumul Assistance permanente visée Rayons"
#OPTIONS_AIMASSIST_BEAM_BINARY,"Assistance permanente visée Rayons"
#OPTIONS_GAMESPEED,"Vitesse du Jeu"
#OPTIONS_GAMESPEED_NORMAL,"Classique"
#OPTIONS_GAMESPEED_TURBO,"Turbo"
#OPTIONS_SPEEDUP_OOC,"Augmenter Vitesse Hors Combat"
#OPTIONS_PUNCHOUT_DODGELEFT,"Esquiver à gauche"
#OPTIONS_PUNCHOUT_DODGERIGHT,"Esquiver à droite"
#OPTIONS_PUNCHOUT_BLOCK,"Parer"
#OPTIONS_PUNCHOUT_DUCK,"Se baisser"
#OPTIONS_PUNCHOUT_PUNCHLEFT,"Direct du gauche"
#OPTIONS_PUNCHOUT_PUNCHRIGHT,"Direct du droit"
#OPTIONS_PUNCHOUT_SUPER,"Super"
#OPTIONS_LOOTPROFILE,"Type Butin"
#OPTIONS_LOOTPROFILE_AGAD,"Gungeons and Draguns"
#OPTIONS_LOOTPROFILE_OLD,"Jeu original"
#SUPERDUPERAUTOAIM,"Visée automatique manette"
#SUPERDUPERAUTOAIM_OPTION_01,"Détection comportement joueur"
#SUPERDUPERAUTOAIM_OPTION_02,"Toujours"
#SUPERDUPERAUTOAIM_OPTION_03,"Jamais"
#SUPERDUPERAUTOAIM_OPTION_04,"Uniquement en COOP"
#SUPERDUPERAUTOAIM_INFO_A,"Vise toujours l'ennemi le plus proche"
#SUPERDUPERAUTOAIM_INFO_B,"Vise toujours l'ennemi le plus proche, sauf si la visée manuelle est utilisée."
#SUPERDUPERAUTOAIM_WARNING_TITLE,"CONSEIL :"
#SUPERDUPERAUTOAIM_WARNING_BODY,"Utilisez %CONTROL_AIM pour viser !"
#SUPERDUPERAUTOAIM_POPUP_TITLE,"Visée automatique activée"
#SUPERDUPERAUTOAIM_WARNING_BODY_A,"Rendez-vous dans Options pour la désactiver."
#SUPERDUPERAUTOAIM_WARNING_BODY_B,"Pour plus d'informations, allez dans Options."
#OPTIONS_VIEWPRIVACY,"Politique De Confidentialité"
#MISC_TITLE_BASE,"Enter the Gungeon"
#MISC_TITLE_SDU,"Supply Drop Update"
#MISC_TITLE_AGD,"Advanced Gungeons & Dragons"
#MISC_TITLE_AFTA,"A Farewell To Arms"
#MISC_TITLE_AFTA_COMBINED,"Enter the Gungeon: A Farewell To Arms"
#CHAR_SELECT_SWAP_GUNS,"Changer arme de départ"
#CHAR_SELECT_CHANGE_COSTUME_A,"Enfiler Costume"
#CHAR_SELECT_CHANGE_COSTUME_B,"Changer vêtements"
#CHAR_SELECT_CHANGE_COSTUME_C,"Porter"
#PARADOX_CHAR_NOPAST,"Sans Passé"
#CHAR_PARADOX,"Le Paradoxe"
#CHAR_PARADOX_SHORT,"Paradoxe"
#CHAR_GUNSLINGER,"Le Pistolero"
#CHAR_GUNSLINGER_SHORT,"Pistolero"
#NAKATOMI_SHORTNAME_V1,"Département de R&A"
#NAKATOMI_SHORTNAME_V2,"R&A"
#NAKATOMI_SHORTNAME_V3,"COMPTABILITÉ"
#RAINBOW_POPUP_ACTIVE,"Exploration arc-en-ciel"
#RAINBOW_POPUP_INACTIVE,"Exploration monochrome"
