KEY,PT
#NIGHTCLUB_SECONDLINE,"O Passado (12 anos antes)"
#SCIENCELAB_SHORTNAME,"Laboratório"
#SCIENCELAB_NAME,"P&D Primerdyne"
#SCIENCELAB_SECONDLINE,"O Passado (7 anos antes)"
#NAZICASTLE_SHORTNAME,"Mansão"
#NAZICASTLE_NAME,"Mansão da Espada Negra"
#NAZICASTLE_SECONDLINE,"O Passado (1.147 anos antes)"
#HEGEMONYSPACE_SHORTNAME,"Espaço"
#HEGEMONYSPACE_NAME,"Espaço Hegemônico"
#HEGEMONYSPACE_SECONDLINE,"O Passado (11 anos antes)"
#RELOAD,"Recarregar"
#RELOAD_EMPTY,"VAZIO"
#RELOAD_FULL,"CHEIO"
#OPTIONS_AUDIO,"ÁUDIO"
#OPTIONS_CONTROLS,"CONTROLES"
#OPTIONS_GAMEPLAY,"JOGABILIDADE"
#OPTIONS_VIDEO,"VÍDEO"
#OPTIONS_CANCEL,"CANCELAR"
#OPTIONS_RESETDEFAULTS,"RESTAURAR PADRÃO"
#OPTIONS_CONFIRM,"CONFIRMAR"
#OPTIONS_MUSICVOLUME,"Volume das músicas"
#OPTIONS_SFXVOLUME,"Volume dos sons"
#OPTIONS_UIVOLUME,"Volume da interface"
#OPTIONS_SPEAKERSETUP,"Config. de alto-falantes"
#OPTIONS_SPEAKERS,"Alto-falantes"
#OPTIONS_HEADPHONES,"Fones de ouvido"
#OPTIONS_GAMMA,"Gama"
#OPTIONS_DISPLAYSAFEAREA,"Tamanho"
#OPTIONS_QUICKCHARACTER,"Personagem padrão"
#OPTIONS_SPEEDRUN," Modo Veloz"
#OPTIONS_BEASTMODE,"Modo Fera"
#OPTIONS_AIMASSIST,"Ajuste de ajuda de mira pelo controle"
#OPTIONS_SCREENSHAKE,"Ajuste de tremor da tela"
#OPTIONS_COOPSCREENSHAKE,"Redução de tremor da arma em Co-op"
#OPTIONS_STICKYFRICTION,"Ajuste de fricção aderente"
#OPTIONS_TEXTSPEED,"Velocidade do texto"
#OPTIONS_HOWTOPLAY,"Como jogar"
#OPTIONS_VIEWCREDITS,"Ver créditos"
#OPTIONS_CONTROLLERCAMERAMOVES,"Visão de mira pelo controle"
#OPTIONS_SAVESLOT,"ESPAÇO DE JOGO SALVO"
#OPTIONS_SAVESLOTA,"ESPAÇO A"
#OPTIONS_SAVESLOTB,"ESPAÇO B"
#OPTIONS_SAVESLOTC,"ESPAÇO C"
#OPTIONS_SAVESLOTD,"ESPAÇO D"
#OPTIONS_SHOWCONTROLLERCURSOR,"Cursor"
#OPTIONS_CURSOR,"Cursor"
#OPTIONS_ZOOMONLARGEBOSS,"Zoom da câmera no chefão"
#OPTIONS_RUMBLE,"VIBRAÇÃO"
#OPTIONS_GUNMENU,"Menu de arma"
#OPTIONS_GUNMENU_HOLD,"Menu de arma (segure)"
#OPTIONS_QUICKSELECT,"Habilitar troca rápida de arma"
#OPTIONS_HIDEEMPTYGUNS,"Ocultar armas vazias em combate"
#OPTIONS_DEBRISQUANTITY,"Quantidade de destroços"
#OPTIONS_LIGHTINGQUALITY,"Qualidade de iluminação"
#OPTIONS_MONITORSELECT,"Selecionar monitor"
#OPTIONS_MONITOR,"Monitor"
#OPTIONS_RESOLUTION,"Resolução"
#OPTIONS_SCALINGMODE,"Modo de escala"
#OPTIONS_FULLSCREEN,"Tela inteira"
#OPTIONS_WINDOWED,"Modo em janela"
#OPTIONS_BORDERLESS,"Sem margem"
#OPTIONS_SCREENMODE,"Modo de tela"
#OPTIONS_SHADERQUALITY,"Qualidade de sombras"
#OPTIONS_VSYNC,"Modo V-Sync"
#OPTIONS_RECOMMENDED,"Recomendado"
#OPTIONS_CUSTOM,"Personalizado"
#OPTIONS_VISUALPRESET,"Visual predefinido"
#OPTIONS_REFLECTIONS,"Reflexos em tempo real"
#OPTIONS_KEYBOARDMOUSE,"Teclado/mouse"
#OPTIONS_RESOLUTION_BEST,"Taxa de proporção correta, resolução em Pixel Perfect.\nA melhor experiência visual."
#OPTIONS_RESOLUTION_GOOD,"Taxa de proporção incorreta, resolução em Pixel Perfect.\nResultará em margens pretas."
#OPTIONS_RESOLUTION_BAD,"Sem resolução em Pixel Perfect.\Poderá esticar os pixels, se o modo de escala não for Pixel Perfect à força."
#OPTIONS_PIXELPERFECT,"Pixel Perfect"
#OPTIONS_PIXELPERFECT_INFO,"Design visual pretendido, deixando nosso artista contente.\nDisponível somente com a resolução correta selecionada."
#OPTIONS_UNIFORMSCALING,"Escala uniforme"
#OPTIONS_UNIFORMSCALINGFAST,"Escala rápida"
#OPTIONS_UNIFORMSCALING_INFOGOOD,"Taxa de proporção correta, adaptada à sua resolução.\nAtualmente em Pixel Perfect."
#OPTIONS_UNIFORMSCALING_INFOBAD,"Taxa de proporção correta, adaptada à sua resolução.\nOs pixels na tela estão esticados."
#OPTIONS_FORCEPIXELPERFECT,"Forçar Pixel Perfect"
#OPTIONS_FORCEPIXELPERFECT_INFO,"Design visual pretendido, deixando nosso artista contente.\nPoderá resultar em margens pretas."
#OPTIONS_MINIMAPSTYLE,"Exibir minimapa"
#OPTIONS_MINIMAPALWAYS,"Sempre"
#OPTIONS_MINIMAPNONCOMBAT,"Fora de combate"
#OPTIONS_MINIMAPNEVER,"Nunca"
#OPTIONS_HIGH,"Alto"
#OPTIONS_FAST,"Rápido"
#OPTIONS_MEDIUM,"Médio"
#OPTIONS_LOW,"Baixo"
#OPTIONS_VERYLOW,"Muito Baixo"
#OPTIONS_SLOW,"Lento"
#OPTIONS_INSTANT,"Instantâneo"
#OPTIONS_PS4,"PS4"
#OPTIONS_XBOX,"Xbox"
#OPTIONS_BLANKCONTROL,"Atribuição adicional de Apagão"
#OPTIONS_NONE,"Nenhum"
#OPTIONS_BOTHSTICKSDOWN,"Dois controles apertados"
#OPTIONS_SHOOT,"Atirar"
#OPTIONS_DODGEROLL,"Cambalhota"
#OPTIONS_INTERACT,"Interagir"
#OPTIONS_RELOAD,"Recarregar"
#OPTIONS_MOVE,"Mover"
#OPTIONS_MOVEUP,"Mover para cima"
#OPTIONS_MOVEDOWN,"Mover para baixo"
#OPTIONS_MOVELEFT,"Mover para esquerda"
#OPTIONS_MOVERIGHT,"Mover para direita"
#OPTIONS_AIM,"Mirar"
#OPTIONS_AIMUP,"Mirar para cima"
#OPTIONS_AIMDOWN,"Mirar para baixo"
#OPTIONS_AIMLEFT,"Mirar para esquerda"
#OPTIONS_AIMRIGHT,"Mirar para direita"
#OPTIONS_MENUUP,"Menu Up"
#OPTIONS_MENUDOWN,"Menu Down"
#OPTIONS_MENULEFT,"Menu Left"
#OPTIONS_MENURIGHT,"Menu Right"
#OPTIONS_MENUSELECT,"Menu Select"
#OPTIONS_MENUCANCEL,"Menu Cancel"
#OPTIONS_USEITEM,"Usar item"
#OPTIONS_USEBLANK,"Usar Apagão"
#OPTIONS_MAP,"Mapa"
#OPTIONS_MAP_HOLD,"Mapa (segure)"
#OPTIONS_CYCLEGUNUP,"Arma seguinte"
#OPTIONS_CYCLEGUNDOWN,"Arma anterior"
#OPTIONS_CYCLEITEMUP,"Item seguinte"
#OPTIONS_CYCLEITEMUP_HOLD,"Mudar item (segure)"
#OPTIONS_CYCLEITEMDOWN,"Item anterior"
#OPTIONS_DROPGUN,"Largar arma (segure)"
#OPTIONS_DROPITEM,"Largar item (segure)"
#OPTIONS_LANGUAGE,"Idioma"
#OPTIONS_PAUSE,"Pausa"
#OPTIONS_INVENTORY,"Inventário"
#OPTIONS_EDITKEYBOARDBINDINGS,"Editar mapeamento de teclas"
#OPTIONS_PLAYERONE,"Jogador 1"
#OPTIONS_PLAYERTWO,"Jogador 2"
#OPTIONS_CONTROLLERPORT,"Porta de controle"
#OPTIONS_CONTROLLERCURSOR,"Cursor de controle"
#OPTIONS_BUTTONIMAGES,"Imagens de botões do controle"
#OPTIONS_EDITP1BINDINGS,"Editar botões de controle de J1"
#OPTIONS_EDITP2BINDINGS,"Editar botões de controle de J2"
#PAUSE_PAUSED,"EM PAUSA"
#PAUSE_RESUME,"Continuar"
#OPTIONS,"Opções"
#AMMONOMICON,"Tironomicon"
#PAUSE_QUICKRESTART,"Reinício rápido"
#PAUSE_EXITTOMAINMENU,"Sair para menu principal"
#PAUSE_QUITTODESKTOP,"Sair para área de trabalho"
#AMMONOMICON_HEADEREQUIPMENT,"Equipamentos"
#AMMONOMICON_HEADERGUNS,"ARMAS"
#AMMONOMICON_HEADERGUNS_LC,"Armas"
#AMMONOMICON_HEADERITEMS,"ITENS"
#AMMONOMICON_HEADERENEMIES,"INIMIGOS"
#AMMONOMICON_HEADERBOSSES,"CHEFÕES"
#JOINEDTHESHOOTOUT1,"ENTROU"
#JOINEDTHESHOOTOUT2,"O TIROTEIO"
#AMMONOMICON_UNKNOWN,"Desconhecido"
#AMMONOMICON_QUESTIONS,"???"
#AMMONOMICON_MYSTERIOUS,"Alguns segredos do Balabirinto permanecem ocultos."
#DEATH_YOUWON,"VOCÊ VENCEU"
#DEATH_YOUDIED,"VOCÊ MORREU"
#DEATH_GUNGEONEER,"BALEXPLORADOR"
#DEATH_AREA,"ÁREA"
#DEATH_TIME,"TEMPO"
#DEATH_MONEY,"DINHEIRO"
#DEATH_KILLS,"MORTES"
#DEATH_PASTHAUNTS,"O Passado assombra você."
#DEATH_PASTKILLED,"Você matou o Passado."
#DEATH_HELLCLEARED,"Mal banido"
#DEATH_KILLEDBY,"MORTO POR"
#DEATH_NOBODY,"Ninguém. Ótimo trabalho!"
#DEATH_QUICKRESTART," Reinício rápido"
#DEATH_MAINMENU," Voltar para a Fenda"
#LANGUAGE_ENGLISH,"Inglês"
#LANGUAGE_SPANISH,"Espanhol"
#LANGUAGE_FRENCH,"Francês"
#LANGUAGE_ITALIAN,"Italiano"
#LANGUAGE_GERMAN,"Alemão"
#LANGUAGE_PORTUGUESE,"Português"
#LANGUAGE_POLISH,"Polonês"
#LANGUAGE_RUSSIAN,"Russo"
#LANGUAGE_JAPANESE,"Japonês"
#LANGUAGE_KOREAN,"Coreano"
#AREYOUSURE,"Tem certeza?"
#AYS_QUITTODESKTOP,"Sair para área de trabalho?"
#AYS_QUICKRESTART,"Reiniciar?"
#AYS_SAVEOPTIONS,"Confirmar alterações?"
#AYS_MADECHANGES,"Descartar alterações?"
#AYS_RESETDEFAULTS,"Restaurar padrão?"
#YES,"Sim"
#NO,"Não"
#ENDGAME_STANDARD_THANKS,"Obrigado por jogar!"
#ENDGAME_STANDARD_MYSTERY,"O Balabirinto ainda reserva mistérios..."
#ENDGAME_STANDARD_PAST,"Você matou o passado. O Balabirinto perdura..."
#HOW_TO_PLAY,"É só dar uma cambalhota."
#ACHIEVEMENT_ALTERNATE,"Termine o jogo usando apenas uma arma inicial com munição infinita."
#SELECTITEM,"Selecionar item"
#DROPWORD,"Largar"
#PANMAP,"Mover mapa"
#SELECTTELEPORT,"Selecionar Teletransporte"
#TELEPORT,"Teleporte"
#CURRENTITEM,"Item atual"
#CHARACTERSELECT_PASTKILLED,"Passado morto"
#OPTIONS_RESETSAVESLOT,"Apagar o progresso no jogo salvo"
#AYS_CHANGESAVESLOT,"Alterar o jogo salvo?"
#AYS_RESETSAVESLOT,"Apagar o progresso?"
#AYS_RESETSAVESLOT2,"%CURRENTSLOT (%PLAYTIMEHOURS horas de jogo)"
#OPTIONS_CONTROLLERSOUND,"Som do controle"
#MAINMENU_NEW_PLAY,"Jogar"
#MAINMENU_NEW_QUIT,"Sair"
#EXIT_COOP,"Sair do modo Co-Op"
#FULL_CREDITS,"Enter the Gungeon\nby Dodge Roll LLC\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\nSFX by:\nErica Hampson\n\nMusic by:\nAdam 'Doseone' Drucker\n\nAdditional Level Design by:\nJon 'Storklord' Malloy\n\nVO by:\nErica Hampson\nAdam Drucker\nErnest Hampson VI\n\nTesters:\nDaren Makuck\nJames Barry\nJohn Michelli\nThomas Shamburger\nRitvik Bansal\nNorman Ren\nJerome Dendy\nVincent Morreale\n\nPromotional Art by:\nMax Grecke\n\nLogo by:\nCory Schmitz\n\nAdditional Art by:\nJohn Cipriani\nMaximo Lorenzo\nJared Lunt\nEric Polak\nMichael Phillippi\n\nTrailers by:\nKert Gartner\n\nAdditional Footage Capture by:\nDaren Makuck\n\nAnimated Trailer by:\nPowerhouse Animation\n\nWebsite by:\nNoel Barry\n\nComic by:\nDayjob Studio\nFederico Chemello\nRiccardo Gamba\nMaurizio Furini\n\nDevolver Digital:\nNigel Lowrie\nGraeme Struthers\nRick Stults\nHarry Miller\nMike Wilson\nAndrew Parsons\n\nPorting and Optimization Assistance by:\n22nd Century Toys LLC\nTony Bratton\nJoe Barton\nSean Barton\n\nLocalization:\nSophie Cristobal\nLoc & Load\nStudio Muehl\nA.C.E.\nKakehashi Games\nDICO Co., Ltd.\n\nJapanese Localization by:\nKeiko Fukuichi\n\nSpecial Thanks:\nPaul Barnett\nKate Flack\nKate Ludlow\nJohn Bartkiw\nJM Specht\nAthena Frazier\nElizabeth Petrov\nLinsey Miller\nZach Huntly\nNick Suttner\nESC Toys\nNick LaMartina\nLeah Henry\nPam & Frank Plummer\nErnest Hampson III\nLee Hampson\nJohn Yentes\nBrian DiMaggio\nDennis Liang\n\nMade with Unity\n2D Toolkit by Unikron Software\nAlagard Font by Hewett Tsoi 'Pix3M'\n\nPowered by Wwise © 2006 – 2016* Audiokinetic Inc.\nAll rights reserved.\n\n\n\nThanks for playing!"
#MAINMENU_CONTINUE,"Continuar"
#QUICKRESTARTDETAIL,"Manter modificadores?"
#OPTIONS_BEASTMODELVL2,"Modo insano nvl. 2"
#OPTIONS_TINYUI,"IU minúscula"
#OPTIONS_CHALLENGESLOWDOWN,"Atraso na sala de desafios"
#CH_BEST_FOR_LAST,"Última bala viva"
#CH_BLOBULIN_RANCHER,"Blobulim Fazendeiro"
#CH_BOO_ROOM,"Não pisque"
#CH_POT_SHOTS,"Tiros no escuro"
#CH_CURSE_POTS,"Cerâmica maldita"
#CH_DARKNESS,"Escuridão da noite"
#CH_DRAGUN,"Ira do Dragarma"
#CH_FINAL_ATTACK,"Ataque final"
#CH_EXPLODING_ENEMIES,"Pira explosiva"
#CH_FLAME_TRAPS,"Vingança do rato"
#CH_FRIENDLY_FIRE,"Fogo inimigo"
#CH_GHOSTS,"Fantasma do projétil"
#CH_GUN_QUEUE,"Fila de armas"
#CH_HAMMERTIME,"Martela o martelão"
#CH_HIGH_STRESS,"Grande estresse"
#CH_KING_ENEMY,"Vida longa ao Rei"
#CH_THERMAL_CLIPS,"Pentes térmicos"
#CH_POISON_TRAIL,"Perseguição venenosa"
#CH_ADRENALINE,"Surto de adrenalina"
#CH_SHOCKWAVE,"Onda de choque"
#CH_ROCKETS,"Vingança da gaivota"
#CH_MEDUZI,"Olhar da Metralhadusa"
#CH_ZONE_CONTROL,"Controle local"
#OPTIONS_CONTROLLERTYPES,"Tipos de controles"
#OPTIONS_CONTROLLERTYPES_DEFAULT,"Padrão"
#OPTIONS_CONTROLLERTYPES_XINPUTONLY,"Apenas XInput"
#OPTIONS_CONTROLLERTYPES_NOXINPUT,"Sem XInput"
#OPTIONS_ALLOWUNKNOWNCONTROLLERS,"Permitir controles desconhecidos"
#TERMINATOR_SHORTNAME,"Arena"
#TERMINATOR_NAME,"Arena do Imperador"
#TERMINATOR_SECONDLINE,"O Passado (117 anos antes)"
#BULLETPAST_SHORTNAME,"Labirinto"
#BULLETPAST_NAME,"Balabirinto - Interior"
#BULLETPAST_SECONDLINE,"O Passado (? anos antes)"
#SWITCH_PERFORMANCE,"Visual predefinido"
#SWITCH_BEAUTY,"Alto"
#SWITCH_BALANCED,"Médio"
#SWITCH_SPEED,"Rápido"
#CHAR_RANDOM,"Aleatório"
#RELOAD_BEHOLD,"Obserbe"
#CH_DEMONWALL,"Patrulha da Noite"
#CH_HIGHPRIEST,"Algo Maligno"
#CH_BOSSSTATUES,"Xadrez Horroroso"
#OPTIONS_AIMASSIST_BEAM,"Uso contínuo de ajuda na mira do feixe"
#OPTIONS_AIMASSIST_BEAM_BINARY,"Ajuda contínua na mira do feixe"
#OPTIONS_GAMESPEED,"Velocidade do jogo"
#OPTIONS_GAMESPEED_NORMAL,"Clássica"
#OPTIONS_GAMESPEED_TURBO,"Turbo"
#OPTIONS_SPEEDUP_OOC,"Aumentar a velocidade fora de combate"
#OPTIONS_PUNCHOUT_DODGELEFT,"Esquivar para esquerda"
#OPTIONS_PUNCHOUT_DODGERIGHT,"Esquivar para direita"
#OPTIONS_PUNCHOUT_BLOCK,"Bloquear"
#OPTIONS_PUNCHOUT_DUCK,"Agachar"
#OPTIONS_PUNCHOUT_PUNCHLEFT,"Golpear para esquerda"
#OPTIONS_PUNCHOUT_PUNCHRIGHT,"Golpear para direita"
#OPTIONS_PUNCHOUT_SUPER,"Especial"
#OPTIONS_LOOTPROFILE,"Perfil dos espólios"
#OPTIONS_LOOTPROFILE_AGAD,"Gungeons and Draguns"
#OPTIONS_LOOTPROFILE_OLD,"Original"
#SUPERDUPERAUTOAIM,"Mira automática do controle"
#SUPERDUPERAUTOAIM_OPTION_01,"Detecção automática"
#SUPERDUPERAUTOAIM_OPTION_02,"Sempre"
#SUPERDUPERAUTOAIM_OPTION_03,"Nunca"
#SUPERDUPERAUTOAIM_OPTION_04,"Somente CO-OP"
#SUPERDUPERAUTOAIM_INFO_A,"Sempre selecionar o inimigo mais próximo."
#SUPERDUPERAUTOAIM_INFO_B,"Sempre selecionar o inimigo mais próximo, se o direcional não for usado."
#SUPERDUPERAUTOAIM_WARNING_TITLE,"DICA:"
#SUPERDUPERAUTOAIM_WARNING_BODY,"Use %CONTROL_AIM para mirar!"
#SUPERDUPERAUTOAIM_POPUP_TITLE,"Mira automática ativada"
#SUPERDUPERAUTOAIM_WARNING_BODY_A,"Entre em Opções de Jogabilidade para desativar."
#SUPERDUPERAUTOAIM_WARNING_BODY_B,"Entre em Opções para saber mais."
#OPTIONS_VIEWPRIVACY,"Política de Privacidade"
#MISC_TITLE_BASE,"Enter the Gungeon"
#MISC_TITLE_SDU,"Atualização de Remessa de Suprimentos"
#MISC_TITLE_AGD,"Advanced Gungeons & Draguns"
#MISC_TITLE_AFTA,"A Farewell To Arms"
#MISC_TITLE_AFTA_COMBINED,"Enter the Gungeon: A Farewell To Arms"
#CHAR_SELECT_SWAP_GUNS,"Trocar arma inicial"
#CHAR_SELECT_CHANGE_COSTUME_A,"Vestir traje"
#CHAR_SELECT_CHANGE_COSTUME_B,"Trocar de roupa"
#CHAR_SELECT_CHANGE_COSTUME_C,"Vestir"
#PARADOX_CHAR_NOPAST,"Sem passado"
#CHAR_PARADOX,"O Paradoxo"
#CHAR_PARADOX_SHORT,"Paradoxo"
#CHAR_GUNSLINGER,"O Pistoleiro"
#CHAR_GUNSLINGER_SHORT,"Pistoleiro"
#NAKATOMI_SHORTNAME_V1,"Departamento de P&A"
#NAKATOMI_SHORTNAME_V2,"P&D"
#NAKATOMI_SHORTNAME_V3,"CONTABILIDADE"
#RAINBOW_POPUP_ACTIVE,"Aventura Colorida"
#RAINBOW_POPUP_INACTIVE,"Aventura Monocromática"
