KEY,EN,QU
#OPTIONS_SHADERQUALITY,"Shader Quality","RUBEL"
#OPTIONS_VSYNC,"V-Sync","RUBEL"
#OPTIONS_RECOMMENDED,"Recommended","RUBEL"
#OPTIONS_CUSTOM,"Custom","RUBEL"
#OPTIONS_VISUALPRESET,"Visual Preset","RUBEL"
#OPTIONS_REFLECTIONS,"Realtime Reflections","RUBEL"

#OPTIONS_KEYBOARDMOUSE,"Keyboard/Mouse","RUBEL"

#OPTIONS_RESOLUTION_BEST,"Correct Aspect Ratio, Pixel Perfect Resolution.\nThe best visual experience.","RUBEL"
#OPTIONS_RESOLUTION_GOOD,"Incorrect Aspect Ratio, Pixel Perfect Resolution.\nWill result in black bars.","RUBEL"
#OPTIONS_RESOLUTION_BAD,"Not Pixel Perfect Resolution.\nMight stretch pixels, unless Scaling Mode is Force Pixel Perfect.","RUBEL"

#OPTIONS_PIXELPERFECT,"Pixel Perfect","RUBEL"
#OPTIONS_PIXELPERFECT_INFO,"Intended Visual Design, makes our artist happy.\nOnly available when correct resolution is selected.","RUBEL"
#OPTIONS_UNIFORMSCALING,"Uniform Scaling","RUBEL"
#OPTIONS_UNIFORMSCALINGFAST,"Fast Scaling","RUBEL"
#OPTIONS_UNIFORMSCALING_INFOGOOD,"Correct Aspect Ratio, scaled to your resolution.\nCurrently pixel-perfect.","RUBEL"
#OPTIONS_UNIFORMSCALING_INFOBAD,"Correct Aspect Ratio, scaled to your resolution.\nScreen pixels are currently stretched.","RUBEL"
#OPTIONS_FORCEPIXELPERFECT,"Force Pixel Perfect","RUBEL"
#OPTIONS_FORCEPIXELPERFECT_INFO,"Intended Visual Design, makes our artist happy.\nMay result in black bars.","RUBEL"

#OPTIONS_MINIMAPSTYLE,"Minimap Display","RUBEL"
#OPTIONS_MINIMAPALWAYS,"Always","RUBEL"
#OPTIONS_MINIMAPNONCOMBAT,"Out of Combat","RUBEL"
#OPTIONS_MINIMAPNEVER,"Never","RUBEL"

#OPTIONS_HIGH,"High","RUBEL"
#OPTIONS_FAST,"Fast","RUBEL"
#OPTIONS_MEDIUM,"Medium","RUBEL"
#OPTIONS_LOW,"Low","RUBEL"
#OPTIONS_SLOW,"Slow","RUBEL"
#OPTIONS_INSTANT,"Instant","RUBEL"
#OPTIONS_VERYLOW,"Very Low","RUBEL"

#OPTIONS_PS4,"PS4","RUBEL"
#OPTIONS_XBOX,"Xbox","RUBEL"

#OPTIONS_BLANKCONTROL,"Additional Blank Binding","RUBEL"
#OPTIONS_NONE,"None","RUBEL"
#OPTIONS_BOTHSTICKSDOWN,"Both Sticks Down","RUBEL"

#OPTIONS_SHOOT,"Shoot","RUBEL"
#OPTIONS_DODGEROLL,"Dodge Roll","RUBEL"
#OPTIONS_INTERACT,"Interact","RUBEL"
#OPTIONS_RELOAD,"Reload","RUBEL"

#OPTIONS_MOVE,"Move","RUBEL"
#OPTIONS_MOVEUP,"Move Up","RUBEL"
#OPTIONS_MOVEDOWN,"Move Down","RUBEL"
#OPTIONS_MOVELEFT,"Move Left","RUBEL"
#OPTIONS_MOVERIGHT,"Move Right","RUBEL"

#OPTIONS_AIM,"Aim","RUBEL"
#OPTIONS_AIMUP,"Aim Up","RUBEL"
#OPTIONS_AIMDOWN,"Aim Down","RUBEL"
#OPTIONS_AIMLEFT,"Aim Left","RUBEL"
#OPTIONS_AIMRIGHT,"Aim Right","RUBEL"

#OPTIONS_MENUUP,"Menu Up","RUBEL"
#OPTIONS_MENUDOWN,"Menu Down","RUBEL"
#OPTIONS_MENULEFT,"Menu Left","RUBEL"
#OPTIONS_MENURIGHT,"Menu Right","RUBEL"
#OPTIONS_MENUSELECT,"Menu Select","RUBEL"
#OPTIONS_MENUCANCEL,"Menu Cancel","RUBEL"

#OPTIONS_USEITEM,"Use Item","RUBEL"
#OPTIONS_USEBLANK,"Use Blank","RUBEL"
#OPTIONS_MAP,"Map","RUBEL"
#OPTIONS_MAP_HOLD,"Map (hold)","RUBEL"
#OPTIONS_CYCLEGUNUP,"Next Gun","RUBEL"
#OPTIONS_CYCLEGUNDOWN,"Previous Gun","RUBEL"
#OPTIONS_CYCLEITEMUP,"Next Item","RUBEL"
#OPTIONS_CYCLEITEMUP_HOLD,"Change Item (Hold)","RUBEL"
#OPTIONS_CYCLEITEMDOWN,"Previous Item","RUBEL"
#OPTIONS_DROPGUN,"Drop Gun (hold)","RUBEL"
#OPTIONS_DROPITEM,"Drop Item (hold)","RUBEL"

#OPTIONS_LANGUAGE,"Language","RUBEL"

#OPTIONS_PAUSE,"Pause","RUBEL"
#OPTIONS_INVENTORY,"Inventory","RUBEL"

#OPTIONS_EDITKEYBOARDBINDINGS,"Edit Keyboard Bindings","RUBEL"
#OPTIONS_PLAYERONE,"Player 1","RUBEL"
#OPTIONS_PLAYERTWO,"Player 2","RUBEL"
#OPTIONS_CONTROLLERPORT,"Controller Port","RUBEL"
#OPTIONS_CONTROLLERCURSOR,"Controller Cursor","RUBEL"
#OPTIONS_BUTTONIMAGES,"Controller Button Images","RUBEL"
#OPTIONS_EDITP1BINDINGS,"Edit P1 Controller Bindings","RUBEL"
#OPTIONS_EDITP2BINDINGS,"Edit P2 Controller Bindings","RUBEL"

#PAUSE_PAUSED,"PAUSED","RUBEL"
#PAUSE_RESUME,"Resume","RUBEL"
#OPTIONS,"Options","RUBEL"
#AMMONOMICON,"Ammonomicon","RUBEL"
#PAUSE_QUICKRESTART,"Quick Restart","RUBEL"
#PAUSE_EXITTOMAINMENU,"Exit to Main Menu","RUBEL"
#PAUSE_QUITTODESKTOP,"Quit to Desktop","RUBEL"

#AMMONOMICON_HEADEREQUIPMENT,"Equipment","RUBEL"
#AMMONOMICON_HEADERGUNS,"GUNS","RUBEL"
#AMMONOMICON_HEADERGUNS_LC,"Guns","RUBEL"
#AMMONOMICON_HEADERITEMS,"ITEMS","RUBEL"
#AMMONOMICON_HEADERENEMIES,"ENEMIES","RUBEL"
#AMMONOMICON_HEADERBOSSES,"BOSSES","RUBEL"

#JOINEDTHESHOOTOUT1,"HAS JOINED","RUBEL"
#JOINEDTHESHOOTOUT2,"THE SHOOTOUT","RUBEL"

#AMMONOMICON_UNKNOWN,"Unknown","RUBEL"
#AMMONOMICON_QUESTIONS,"???","RUBEL"
#AMMONOMICON_MYSTERIOUS,"Some secrets of the Gungeon remain hidden.","RUBEL"

#DEATH_YOUWON,"YOU WON","RUBEL!"
#DEATH_YOUDIED,"YOU DIED","RUBEL"
#DEATH_GUNGEONEER,"GUNGEONEER","RUBEL"
#DEATH_AREA,"AREA","RUBEL"
#DEATH_TIME,"TIME","RUBEL"
#DEATH_MONEY,"MONEY","RUBEL"
#DEATH_KILLS,"KILLS","RUBEL"
#DEATH_PASTHAUNTS,"The Past still haunts you","RUBEL"
#DEATH_PASTKILLED,"You killed the Past","RUBEL"
#DEATH_HELLCLEARED,"Evil Banished","RUBEL"
#DEATH_KILLEDBY,"KILLED BY","RUBEL"
#DEATH_NOBODY,"Nobody. You did great!","RUBEL"
#DEATH_QUICKRESTART," Quick Restart","RUBEL"
#DEATH_MAINMENU," Return to Breach","RUBEL"

#LANGUAGE_ENGLISH,"English","Inglorb"
#LANGUAGE_SPANISH,"Spanish","RUBEL"
#LANGUAGE_FRENCH,"French","RUBEL"
#LANGUAGE_ITALIAN,"Italian","RUBEL"
#LANGUAGE_GERMAN,"German","RUBEL"
#LANGUAGE_PORTUGUESE,"Portuguese","RUBEL"
#LANGUAGE_POLISH,"Polish","RUBEL"
#LANGUAGE_RUSSIAN,"Russian","RUBEL"
#LANGUAGE_JAPANESE,"Japanese","RUBEL"
#LANGUAGE_KOREAN,"Korean","RUBEL"

#AREYOUSURE,"Are you sure?","RUBEL"
#AYS_QUITTODESKTOP,"Quit to Desktop?","RUBEL"
#AYS_QUICKRESTART,"Restart?","RUBEL"
#AYS_SAVEOPTIONS,"Commit Changes?","RUBEL"
#AYS_MADECHANGES,"Discard Changes?","RUBEL"
#AYS_RESETDEFAULTS,"Reset to Defaults?","RUBEL"
#AYS_CHANGESAVESLOT,"Change save slot?","RUBEL"
#AYS_RESETSAVESLOT,"Reset progress?","RUBEL"
#AYS_RESETSAVESLOT2,"%CURRENTSLOT (%PLAYTIMEHOURS hours)","RUBEL"
#YES,"Yes","RUBEL"
#NO,"No","RUBEL"

#ENDGAME_STANDARD_THANKS,"Thanks for playing!","RUBEL"
#ENDGAME_STANDARD_MYSTERY,"The Gungeon still holds mysteries...","RUBEL..."
#ENDGAME_STANDARD_PAST,"You killed the past. The Gungeon remains...","RUBEL..."

#SELECTITEM,"Select Item"
#DROPWORD,"Drop"
#PANMAP,"Pan Map"
#SELECTTELEPORT,"Select Teleport"
#TELEPORT,"Teleport"
#CURRENTITEM,"Current Item"

#HOW_TO_PLAY,"Just use the dodge roll.","RUBEL"

#FULL_CREDITS,"Enter the Gungeon\nby Dodge Roll\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\nSFX by:\nErica Hampson\n\nMusic by:\nAdam 'Doseone' Drucker\n\nAdditional Level Design by:\nJon 'Storklord' Malloy\n\nVO by:\nErica Hampson\nAdam Drucker\nErnest Hampson VI\n\nTesters:\nDaren Makuck\nJames Barry\nJohn Michelli\nThomas Shamburger\nRitvik Bansal\nNorman Ren\nJerome Dendy\nVincent Morreale\n\nPromotional Art by:\nMax Grecke\n\nLogo by:\nCory Schmitz\n\nAdditional Art by:\nJohn Cipriani\nMaximo Lorenzo\nJared Lunt\nEric Polak\nMichael Phillippi\n\nTrailers by:\nKert Gartner\n\nAdditional Footage Capture by:\nDaren Makuck\n\nAnimated Trailer by:\nPowerhouse Animation\n\nWebsite by:\nNoel Barry\n\nComic by:\nDayjob Studio\nFederico Chemello\nRiccardo Gamba\nMaurizio Furini\n\nDevolver Digital:\nNigel Lowrie\nGraeme Struthers\nRick Stults\nHarry Miller\nMike Wilson\nAndrew Parsons\n\nPorting and Optimization Assistance by:\n22nd Century Toys LLC\nTony Bratton\nJoe Barton\nSean Barton\n\nLocalization:\nSophie Cristobal\nLoc & Load\nStudio Muehl\nA.C.E.\nKakehashi Games\nDICO Co., Ltd.\n\nJapanese Localization by:\nKeiko Fukuichi\n\nSpecial Thanks:\nPaul Barnett\nKate Flack\nKate Ludlow\nJohn Bartkiw\nJM Specht\nAthena Frazier\nElizabeth Petrov\nLinsey Miller\nAlec Fisher-Lasky\nEric Hamel\nZach Huntley\nNick Suttner\nESC Toys\nNick LaMartina\nLeah Henry\nPam & Frank Plummer\nErnest Hampson III\nLee Hampson\nJohn Yentes\nBrian DiMaggio\nKevin Changhan Lee\nDennis Liang\nNicholas Wen-Kai Bransfield Chen\nBrian 'Brilingual' Gray\n\nMade with Unity\n2D Toolkit by Unikron Software\nAlagard Font by Hewett Tsoi 'Pix3M'\n\nPowered by Wwise © 2006 – 2016* Audiokinetic Inc.\nAll rights reserved.\n\n\n\n","RUBEL"
//Below this needs translation
#MAINMENU_CONTINUE,"Continue","RUBEL"
#QUICKRESTARTDETAIL,"Keep modifiers?","RUBEL"
#OPTIONS_BEASTMODELVL2,"Beastmode Lvl.2","RUBEL"
#OPTIONS_TINYUI,"Tiny UI","RUBEL"
#OPTIONS_CHALLENGESLOWDOWN,"Challenge Room Delay"

#CH_BEST_FOR_LAST,"Last Bullet Standing"
#CH_BLOBULIN_RANCHER,"Blobulin Rancher"
#CH_BOO_ROOM,"Don't Blink"
#CH_POT_SHOTS,"Pot Shots"
#CH_CURSE_POTS,"Cursed Ceramics"
#CH_DARKNESS,"Dark Was The Night"
#CH_DRAGUN,"Dragun Rage"
#CH_FINAL_ATTACK,"Final Attack"
#CH_EXPLODING_ENEMIES,"Explosive Pyre"
#CH_FLAME_TRAPS,"Rat's Revenge"
#CH_FRIENDLY_FIRE,"Unfriendly Fire"
#CH_GHOSTS,"Ghost of the Shell"
#CH_GUN_QUEUE,"Gun Queue"
#CH_HAMMERTIME,"Hammer Time"
#CH_HIGH_STRESS,"High Stress"
#CH_KING_ENEMY,"Long Live The King"
#CH_THERMAL_CLIPS,"Thermal Clips"
#CH_POISON_TRAIL,"Poison Pursuit"
#CH_ADRENALINE,"Adrenaline Rush"
#CH_SHOCKWAVE,"Shockwave"
#CH_ROCKETS,"Gull's Revenge"
#CH_MEDUZI,"Gorgun's Gaze"
#CH_ZONE_CONTROL,"Zone Control"

#CH_DEMONWALL,"Night's Watch"
#CH_HIGHPRIEST,"Something Wicked"
#CH_BOSSSTATUES,"Extremely Bad Chess"

#OPTIONS_CONTROLLERTYPES,"Controller Types"
#OPTIONS_CONTROLLERTYPES_DEFAULT,"Default"
#OPTIONS_CONTROLLERTYPES_XINPUTONLY,"XInput Only"
#OPTIONS_CONTROLLERTYPES_NOXINPUT,"No XInput"
#OPTIONS_ALLOWUNKNOWNCONTROLLERS,"Allow Unknown Controllers"

#TERMINATOR_SHORTNAME,"Arena"
#TERMINATOR_NAME,"Emperor's Arena"
#TERMINATOR_SECONDLINE,"The Past (117 years prior)"
#BULLETPAST_SHORTNAME,"Dungeon"
#BULLETPAST_NAME,"Gungeon Proper"
#BULLETPAST_SECONDLINE,"The Past (? years prior)"

#SWITCH_PERFORMANCE,"Performance"
#SWITCH_BEAUTY,"Beauty"
#SWITCH_BALANCED,"Balanced"
#SWITCH_SPEED,"Speed"

#OPTIONS_AIMASSIST_BEAM,"Cont. Beam Aim Assist Amount","RUBEL"
#OPTIONS_AIMASSIST_BEAM_BINARY,"Controller Beam Aim Assist","RUBEL"
#OPTIONS_GAMESPEED,"Game Speed"
#OPTIONS_GAMESPEED_NORMAL,"Classic"
#OPTIONS_GAMESPEED_TURBO,"Turbo"
#OPTIONS_SPEEDUP_OOC,"Increase Speed Out Of Combat"

#OPTIONS_PUNCHOUT_DODGELEFT, "Dodge Left"
#OPTIONS_PUNCHOUT_DODGERIGHT, "Dodge Right"
#OPTIONS_PUNCHOUT_BLOCK, "Block"
#OPTIONS_PUNCHOUT_DUCK, "Duck"
#OPTIONS_PUNCHOUT_PUNCHLEFT, "Left Jab"
#OPTIONS_PUNCHOUT_PUNCHRIGHT, "Right Jab"
#OPTIONS_PUNCHOUT_SUPER, "Super"

#OPTIONS_LOOTPROFILE,"Loot Profile"
#OPTIONS_LOOTPROFILE_AGAD,"Gungeons and Draguns"
#OPTIONS_LOOTPROFILE_OLD,"Original"

#SUPERDUPERAUTOAIM,"Controller Auto-Aim"
#SUPERDUPERAUTOAIM_OPTION_01,"Auto Detect"
#SUPERDUPERAUTOAIM_OPTION_02,"Always"
#SUPERDUPERAUTOAIM_OPTION_03,"Never"
#SUPERDUPERAUTOAIM_OPTION_04,"CO-OP Only"
#SUPERDUPERAUTOAIM_INFO_A,"Always targets nearest enemy."
#SUPERDUPERAUTOAIM_INFO_B,"Always targets nearest enemy unless overridden."
#SUPERDUPERAUTOAIM_WARNING_TITLE,"HINT:"
#SUPERDUPERAUTOAIM_WARNING_BODY,"Use the %CONTROL_AIM to aim!"
#SUPERDUPERAUTOAIM_POPUP_TITLE,"Auto-Aim Activated"
#SUPERDUPERAUTOAIM_WARNING_BODY_A,"See Gameplay Options to turn off."
#SUPERDUPERAUTOAIM_WARNING_BODY_B,"See Options for info."
#OPTIONS_VIEWPRIVACY,"View Data Privacy (web)","RUBEL"

#MISC_TITLE_BASE,"Enter the Gungeon"
#MISC_TITLE_SDU,"Supply Drop Update"
#MISC_TITLE_AGD,"Advanced Gungeons & Dragons"
#MISC_TITLE_AFTA,"A Farewell To Arms"
#MISC_TITLE_AFTA_COMBINED,"Enter the Gungeon: A Farewell To Arms"
#CHAR_SELECT_SWAP_GUNS,"Swap Starter Gun"
#CHAR_SELECT_CHANGE_COSTUME_A,"Wear Costume"
#CHAR_SELECT_CHANGE_COSTUME_B,"Change Clothes"
#CHAR_SELECT_CHANGE_COSTUME_C,"Wear"
#PARADOX_CHAR_NOPAST,"No Past"
#CHAR_PARADOX,"The Paradox"
#CHAR_PARADOX_SHORT,"Paradox"
#CHAR_GUNSLINGER,"The Gunslinger"
#CHAR_GUNSLINGER_SHORT,"Gunslinger"
#NAKATOMI_SHORTNAME_V1,"R&G Dept.","RUBEL"
#NAKATOMI_SHORTNAME_V2,"R&D","RUBEL"
#NAKATOMI_SHORTNAME_V3,"ACCOUNTING","RUBEL"
#RAINBOW_POPUP_ACTIVE,"Rainbow Run","RUBEL"
#RAINBOW_POPUP_INACTIVE,"Non-Rainbow Run","RUBEL"

