KEY,KO
#OPTIONS_UNIFORMSCALING_INFOGOOD,"가로 세로 비율이 올바르며 시스템 해상도에 맞춰 스케일링되었습니다.\n현재 픽셀 퍼펙트 상태입니다."
#OPTIONS_UNIFORMSCALING_INFOBAD,"가로 세로 비율이 올바르며 시스템 해상도에 맞춰 스케일링되었습니다.\n스크린 픽셀이 현재 늘어난 형태로 보입니다."
#OPTIONS_FORCEPIXELPERFECT,"강제 픽셀 퍼펙트"
#OPTIONS_FORCEPIXELPERFECT_INFO,"그래픽 디자인을 그래픽 디자이너가 의도한 대로 보여줍니다.\n검은 막대가 나타날 수 있습니다."
#OPTIONS_MINIMAPSTYLE,"미니맵 표시"
#OPTIONS_MINIMAPALWAYS,"항상"
#OPTIONS_MINIMAPNONCOMBAT,"전투 중 제외"
#OPTIONS_MINIMAPNEVER,"사용 안 함"
#OPTIONS_HIGH,"높음"
#OPTIONS_FAST,"빠름"
#OPTIONS_MEDIUM,"중간"
#OPTIONS_LOW,"낮음"
#OPTIONS_VERYLOW,"매우 낮음"
#OPTIONS_SLOW,"느림"
#OPTIONS_INSTANT,"즉시"
#OPTIONS_PS4,"PS4"
#OPTIONS_XBOX,"Xbox"
#OPTIONS_BLANKCONTROL,"공포탄 추가 연결"
#OPTIONS_NONE,"없음"
#OPTIONS_BOTHSTICKSDOWN,"양 스틱 아래로"
#OPTIONS_SHOOT,"사격"
#OPTIONS_DODGEROLL,"굴러서 회피"
#OPTIONS_INTERACT,"상호 작용"
#OPTIONS_RELOAD,"재장전"
#OPTIONS_MOVE,"이동"
#OPTIONS_MOVEUP,"위로 이동"
#OPTIONS_MOVEDOWN,"아래로 이동"
#OPTIONS_MOVELEFT,"왼쪽으로 이동"
#OPTIONS_MOVERIGHT,"오른쪽으로 이동"
#OPTIONS_AIM,"겨누다"
#OPTIONS_AIMUP,"위로 겨누다"
#OPTIONS_AIMDOWN,"아래로 겨누다"
#OPTIONS_AIMLEFT,"왼쪽으로 겨누다"
#OPTIONS_AIMRIGHT,"오른쪽으로 겨누다"
#OPTIONS_MENUUP,"Menu Up"
#OPTIONS_MENUDOWN,"Menu Down"
#OPTIONS_MENULEFT,"Menu Left"
#OPTIONS_MENURIGHT,"Menu Right"
#OPTIONS_MENUSELECT,"Menu Select"
#OPTIONS_MENUCANCEL,"Menu Cancel"
#OPTIONS_USEITEM,"아이템 사용"
#OPTIONS_USEBLANK,"공포탄 사용"
#OPTIONS_MAP,"지도"
#OPTIONS_MAP_HOLD,"지도(길게 누르기)"
#OPTIONS_CYCLEGUNUP,"다음 총"
#OPTIONS_CYCLEGUNDOWN,"이전 총"
#OPTIONS_CYCLEITEMUP,"다음 아이템"
#OPTIONS_CYCLEITEMUP_HOLD,"다음 아이템(길게 누르기)"
#OPTIONS_CYCLEITEMDOWN,"이전 아이템"
#OPTIONS_DROPGUN,"총 버리기(길게 누르기)"
#OPTIONS_DROPITEM,"아이템 버리기(길게 누르기)"
#OPTIONS_LANGUAGE,"언어"
#OPTIONS_PAUSE,"일시 중지"
#OPTIONS_INVENTORY,"인벤토리"
#OPTIONS_EDITKEYBOARDBINDINGS,"키보드 연결 편집"
#OPTIONS_PLAYERONE,"플레이어 1"
#OPTIONS_PLAYERTWO,"플레이어 2"
#OPTIONS_CONTROLLERPORT,"컨트롤러 포트"
#OPTIONS_CONTROLLERCURSOR,"컨트롤러 커서"
#OPTIONS_BUTTONIMAGES,"컨트롤러 버튼 이미지"
#OPTIONS_EDITP1BINDINGS,"P1 컨트롤러 연결 편집"
#OPTIONS_EDITP2BINDINGS,"P2 컨트롤러 연결 편집"
#PAUSE_PAUSED,"일시 중지"
#PAUSE_RESUME,"재개"
#OPTIONS,"옵션"
#AMMONOMICON,"총탄 부활술서"
#PAUSE_QUICKRESTART,"빠른 재시작"
#PAUSE_EXITTOMAINMENU,"주 메뉴로 나가기"
#PAUSE_QUITTODESKTOP,"데스크톱으로 나가기"
#AMMONOMICON_HEADEREQUIPMENT,"장비"
#AMMONOMICON_HEADERGUNS,"총"
#AMMONOMICON_HEADERGUNS_LC,"총"
#AMMONOMICON_HEADERITEMS,"아이템"
#AMMONOMICON_HEADERENEMIES,"적"
#AMMONOMICON_HEADERBOSSES,"보스"
#JOINEDTHESHOOTOUT1,"아이템이"
#JOINEDTHESHOOTOUT2,"추가됨"
#AMMONOMICON_UNKNOWN,"알 수 없음"
#AMMONOMICON_QUESTIONS,"???"
#AMMONOMICON_MYSTERIOUS,"총굴의 몇 가지 비밀은 여전히 베일에 싸여 있습니다."
#DEATH_YOUWON,"플레이어 승리"
#DEATH_YOUDIED,"플레이어 사망"
#DEATH_GUNGEONEER,"총굴 탐험가"
#DEATH_AREA,"지역"
#DEATH_TIME,"시간"
#DEATH_MONEY,"자금"
#DEATH_KILLS,"처치 수"
#DEATH_PASTHAUNTS,"아직 과거에 고통받고 있습니다"
#DEATH_PASTKILLED,"과거를 제거했습니다"
#DEATH_HELLCLEARED,"악이 자취를 감추었습니다"
#DEATH_KILLEDBY,"사망원인"
#DEATH_NOBODY,"누구도 죽지 않았습니다. 대단하시군요!"
#DEATH_QUICKRESTART," 빠른 재시작"
#DEATH_MAINMENU," 틈으로 돌아가기"
#LANGUAGE_ENGLISH,"영어"
#LANGUAGE_SPANISH,"스페인어"
#LANGUAGE_FRENCH,"프랑스어"
#LANGUAGE_ITALIAN,"이탈리아어"
#LANGUAGE_GERMAN,"독일어"
#LANGUAGE_PORTUGUESE,"포르투갈어"
#LANGUAGE_POLISH,"폴란드어"
#LANGUAGE_RUSSIAN,"러시아어"
#LANGUAGE_JAPANESE,"일본어"
#LANGUAGE_KOREAN,"한국어"
#AREYOUSURE,"계속할까요?"
#AYS_QUITTODESKTOP,"데스크톱으로 나갈까요?"
#AYS_QUICKRESTART,"다시 시작할까요?"
#AYS_SAVEOPTIONS,"변경 내용을 적용할까요?"
#AYS_MADECHANGES,"변경 내용을 취소할까요?"
#AYS_RESETDEFAULTS,"기본값으로 재설정할까요?"
#YES,"예"
#NO,"아니요"
#ENDGAME_STANDARD_THANKS,"플레이해주셔서 감사합니다!"
#ENDGAME_STANDARD_MYSTERY,"총굴에는 여전히 알 수 없는 일들이 가득합니다..."
#ENDGAME_STANDARD_PAST,"과거를 제거했습니다. 총굴은 그대로입니다..."
#HOW_TO_PLAY,"굴러서 회피를 사용하세요."
#ACHIEVEMENT_ALTERNATE,"게임 시작 시 제공되는 무한 탄약 무기만 사용하여 게임을 클리어하세요."
#SELECTITEM,"아이템 선택"
#DROPWORD,"버리기"
#PANMAP,"지도 펼치기"
#SELECTTELEPORT,"텔레포트 선택"
#TELEPORT,"텔레포트"
#CURRENTITEM,"현재 아이템"
#CHARACTERSELECT_PASTKILLED,"과거가 제거되었습니다"
#OPTIONS_RESETSAVESLOT,"저장 슬롯의 진행 상황 초기화"
#AYS_CHANGESAVESLOT,"저장 슬롯을 변경할까요?"
#AYS_RESETSAVESLOT,"진행 상황을 초기화할까요?"
#AYS_RESETSAVESLOT2,"%CURRENTSLOT (%PLAYTIMEHOURS시간)"
#OPTIONS_CONTROLLERSOUND,"컨트롤러 사운드"
#MAINMENU_NEW_PLAY,"플레이"
#MAINMENU_NEW_QUIT,"종료"
#MAINMENU_NEW_QUICKSTART,"빠른 시작"
#EXIT_COOP,"협력 모드 나가기"
#FULL_CREDITS,"Enter the Gungeon\nby Dodge Roll LLC\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\nSFX by:\nErica Hampson\n\nMusic by:\nAdam 'Doseone' Drucker\n\nAdditional Level Design by:\nJon 'Storklord' Malloy\n\nVO by:\nErica Hampson\nAdam Drucker\nErnest Hampson VI\n\nTesters:\nDaren Makuck\nJames Barry\nJohn Michelli\nThomas Shamburger\nRitvik Bansal\nNorman Ren\nJerome Dendy\nVincent Morreale\n\nPromotional Art by:\nMax Grecke\n\nLogo by:\nCory Schmitz\n\nAdditional Art by:\nJohn Cipriani\nMaximo Lorenzo\nJared Lunt\nEric Polak\nMichael Phillippi\n\nTrailers by:\nKert Gartner\n\nAdditional Footage Capture by:\nDaren Makuck\n\nAnimated Trailer by:\nPowerhouse Animation\n\nWebsite by:\nNoel Barry\n\nComic by:\nDayjob Studio\nFederico Chemello\nRiccardo Gamba\nMaurizio Furini\n\nDevolver Digital:\nNigel Lowrie\nGraeme Struthers\nRick Stults\nHarry Miller\nMike Wilson\nAndrew Parsons\n\nPorting and Optimization Assistance by:\n22nd Century Toys LLC\nTony Bratton\nJoe Barton\nSean Barton\n\nLocalization:\nSophie Cristobal\nLoc & Load\nStudio Muehl\nA.C.E.\nKakehashi Games\nDICO Co., Ltd.\n\nJapanese Localization by:\nKeiko Fukuichi\n\nSpecial Thanks:\nPaul Barnett\nKate Flack\nKate Ludlow\nJohn Bartkiw\nJM Specht\nAthena Frazier\nElizabeth Petrov\nLinsey Miller\nZach Huntly\nNick Suttner\nESC Toys\nNick LaMartina\nLeah Henry\nPam & Frank Plummer\nErnest Hampson III\nLee Hampson\nJohn Yentes\nBrian DiMaggio\nDennis Liang\n\nMade with Unity\n2D Toolkit by Unikron Software\nAlagard Font by Hewett Tsoi 'Pix3M'\n\nPowered by Wwise © 2006 – 2016* Audiokinetic Inc.\nAll rights reserved.\n\n\n\nThanks for playing!"
#MAINMENU_CONTINUE,"계속"
#QUICKRESTARTDETAIL,"보정을 유지할까요?"
#OPTIONS_BEASTMODELVL2,"야수 모드 LV. 2"
#OPTIONS_TINYUI,"소형 UI"
#OPTIONS_CHALLENGESLOWDOWN,"챌린지룸 지연"
#CH_BEST_FOR_LAST,"라스트 불릿 스탠딩"
#CH_BLOBULIN_RANCHER,"블로불린 목장"
#CH_BOO_ROOM,"깜빡이지 마"
#CH_POT_SHOTS,"무차별 사격"
#CH_CURSE_POTS,"재수 옴 붙은 도자기"
#CH_DARKNESS,"캄캄했던 그날 밤"
#CH_DRAGUN,"드래건의 분노"
#CH_FINAL_ATTACK,"최종 공격"
#CH_EXPLODING_ENEMIES,"폭발성 장작더미"
#CH_FLAME_TRAPS,"쥐갈공명의 복수"
#CH_FRIENDLY_FIRE,"적대적 발사"
#CH_GHOSTS,"총각기동대"
#CH_GUN_QUEUE,"발사 대기열"
#CH_HAMMERTIME,"망치 타임"
#CH_HIGH_STRESS,"대박 스트레스"
#CH_KING_ENEMY,"대왕 폐하 만세"
#CH_THERMAL_CLIPS,"뜨끈뜨끈 핀"
#CH_POISON_TRAIL,"독을 쫓아서"
#CH_ADRENALINE,"울끈불끈 러시"
#CH_SHOCKWAVE,"충격파"
#CH_ROCKETS,"갈매기관총의 복수"
#CH_MEDUZI,"째려보는 뱀총녀"
#CH_ZONE_CONTROL,"구역 제어"
#OPTIONS_CONTROLLERTYPES,"컨트롤러 유형"
#OPTIONS_CONTROLLERTYPES_DEFAULT,"기본"
#OPTIONS_CONTROLLERTYPES_XINPUTONLY,"XInput만"
#OPTIONS_CONTROLLERTYPES_NOXINPUT,"XInput 아님"
#OPTIONS_ALLOWUNKNOWNCONTROLLERS,"알려지지 않은 컨트롤러 허용"
#TERMINATOR_SHORTNAME,"무투장"
#TERMINATOR_NAME,"황제의 무투장"
#TERMINATOR_SECONDLINE,"과거(117년 전)"
#BULLETPAST_SHORTNAME,"지하 감옥"
#BULLETPAST_NAME,"진정한 총굴"
#BULLETPAST_SECONDLINE,"과거(?년 전)"
#SWITCH_PERFORMANCE,"그래픽 미리 지정"
#SWITCH_BEAUTY,"높음"
#SWITCH_BALANCED,"중간"
#SWITCH_SPEED,"빠름"
#CHAR_RANDOM,"랜덤"
#RELOAD_BEHOLD,"주시"
#CH_DEMONWALL,"밤의 파수꾼"
#CH_HIGHPRIEST,"사악한 존재"
#CH_BOSSSTATUES,"엄청 나쁜 체스"
#OPTIONS_AIMASSIST_BEAM,"연속성 빔 조준 지원 정도"
#OPTIONS_AIMASSIST_BEAM_BINARY,"컨트롤러 빔 조준 지원"
#OPTIONS_GAMESPEED,"게임 속도"
#OPTIONS_GAMESPEED_NORMAL,"클래식"
#OPTIONS_GAMESPEED_TURBO,"터보"
#OPTIONS_SPEEDUP_OOC,"전투 이외 상황에서 속도 증가"
#OPTIONS_PUNCHOUT_DODGELEFT,"좌측 회피"
#OPTIONS_PUNCHOUT_DODGERIGHT,"우측 회피"
#OPTIONS_PUNCHOUT_BLOCK,"블록"
#OPTIONS_PUNCHOUT_DUCK,"덕"
#OPTIONS_PUNCHOUT_PUNCHLEFT,"레프트 잽"
#OPTIONS_PUNCHOUT_PUNCHRIGHT,"라이트 잽"
#OPTIONS_PUNCHOUT_SUPER,"슈퍼"
#SUPERDUPERAUTOAIM,"컨트롤러 조종기 자동조준"
#SUPERDUPERAUTOAIM_OPTION_01,"자동감지"
#SUPERDUPERAUTOAIM_OPTION_02,"항상"
#SUPERDUPERAUTOAIM_OPTION_03,"사용 안 함"
#SUPERDUPERAUTOAIM_OPTION_04,"코옵에서만 유효"
#SUPERDUPERAUTOAIM_INFO_A,"최단거리 적 자동조준하기"
#SUPERDUPERAUTOAIM_INFO_B,"무효시키기 전 최단거리 적 자동조준하기."
#SUPERDUPERAUTOAIM_WARNING_TITLE,"힌트:"
#SUPERDUPERAUTOAIM_WARNING_BODY,"%CONTROL_AIM 조준!"
#SUPERDUPERAUTOAIM_POPUP_TITLE,"자동조준 작동됨!"
#SUPERDUPERAUTOAIM_WARNING_BODY_A,"끄기 가능한 게임플레이 옵션 보기."
#SUPERDUPERAUTOAIM_WARNING_BODY_B,"옵션에서 추가정보 보기."
#OPTIONS_VIEWPRIVACY,"개인 정보 취급 방침"
#OPTIONS_LOOTPROFILE,"루트 프로파일"
#OPTIONS_LOOTPROFILE_AGAD,"Gungeons and Draguns"
#OPTIONS_LOOTPROFILE_OLD,"오리지널"
#MISC_TITLE_BASE,"Enter the Gungeon"
#MISC_TITLE_SDU,"Supply Drop 업데이트"
#MISC_TITLE_AGD,"Advanced Gungeons & Dragons"
#MISC_TITLE_AFTA,"무기여 잘 있거라"
#MISC_TITLE_AFTA_COMBINED,"Enter the Gungeon: 무기여 잘 있거라"
#CHAR_SELECT_SWAP_GUNS,"시작 총 교체"
#CHAR_SELECT_CHANGE_COSTUME_A,"코스튬 입기"
#CHAR_SELECT_CHANGE_COSTUME_B,"의상 변경"
#CHAR_SELECT_CHANGE_COSTUME_C,"입기"
#PARADOX_CHAR_NOPAST,"과거 없음"
#CHAR_PARADOX,"파라독스"
#CHAR_PARADOX_SHORT,"파라독스"
#CHAR_GUNSLINGER,"건슬링거"
#CHAR_GUNSLINGER_SHORT,"건슬링거"
#NAKATOMI_SHORTNAME_V1,"R&G 부"
#NAKATOMI_SHORTNAME_V2,"R&D"
#NAKATOMI_SHORTNAME_V3,"회계부"
#RAINBOW_POPUP_ACTIVE,"무지개 런"
#RAINBOW_POPUP_INACTIVE,"무지개 아닌 런"
