KEY,RU
#ABBEY_NAME,"Аббатство Истинной Пушки"
#STARSHIP_NAME,"Брошенная посудина"
#WESTERN_NAME,"Старый Запад"
#TUTORIAL_NAME,"Чертоги Знания"
#TUTORIAL_DESC,"Зал 0"
#AIMLESSVOID_NAME,"Бесцельная Пустота"
#AIMLESSVOID_DESC,"Зал ???"
#SEWERS_NAME,"Тайный погреб"
#NIGHTCLUB_SHORTNAME,"Ночной клуб"
#NIGHTCLUB_NAME,"Ночной клуб "
#NIGHTCLUB_SECONDLINE,"Прошлое (12 лет назад)"
#SCIENCELAB_SHORTNAME,"Лаборатория"
#SCIENCELAB_NAME,"Лаборатория Капсюльдайн"
#SCIENCELAB_SECONDLINE,"Прошлое (7 лет назад)"
#NAZICASTLE_SHORTNAME,"Поместье"
#NAZICASTLE_NAME,"Поместье Черного Меча"
#NAZICASTLE_SECONDLINE,"Прошлое (1 147 лет назад)"
#HEGEMONYSPACE_SHORTNAME,"Космос"
#HEGEMONYSPACE_NAME,"Космос Гегемонии"
#HEGEMONYSPACE_SECONDLINE,"Прошлое (11 лет назад)"
#RELOAD,"Перезарядка"
#RELOAD_EMPTY,"ПУСТОЙ"
#RELOAD_FULL,"ПОЛНЫЙ"
#OPTIONS_AUDIO,"АУДИО"
#OPTIONS_CONTROLS,"УПРАВЛЕНИЕ"
#OPTIONS_GAMEPLAY,"ИГРА"
#OPTIONS_VIDEO,"ВИДЕО"
#OPTIONS_CANCEL,"ОТМЕНА"
#OPTIONS_RESETDEFAULTS,"ПО УМОЛЧАНИЮ"
#OPTIONS_CONFIRM,"ОК"
#OPTIONS_MUSICVOLUME,"Музыка"
#OPTIONS_SFXVOLUME,"Эффекты"
#OPTIONS_UIVOLUME,"Интерфейс"
#OPTIONS_SPEAKERSETUP,"Настройка динамиков"
#OPTIONS_SPEAKERS,"Динамики"
#OPTIONS_HEADPHONES,"Наушники"
#OPTIONS_GAMMA,"Гамма"
#OPTIONS_DISPLAYSAFEAREA,"Размер"
#OPTIONS_QUICKCHARACTER,"Исходный персонаж"
#OPTIONS_SPEEDRUN,"Режим скоростного прохождения"
#OPTIONS_BEASTMODE,"Режим зверя"
#OPTIONS_AIMASSIST,"Помощь при прицеливании"
#OPTIONS_SCREENSHAKE,"Дрожание экрана"
#OPTIONS_COOPSCREENSHAKE,"Снижение тряски в совм. режиме"
#OPTIONS_STICKYFRICTION,"Уровень вязкости"
#OPTIONS_TEXTSPEED,"Скорость текста"
#OPTIONS_HOWTOPLAY,"Помощь"
#OPTIONS_VIEWCREDITS,"Авторы"
#OPTIONS_CONTROLLERCAMERAMOVES,"Вид прицела контроллера"
#OPTIONS_SAVESLOT,"ЯЧЕЙКА СОХРАНЕНИЯ"
#OPTIONS_SAVESLOTA,"ЯЧЕЙКА А"
#OPTIONS_SAVESLOTB,"ЯЧЕЙКА Б"
#OPTIONS_SAVESLOTC,"ЯЧЕЙКА В"
#OPTIONS_SAVESLOTD,"ЯЧЕЙКА D"
#OPTIONS_SHOWCONTROLLERCURSOR,"КУРСОР"
#OPTIONS_CURSOR,"КУРСОР"
#OPTIONS_ZOOMONLARGEBOSS,"Босс: масштаб камеры"
#OPTIONS_RUMBLE,"ВИБРАЦИЯ"
#OPTIONS_GUNMENU,"пистолет меню"
#OPTIONS_GUNMENU_HOLD,"пистолет меню"
#OPTIONS_QUICKSELECT,"Разрешить быстрое переключение оружия"
#OPTIONS_HIDEEMPTYGUNS,"В бою скрывать оружие без патронов"
#OPTIONS_DEBRISQUANTITY,"Количество мусора"
#OPTIONS_LIGHTINGQUALITY,"Качество освещения"
#OPTIONS_MONITORSELECT,"Выбор монитора"
#OPTIONS_MONITOR,"Монитор"
#OPTIONS_RESOLUTION,"Разрешение экрана"
#OPTIONS_SCALINGMODE,"Режим масштабирования"
#OPTIONS_FULLSCREEN,"Полноэкранный режим"
#OPTIONS_WINDOWED,"Оконный режим"
#OPTIONS_BORDERLESS,"Без рамки"
#OPTIONS_SCREENMODE,"Режим экрана"
#OPTIONS_SHADERQUALITY,"Качество теней"
#OPTIONS_VSYNC,"Верт. синхронизация"
#OPTIONS_RECOMMENDED,"Рекоменд. параметры"
#OPTIONS_CUSTOM,"По выбору"
#OPTIONS_VISUALPRESET,"Предустановленные настройки изображения"
#OPTIONS_REFLECTIONS,"Отражения в реальном времени"
#OPTIONS_KEYBOARDMOUSE,"Клавиатура/мышь"
#OPTIONS_RESOLUTION_BEST,"Правильные пропорции, правильное пиксельное разрешение.\nНаилучшее изображение."
#OPTIONS_RESOLUTION_GOOD,"Неправильные пропорции, правильное пиксельное разрешение.\nВозможно появление черных полос."
#OPTIONS_RESOLUTION_BAD,"Неправильное пиксельное разрешение.\nПиксели могут деформироваться, если в Режиме масштабирования не включена опция "
#OPTIONS_PIXELPERFECT,"Правильные пропорции пикселей"
#OPTIONS_PIXELPERFECT_INFO,"Самая красивая картинка - наш художник будет доволен.\nВозможно только при выборе правильных настроек разрешения."
#OPTIONS_UNIFORMSCALING,"Равномерное масштабирование"
#OPTIONS_UNIFORMSCALINGFAST,"Быстрое масштабирование"
#OPTIONS_UNIFORMSCALING_INFOGOOD,"Правильные пропорции, масштаб по разрешению вашего экрана.\nПравильные пропорции пикселей."
#OPTIONS_UNIFORMSCALING_INFOBAD,"Правильные пропорции, масштаб по разрешению вашего экрана.\nПиксели деформированы."
#OPTIONS_FORCEPIXELPERFECT,"Принудительно правильные пропорции пикселей"
#OPTIONS_FORCEPIXELPERFECT_INFO,"Наилучшее визуальное конструирование. Наш художник счастлив.\nВозможно появление черных полос."
#OPTIONS_MINIMAPSTYLE,"Мини-карта"
#OPTIONS_MINIMAPALWAYS,"Всегда"
#OPTIONS_MINIMAPNONCOMBAT,"Вне боя"
#OPTIONS_MINIMAPNEVER,"Никогда"
#OPTIONS_HIGH,"Очень быстро"
#OPTIONS_FAST,"Быстро"
#OPTIONS_MEDIUM,"Средне"
#OPTIONS_LOW,"Медленно"
#OPTIONS_VERYLOW,"Очень медленно"
#OPTIONS_SLOW,"Очень медленно"
#OPTIONS_INSTANT,"Мгновенно"
#OPTIONS_PS4,"PS4"
#OPTIONS_XBOX,"Xbox"
#OPTIONS_BLANKCONTROL,"Доп. привязка пустышек"
#OPTIONS_NONE,"Нет"
#OPTIONS_BOTHSTICKSDOWN,"Оба мини-джойстика вниз"
#OPTIONS_SHOOT,"Стрельба"
#OPTIONS_DODGEROLL,"Перекат"
#OPTIONS_INTERACT,"Взаимодействие"
#OPTIONS_RELOAD,"Перезарядка"
#OPTIONS_MOVE,"Идти"
#OPTIONS_MOVEUP,"Вверх"
#OPTIONS_MOVEDOWN,"Вниз"
#OPTIONS_MOVELEFT,"Налево"
#OPTIONS_MOVERIGHT,"Направо"
#OPTIONS_AIM,"Посмотри"
#OPTIONS_AIMUP,"Посмотри Вверх"
#OPTIONS_AIMDOWN,"Посмотри Вниз"
#OPTIONS_AIMLEFT,"Посмотри Налево"
#OPTIONS_AIMRIGHT,"Посмотри Направо"
#OPTIONS_MENUUP,"Menu Up"
#OPTIONS_MENUDOWN,"Menu Down"
#OPTIONS_MENULEFT,"Menu Left"
#OPTIONS_MENURIGHT,"Menu Right"
#OPTIONS_MENUSELECT,"Menu Select"
#OPTIONS_MENUCANCEL,"Menu Cancel"
#OPTIONS_USEITEM,"Использовать предмет"
#OPTIONS_USEBLANK,"Использовать пустышку"
#OPTIONS_MAP,"Карта"
#OPTIONS_MAP_HOLD,"Карта"
#OPTIONS_CYCLEGUNUP,"Следующее оружие"
#OPTIONS_CYCLEGUNDOWN,"Предыдущее оружие"
#OPTIONS_CYCLEITEMUP,"Следующий предмет"
#OPTIONS_CYCLEITEMUP_HOLD,"Сменить предмет (Удерживать)"
#OPTIONS_CYCLEITEMDOWN,"Предыдущий предмет"
#OPTIONS_DROPGUN,"Бросить оружие"
#OPTIONS_DROPITEM,"Бросить предмет"
#OPTIONS_LANGUAGE,"Язык"
#OPTIONS_PAUSE,"Пауза"
#OPTIONS_INVENTORY,"Инвентарь"
#OPTIONS_EDITKEYBOARDBINDINGS,"Назначить клавиши"
#OPTIONS_PLAYERONE,"Игрок 1"
#OPTIONS_PLAYERTWO,"Игрок 2"
#OPTIONS_CONTROLLERPORT,"Порт контроллера"
#OPTIONS_CONTROLLERCURSOR,"Контроллер курсор"
#OPTIONS_BUTTONIMAGES,"Изображения кнопок контроллера"
#OPTIONS_EDITP1BINDINGS,"Назначить функции контроллера игр. 1"
#OPTIONS_EDITP2BINDINGS,"Назначить функции контроллера игр. 2"
#PAUSE_PAUSED,"ПАУЗА"
#PAUSE_RESUME,"Продолжить"
#OPTIONS,"Настройки"
#AMMONOMICON,"Патрономикон"
#PAUSE_QUICKRESTART,"Быстрый перезапуск"
#PAUSE_EXITTOMAINMENU,"В главное меню"
#PAUSE_QUITTODESKTOP,"На рабочий стол"
#AMMONOMICON_HEADEREQUIPMENT,"Снаряжение"
#AMMONOMICON_HEADERGUNS,"ОРУЖИЕ"
#AMMONOMICON_HEADERGUNS_LC,"Оружие"
#AMMONOMICON_HEADERITEMS,"ПРЕДМЕТЫ"
#AMMONOMICON_HEADERENEMIES,"ВРАГИ"
#AMMONOMICON_HEADERBOSSES,"БОССЫ"
#JOINEDTHESHOOTOUT1,"ПРИСОЕДИНЯЕТСЯ"
#JOINEDTHESHOOTOUT2,"К ПЕРЕСТРЕЛКЕ"
#AMMONOMICON_UNKNOWN,"Неизвестно"
#AMMONOMICON_QUESTIONS,"???"
#AMMONOMICON_MYSTERIOUS,"Еще не все тайны Оружелья раскрыты."
#DEATH_YOUWON,"ВЫ ПОБЕДИЛИ"
#DEATH_YOUDIED,"ВЫ ПОГИБЛИ"
#DEATH_GUNGEONEER,"ОРУЖЕЛЕЦ"
#DEATH_AREA,"МЕСТО"
#DEATH_TIME,"ВРЕМЯ"
#DEATH_MONEY,"ДЕНЬГИ"
#DEATH_KILLS,"УБИЙСТВА"
#DEATH_PASTHAUNTS,"Прошлое все еще преследует вас"
#DEATH_PASTKILLED,"Вы убили прошлое"
#DEATH_HELLCLEARED,"Зло изгнано"
#DEATH_KILLEDBY,"УБИЙЦА:"
#DEATH_NOBODY,"Никого. Вы отлично сражались!"
#DEATH_QUICKRESTART," Быстрый перезапуск"
#DEATH_MAINMENU," Вернуться в Брешь"
#LANGUAGE_ENGLISH,"Английский"
#LANGUAGE_SPANISH,"Испанский"
#LANGUAGE_FRENCH,"Французский"
#LANGUAGE_ITALIAN,"Итальянский"
#LANGUAGE_GERMAN,"Немецкий"
#LANGUAGE_PORTUGUESE,"Португальский"
#LANGUAGE_POLISH,"Польский"
#LANGUAGE_RUSSIAN,"Русский"
#LANGUAGE_JAPANESE,"Японский"
#LANGUAGE_KOREAN,"Корейский"
#AREYOUSURE,"Вы уверены?"
#AYS_QUITTODESKTOP,"Выйти на рабочий стол?"
#AYS_QUICKRESTART,"Начать заново?"
#AYS_SAVEOPTIONS,"Принять изменения?"
#AYS_MADECHANGES,"Отменить изменения?"
#AYS_RESETDEFAULTS,"Восстановить настройки по умолчанию?"
#YES,"Да"
#NO,"Нет"
#ENDGAME_STANDARD_THANKS,"Спасибо, что играете в нашу игру!"
#ENDGAME_STANDARD_MYSTERY,"Оружелье еще хранит немало тайн..."
#ENDGAME_STANDARD_PAST,"Вы убили Прошлое. Оружелье осталось..."
#HOW_TO_PLAY,"Просто перекатывайтесь."
#ACHIEVEMENT_ALTERNATE,"Пройти игру с использованием только стартового оружия с бесконечным боезапасом,"
#SELECTITEM,"Выбрать предмет"
#DROPWORD,"Бросить"
#PANMAP,"Двигать карту"
#SELECTTELEPORT,"Выбрать телепорт"
#TELEPORT,"Tелепорт"
#CURRENTITEM,"Текущий предмет"
#OPTIONS_RESETSAVESLOT,"Обнулить прохождение ячейки сохранения"
#AYS_CHANGESAVESLOT,"Сменить ячейку сохранения?"
#AYS_RESETSAVESLOT,"Обнулить прохождение?"
#AYS_RESETSAVESLOT2,"%CURRENTSLOT (%PLAYTIMEHOURS ч.)"
#OPTIONS_CONTROLLERSOUND,"Звук контроллера"
#MAINMENU_NEW_PLAY,"Играть"
#MAINMENU_NEW_QUIT,"Выйти"
#MAINMENU_NEW_QUICKSTART,"Быстрое начало"
#CHARACTERSELECT_PASTKILLED,"Прошлое убито"
#EXIT_COOP,"Выйти из совместного режима"
#FULL_CREDITS,"Enter the Gungeon\nby Dodge Roll LLC\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\nSFX by:\nErica Hampson\n\nMusic by:\nAdam 'Doseone' Drucker\n\nAdditional Level Design by:\nJon 'Storklord' Malloy\n\nVO by:\nErica Hampson\nAdam Drucker\nErnest Hampson VI\n\nTesters:\nDaren Makuck\nJames Barry\nJohn Michelli\nThomas Shamburger\nRitvik Bansal\nNorman Ren\nJerome Dendy\nVincent Morreale\n\nPromotional Art by:\nMax Grecke\n\nLogo by:\nCory Schmitz\n\nAdditional Art by:\nJohn Cipriani\nMaximo Lorenzo\nJared Lunt\nEric Polak\nMichael Phillippi\n\nTrailers by:\nKert Gartner\n\nAdditional Footage Capture by:\nDaren Makuck\n\nAnimated Trailer by:\nPowerhouse Animation\n\nWebsite by:\nNoel Barry\n\nComic by:\nDayjob Studio\nFederico Chemello\nRiccardo Gamba\nMaurizio Furini\n\nDevolver Digital:\nNigel Lowrie\nGraeme Struthers\nRick Stults\nHarry Miller\nMike Wilson\nAndrew Parsons\n\nPorting and Optimization Assistance by:\n22nd Century Toys LLC\nTony Bratton\nJoe Barton\nSean Barton\n\nLocalization:\nSophie Cristobal\nLoc & Load\nStudio Muehl\nA.C.E.\nKakehashi Games\nDICO Co., Ltd.\n\nJapanese Localization by:\nKeiko Fukuichi\n\nSpecial Thanks:\nPaul Barnett\nKate Flack\nKate Ludlow\nJohn Bartkiw\nJM Specht\nAthena Frazier\nElizabeth Petrov\nLinsey Miller\nZach Huntly\nNick Suttner\nESC Toys\nNick LaMartina\nLeah Henry\nPam & Frank Plummer\nErnest Hampson III\nLee Hampson\nJohn Yentes\nBrian DiMaggio\nDennis Liang\n\nMade with Unity\n2D Toolkit by Unikron Software\nAlagard Font by Hewett Tsoi 'Pix3M'\n\nPowered by Wwise © 2006 – 2016* Audiokinetic Inc.\nAll rights reserved.\n\n\n\nThanks for playing!"
#MAINMENU_CONTINUE,"Продолжить игру"
#QUICKRESTARTDETAIL,"Сохранить модификаторы?"
#OPTIONS_BEASTMODELVL2,"Режим зверя, ур. 2"
#OPTIONS_TINYUI,"Мини-интерфейс"
#OPTIONS_CHALLENGESLOWDOWN,"Перерыв между испытаниями"
#CH_BEST_FOR_LAST,"Последний настоящий патрон"
#CH_BLOBULIN_RANCHER,"Хозяин каплеидов"
#CH_BOO_ROOM,"Не мигай"
#CH_POT_SHOTS,"На авось"
#CH_CURSE_POTS,"Проклятые горшки"
#CH_DARKNESS,"Ночь была темна"
#CH_DRAGUN,"Ярость ружезмея"
#CH_FINAL_ATTACK,"Последний штурм"
#CH_EXPLODING_ENEMIES,"Взрывоопасный костер"
#CH_FLAME_TRAPS,"Месть крысы"
#CH_FRIENDLY_FIRE,"Стрельба по чужим"
#CH_GHOSTS,"Призрак гильзы"
#CH_GUN_QUEUE,"Очередь"
#CH_HAMMERTIME,"Время молота"
#CH_HIGH_STRESS,"Сильный стресс"
#CH_KING_ENEMY,"Да здравствует король"
#CH_THERMAL_CLIPS,"Раскаленные обоймы"
#CH_POISON_TRAIL,"Токсичная погоня"
#CH_ADRENALINE,"Выброс адреналина"
#CH_SHOCKWAVE,"Ударная волна"
#CH_ROCKETS,"Месть чайки"
#CH_MEDUZI,"Взгляд горпушки"
#CH_ZONE_CONTROL,"Зональный регулятор"
#OPTIONS_CONTROLLERTYPES,"Типы контроллеров"
#OPTIONS_CONTROLLERTYPES_DEFAULT,"По умолчанию"
#OPTIONS_CONTROLLERTYPES_XINPUTONLY,"Только XInput"
#OPTIONS_CONTROLLERTYPES_NOXINPUT,"Без XInput"
#OPTIONS_ALLOWUNKNOWNCONTROLLERS,"Разрешить неизвестные контроллеры"
#TERMINATOR_SHORTNAME,"Арена"
#TERMINATOR_NAME,"Арена императора"
#TERMINATOR_SECONDLINE,"Прошлое (117 лет назад)"
#BULLETPAST_SHORTNAME,"Подземелье"
#BULLETPAST_NAME,"Собственно Оружелье"
#BULLETPAST_SECONDLINE,"Прошлое (? лет назад)"
#SWITCH_PERFORMANCE,"Качество"
#SWITCH_BEAUTY,"Высокий"
#SWITCH_BALANCED,"Средне"
#SWITCH_SPEED,"Быстро"
#CHAR_RANDOM,"Случайный"
#RELOAD_BEHOLD,"Узреть"
#CH_DEMONWALL,"Ночной дозор"
#CH_HIGHPRIEST,"Надвигается беда"
#CH_BOSSSTATUES,"Очень плохие шахматы"
#OPTIONS_AIMASSIST_BEAM,"Объем помощи в наведении непрерывного луча"
#OPTIONS_AIMASSIST_BEAM_BINARY,"Помощь в наведении непрерывного луча"
#OPTIONS_GAMESPEED,"Скорость игры"
#OPTIONS_GAMESPEED_NORMAL,"Классическая"
#OPTIONS_GAMESPEED_TURBO,"Турбо"
#OPTIONS_SPEEDUP_OOC,"Увеличить скорость вне боя"
#OPTIONS_PUNCHOUT_DODGELEFT,"Уклон влево"
#OPTIONS_PUNCHOUT_DODGERIGHT,"Уклон вправо"
#OPTIONS_PUNCHOUT_BLOCK,"Блок"
#OPTIONS_PUNCHOUT_DUCK,"Пригнуться"
#OPTIONS_PUNCHOUT_PUNCHLEFT,"Джеб с левой"
#OPTIONS_PUNCHOUT_PUNCHRIGHT,"Джеб с правой"
#OPTIONS_PUNCHOUT_SUPER,"Супер"
#OPTIONS_LOOTPROFILE,"Профиль трофеев"
#OPTIONS_LOOTPROFILE_AGAD,"Gungeons and Draguns"
#OPTIONS_LOOTPROFILE_OLD,"Классический"
#SUPERDUPERAUTOAIM,"Автоприцеливание с контроллера"
#SUPERDUPERAUTOAIM_OPTION_01,"Автообнаружение"
#SUPERDUPERAUTOAIM_OPTION_02,"Всегда"
#SUPERDUPERAUTOAIM_OPTION_03,"Никогда"
#SUPERDUPERAUTOAIM_OPTION_04,"Только СОВМЕСТНЫЙ РЕЖИМ"
#SUPERDUPERAUTOAIM_INFO_A,"Берет в цель ближайшего врага."
#SUPERDUPERAUTOAIM_INFO_B,"Берет в цель ближайшего врага (если не включен ручной режим)"
#SUPERDUPERAUTOAIM_WARNING_TITLE,"ПОДСКАЗКА:"
#SUPERDUPERAUTOAIM_WARNING_BODY,"Для прицеливания используй %CONTROL_AIM"
#SUPERDUPERAUTOAIM_POPUP_TITLE,"Автоприцеливание активировано"
#SUPERDUPERAUTOAIM_WARNING_BODY_A,"Зайди в настройки игры, чтобы выключить."
#SUPERDUPERAUTOAIM_WARNING_BODY_B,"Подробнее читай в настройках."
#OPTIONS_VIEWPRIVACY,"политика конфиденциальности"
#MISC_TITLE_BASE,"Enter the Gungeon"
#MISC_TITLE_SDU,"Обновленный тайник со снаряжением"
#MISC_TITLE_AGD,"Advanced Gungeons & Draguns"
#MISC_TITLE_AFTA,"A Farewell To Arms"
#MISC_TITLE_AFTA_COMBINED,"Enter the Gungeon: A Farewell To Arms"
#CHAR_SELECT_SWAP_GUNS,"Сменить стартовую пушку"
#CHAR_SELECT_CHANGE_COSTUME_A,"Надеть костюм"
#CHAR_SELECT_CHANGE_COSTUME_B,"Сменить одежду"
#CHAR_SELECT_CHANGE_COSTUME_C,"Надеть"
#PARADOX_CHAR_NOPAST,"Нет прошлого"
#CHAR_PARADOX,"Парадокс"
#CHAR_PARADOX_SHORT,"Парадокс"
#CHAR_GUNSLINGER,"Стрелок"
#CHAR_GUNSLINGER_SHORT,"Стрелок"
#NAKATOMI_SHORTNAME_V1,"Оружейно-конструкторский отдел"
#NAKATOMI_SHORTNAME_V2,"НИОКР"
#NAKATOMI_SHORTNAME_V3,"БУХГАЛТЕРИЯ"
#RAINBOW_POPUP_ACTIVE,"Радужный забег"
#RAINBOW_POPUP_INACTIVE,"Нерадужный забег"
