KEY,ZH
#HEGEMONYSPACE_SHORTNAME,"宇宙"
#HEGEMONYSPACE_NAME,"霸权区域"
#HEGEMONYSPACE_SECONDLINE,"过去（11年前）"
#RELOAD,"重新装弹"
#RELOAD_BEHOLD,"注意"
#RELOAD_EMPTY,"空"
#RELOAD_FULL,"满"
#OPTIONS_AUDIO,"音频"
#OPTIONS_CONTROLS,"控制键"
#OPTIONS_GAMEPLAY,"游戏"
#OPTIONS_VIDEO,"视频"
#OPTIONS_CANCEL,"取消"
#OPTIONS_RESETDEFAULTS,"重置默认值"
#OPTIONS_CONFIRM,"确认"
#OPTIONS_MUSICVOLUME,"音乐音量"
#OPTIONS_SFXVOLUME,"音效音量"
#OPTIONS_UIVOLUME,"界面音量"
#OPTIONS_SPEAKERSETUP,"扬声器设置"
#OPTIONS_SPEAKERS,"扬声器"
#OPTIONS_HEADPHONES,"头戴式耳机"
#OPTIONS_GAMMA,"伽马"
#OPTIONS_DISPLAYSAFEAREA,"显示安全区"
#OPTIONS_QUICKCHARACTER,"默认角色"
#OPTIONS_SPEEDRUN,"加速模式"
#OPTIONS_BEASTMODE,"野兽模式"
#OPTIONS_AIMASSIST,"手柄辅助瞄准量"
#OPTIONS_SCREENSHAKE,"屏幕振动量"
#OPTIONS_COOPSCREENSHAKE,"联机枪械减震"
#OPTIONS_STICKYFRICTION,"粘性摩擦量"
#OPTIONS_TEXTSPEED,"文本速度"
#OPTIONS_HOWTOPLAY,"游戏规则"
#OPTIONS_VIEWCREDITS,"鸣谢"
#OPTIONS_CONTROLLERCAMERAMOVES,"手柄目标瞄准"
#OPTIONS_SAVESLOT,"存档位"
#OPTIONS_SAVESLOTA,"存档A"
#OPTIONS_SAVESLOTB,"存档B"
#OPTIONS_SAVESLOTC,"存档C"
#OPTIONS_SAVESLOTD,"存档D"
#OPTIONS_RESETSAVESLOT,"重置存档进度"
#OPTIONS_SHOWCONTROLLERCURSOR,"光标"
#OPTIONS_CURSOR,"光标"
#OPTIONS_ZOOMONLARGEBOSS,"启用变焦功能放大最终怪物"
#OPTIONS_RUMBLE,"启动"
#OPTIONS_GUNMENU,"武器单"
#OPTIONS_GUNMENU_HOLD,"武器单（长按）"
#OPTIONS_QUICKSELECT,"启用快速换枪"
#OPTIONS_HIDEEMPTYGUNS,"在战斗中隐藏空枪"
#OPTIONS_DEBRISQUANTITY,"残骸数量"
#OPTIONS_LIGHTINGQUALITY,"照明质量"
#OPTIONS_MONITORSELECT,"显示器选择"
#OPTIONS_MONITOR,"显示器"
#OPTIONS_RESOLUTION,"分辨率"
#OPTIONS_SCALINGMODE,"缩放模式"
#OPTIONS_FULLSCREEN,"全屏"
#OPTIONS_WINDOWED,"窗口模式"
#OPTIONS_BORDERLESS,"无边框"
#OPTIONS_SCREENMODE,"显示器模式"
#OPTIONS_SHADERQUALITY,"着色器质量"
#OPTIONS_VSYNC,"垂直同步"
#OPTIONS_RECOMMENDED,"推荐"
#OPTIONS_CUSTOM,"自定义"
#OPTIONS_VISUALPRESET,"视觉预置"
#OPTIONS_REFLECTIONS,"实时记录"
#OPTIONS_KEYBOARDMOUSE,"键盘/鼠标"
#OPTIONS_RESOLUTION_BEST,"正确的宽高比，强制完美像素。\n最佳的视觉体验。"
#OPTIONS_RESOLUTION_GOOD,"不正确的宽高比，强制完美像素。\n将导致黑框。"
#OPTIONS_RESOLUTION_BAD,"无完美像素分辨。\n可能会发生像素拉伸，除非使用强制完美像素。"
#OPTIONS_PIXELPERFECT,"强制完美像素"
#OPTIONS_PIXELPERFECT_INFO,"最好的视觉设计。我们的艺术家也很引以为豪。\n仅在选择正确的分辨率时可用。"
#OPTIONS_UNIFORMSCALING,"均匀缩放"
#OPTIONS_UNIFORMSCALINGFAST,"快速缩放"
#OPTIONS_UNIFORMSCALING_INFOGOOD,"正确的宽高比，按照您的分辨率进行设置。\n当前为强制完美像素。"
#OPTIONS_UNIFORMSCALING_INFOBAD,"正确的宽高比，按照您的分辨率进行设置。\n当前像素已被拉伸。"
#OPTIONS_FORCEPIXELPERFECT,"强制完美像素"
#OPTIONS_FORCEPIXELPERFECT_INFO,"最好的视觉设计。我们的艺术家也很引以为豪。\n可能会导致显示黑框。"
#OPTIONS_MINIMAPSTYLE,"显示迷你地图"
#OPTIONS_MINIMAPALWAYS,"始终"
#OPTIONS_MINIMAPNONCOMBAT,"无战斗时"
#OPTIONS_MINIMAPNEVER,"从不"
#OPTIONS_HIGH,"高"
#OPTIONS_FAST,"快"
#OPTIONS_MEDIUM,"中等"
#OPTIONS_LOW,"低"
#OPTIONS_SLOW,"慢"
#OPTIONS_INSTANT,"立即"
#OPTIONS_VERYLOW,"非常低"
#OPTIONS_PS4,"PS4"
#OPTIONS_XBOX,"Xbox"
#OPTIONS_BLANKCONTROL,"额外的空响弹绑定"
#OPTIONS_NONE,"无"
#OPTIONS_BOTHSTICKSDOWN,"按下两个摇杆"
#OPTIONS_SHOOT,"射击"
#OPTIONS_DODGEROLL,"翻滚躲闪"
#OPTIONS_INTERACT,"互动"
#OPTIONS_RELOAD,"重新装弹"
#OPTIONS_MOVE,"移动"
#OPTIONS_MOVEUP,"向上移动"
#OPTIONS_MOVEDOWN,"向下移动"
#OPTIONS_MOVELEFT,"向左移动"
#OPTIONS_MOVERIGHT,"向右移动"
#OPTIONS_AIM,"瞄准"
#OPTIONS_AIMUP,"向上瞄准"
#OPTIONS_AIMDOWN,"向下瞄准"
#OPTIONS_AIMLEFT,"向左瞄准"
#OPTIONS_AIMRIGHT,"向右瞄准"
#OPTIONS_MENUUP,"Menu Up"
#OPTIONS_MENUDOWN,"Menu Down"
#OPTIONS_MENULEFT,"Menu Left"
#OPTIONS_MENURIGHT,"Menu Right"
#OPTIONS_MENUSELECT,"Menu Select"
#OPTIONS_MENUCANCEL,"Menu Cancel"
#OPTIONS_USEITEM,"使用道具"
#OPTIONS_USEBLANK,"使用空响弹"
#OPTIONS_MAP,"地图"
#OPTIONS_MAP_HOLD,"地图（长按）"
#OPTIONS_CYCLEGUNUP,"下一只枪"
#OPTIONS_CYCLEGUNDOWN,"上一只枪"
#OPTIONS_CYCLEITEMUP,"下一个道具"
#OPTIONS_CYCLEITEMUP_HOLD,"下一个道具（长按）"
#OPTIONS_CYCLEITEMDOWN,"上一个道具"
#OPTIONS_DROPGUN,"扔下枪（长按）"
#OPTIONS_DROPITEM,"扔下道具（长按）"
#OPTIONS_LANGUAGE,"语言"
#OPTIONS_PAUSE,"暂停"
#OPTIONS_INVENTORY,"物品栏"
#OPTIONS_EDITKEYBOARDBINDINGS,"编辑键位"
#OPTIONS_PLAYERONE,"1号玩家"
#OPTIONS_PLAYERTWO,"2号玩家"
#OPTIONS_CONTROLLERPORT,"手柄接口"
#OPTIONS_CONTROLLERCURSOR,"手柄光标"
#OPTIONS_BUTTONIMAGES,"手柄按键图"
#OPTIONS_EDITP1BINDINGS,"编辑 P1 手柄按键"
#OPTIONS_EDITP2BINDINGS,"编辑 P2 手柄按键"
#PAUSE_PAUSED,"暂停中"
#PAUSE_RESUME,"继续"
#OPTIONS,"选项"
#AMMONOMICON,"枪械百科"
#PAUSE_QUICKRESTART,"快速重新开始"
#PAUSE_EXITTOMAINMENU,"返回主菜单"
#PAUSE_QUITTODESKTOP,"返回桌面"
#AMMONOMICON_HEADEREQUIPMENT,"装备"
#AMMONOMICON_HEADERGUNS,"枪"
#AMMONOMICON_HEADERGUNS_LC,"枪"
#AMMONOMICON_HEADERITEMS,"道具"
#AMMONOMICON_HEADERENEMIES,"敌人"
#AMMONOMICON_HEADERBOSSES,"大怪物"
#JOINEDTHESHOOTOUT1,"已加入"
#JOINEDTHESHOOTOUT2,"枪战"
#AMMONOMICON_UNKNOWN,"未知的"
#AMMONOMICON_QUESTIONS,"???"
#AMMONOMICON_MYSTERIOUS,"地牢的一些秘密仍未揭开。"
#DEATH_YOUWON,"你赢了"
#DEATH_YOUDIED,"你死了"
#DEATH_GUNGEONEER,"地牢囚犯"
#DEATH_AREA,"地区"
#DEATH_TIME,"时间"
#DEATH_MONEY,"金钱"
#DEATH_KILLS,"击杀"
#DEATH_PASTHAUNTS,"过去仍困扰着你"
#DEATH_PASTKILLED,"你抹掉了过去"
#DEATH_HELLCLEARED,"驱赶邪恶"
#DEATH_KILLEDBY,"击杀者"
#DEATH_NOBODY,"没有人。你做的很棒！"
#DEATH_QUICKRESTART,"快速重启"
#DEATH_MAINMENU,"回到裂隙"
#LANGUAGE_ENGLISH,"英语"
#LANGUAGE_SPANISH,"西班牙语"
#LANGUAGE_FRENCH,"法语"
#LANGUAGE_ITALIAN,"意大利语"
#LANGUAGE_GERMAN,"德语"
#LANGUAGE_PORTUGUESE,"葡萄牙语"
#LANGUAGE_POLISH,"波兰语"
#LANGUAGE_RUSSIAN,"俄语"
#LANGUAGE_JAPANESE,"日语"
#LANGUAGE_KOREAN,"韩语"
#LANGUAGE_CHINESE,"中文"
#AREYOUSURE,"确定吗？"
#AYS_QUITTODESKTOP,"返回桌面？"
#AYS_QUICKRESTART,"重启？"
#AYS_SAVEOPTIONS,"提交更改？"
#AYS_MADECHANGES,"放弃更改？"
#AYS_RESETDEFAULTS,"重置默认值？"
#AYS_CHANGESAVESLOT,"更换存档？"
#AYS_RESETSAVESLOT,"是否重置进度？"
#AYS_RESETSAVESLOT2,"%当前存档（%游戏时间 小时）"
#YES,"是"
#NO,"否"
#ENDGAME_STANDARD_THANKS,"感谢您的参与！"
#ENDGAME_STANDARD_MYSTERY,"地牢仍然保持着神秘感…"
#ENDGAME_STANDARD_PAST,"你抹掉了过去。地牢仍存在…"
#SELECTITEM,"选择道具"
#DROPWORD,"放下"
#PANMAP,"平移地图"
#SELECTTELEPORT,"选择传送"
#TELEPORT,"传送"
#CURRENTITEM,"目前道具"
#HOW_TO_PLAY,"直接翻滚躲闪。"
#FULL_CREDITS,"挺进地牢\n通过翻滚躲闪\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\n特效： Erica Hampson\n音乐： Adam Doseone Drucker\n其他美术师： John Cipriani\nMax Grecke\nCory Schmitz\nSpecial 鸣谢：\n\n\nPaul Barnett\nNigel Lowrie\nEric Polak\nMichael Philipi\nMaximo Lorenzo\nKert Gartner\nNoel Barry\nDevolver的所有员工\nPowerhouse动画公司"
#MAINMENU_CONTINUE,"继续"
#QUICKRESTARTDETAIL,"保留修改工具栏？"
#OPTIONS_BEASTMODELVL2,"野兽模式第二级"
#OPTIONS_TINYUI,"迷你用户界面"
#OPTIONS_CHALLENGESLOWDOWN,"挑战进入房间的慢效果"
#CH_BEST_FOR_LAST,"战至最后一颗子弹"
#CH_BLOBULIN_RANCHER,"小小分裂怪农场主"
#CH_BOO_ROOM,"别眨眼"
#CH_POT_SHOTS,"盲目射击"
#CH_CURSE_POTS,"被诅咒的陶器"
#CH_DARKNESS,"暗夜的试炼"
#CH_DRAGUN,"枪龙暴怒"
#CH_FINAL_ATTACK,"最后一击"
#CH_EXPLODING_ENEMIES,"易爆柴堆"
#CH_FLAME_TRAPS,"大鼠的复仇"
#CH_FRIENDLY_FIRE,"害火"
#CH_GHOSTS,"炮弹的鬼魂"
#CH_GUN_QUEUE,"枪队"
#CH_HAMMERTIME,"完败时间到"
#CH_HIGH_STRESS,"高压"
#CH_KING_ENEMY,"国王万岁"
#CH_THERMAL_CLIPS,"发热弹匣"
#CH_POISON_TRAIL,"爱好毒药"
#CH_ADRENALINE,"一阵兴奋"
#CH_SHOCKWAVE,"冲击波"
#CH_ROCKETS,"鸥之复仇"
#CH_MEDUZI,"蛇发女怪的凝视"
#CH_ZONE_CONTROL,"分区控制"
#CH_DEMONWALL,"守夜者模式"
#CH_HIGHPRIEST,"邪恶大祭司模式"
#CH_BOSSSTATUES,"Bad Chess模式"
#OPTIONS_CONTROLLERTYPES,"控制器类型"
#OPTIONS_CONTROLLERTYPES_DEFAULT,"默认值"
#OPTIONS_CONTROLLERTYPES_XINPUTONLY,"只有Xinput"
#OPTIONS_CONTROLLERTYPES_NOXINPUT,"无Xinput"
#OPTIONS_ALLOWUNKNOWNCONTROLLERS,"允许未知控制器"
#TERMINATOR_SHORTNAME,"竞技场"
#TERMINATOR_NAME,"皇帝的竞技场"
#TERMINATOR_SECONDLINE,"过去（117年前）"
#BULLETPAST_SHORTNAME,"地牢"
#BULLETPAST_NAME,"真正的地牢"
#BULLETPAST_SECONDLINE,"过去（？年前）"
#SWITCH_PERFORMANCE,"视觉预置"
#SWITCH_BEAUTY,"高"
#SWITCH_BALANCED,"中等"
#SWITCH_SPEED,"快"
#OPTIONS_AIMASSIST_BEAM,"持续射线瞄准辅助数量"
#OPTIONS_AIMASSIST_BEAM_BINARY,"持续射线瞄准辅助"
#OPTIONS_GAMESPEED,"游戏速度"
#OPTIONS_GAMESPEED_NORMAL,"经典"
#OPTIONS_GAMESPEED_TURBO,"加速模式"
#OPTIONS_SPEEDUP_OOC,"非战斗模式下速度加快"
#OPTIONS_PUNCHOUT_DODGELEFT,"向左躲闪"
#OPTIONS_PUNCHOUT_DODGERIGHT,"向右躲闪"
#OPTIONS_PUNCHOUT_BLOCK,"格挡"
#OPTIONS_PUNCHOUT_DUCK,"躲避"
#OPTIONS_PUNCHOUT_PUNCHLEFT,"左直拳"
#OPTIONS_PUNCHOUT_PUNCHRIGHT,"右直拳"
#OPTIONS_PUNCHOUT_SUPER,"超级拳"
#OPTIONS_LOOTPROFILE,"战利品掉落设定"
#OPTIONS_LOOTPROFILE_AGAD,"AG&D更新"
#OPTIONS_LOOTPROFILE_OLD,"原版"
#OPTIONS_VIEWPRIVACY,"隐私权政策"
#SUPERDUPERAUTOAIM,"控制器自动瞄准"
#SUPERDUPERAUTOAIM_OPTION_01,"自动检测"
#SUPERDUPERAUTOAIM_OPTION_02,"一直开启"
#SUPERDUPERAUTOAIM_OPTION_03,"永不"
#SUPERDUPERAUTOAIM_OPTION_04,"仅在合作模式开启"
#SUPERDUPERAUTOAIM_INFO_A,"永远瞄准距离最近的敌人。"
#SUPERDUPERAUTOAIM_INFO_B,"永远瞄准距离最近的敌人，但可以被手动覆盖。"
#SUPERDUPERAUTOAIM_WARNING_TITLE,"提示："
#SUPERDUPERAUTOAIM_WARNING_BODY,"用 %CONTROL_AIM 来瞄准！"
#SUPERDUPERAUTOAIM_POPUP_TITLE,"自动瞄准已开启"
#SUPERDUPERAUTOAIM_WARNING_BODY_A,"你可以在 选项-游戏 中关闭它。"
#SUPERDUPERAUTOAIM_WARNING_BODY_B,"你可以在 选项 中了解更多信息。"
#MISC_TITLE_BASE,"挺进地牢"
#MISC_TITLE_SDU,"空投补给更新"
#MISC_TITLE_AGD,"高级龙与枪下城"
#MISC_TITLE_AFTA,"永别了武器"
#MISC_TITLE_AFTA_COMBINED,"挺进地牢：永别了武器"
#CHAR_SELECT_SWAP_GUNS,"交换初始枪"
#CHAR_SELECT_CHANGE_COSTUME_A,"变装"
#CHAR_SELECT_CHANGE_COSTUME_B,"换衣服"
#CHAR_SELECT_CHANGE_COSTUME_C,"穿上"
#PARADOX_CHAR_NOPAST,"没有过去"
#CHAR_PARADOX,"矛盾"
#CHAR_PARADOX_SHORT,"矛盾"
#CHAR_GUNSLINGER,"枪手"
#CHAR_GUNSLINGER_SHORT,"枪手"
#NAKATOMI_SHORTNAME_V1,"研枪部门"
#NAKATOMI_SHORTNAME_V2,"研枪部"
#NAKATOMI_SHORTNAME_V3,"会计部"
#RAINBOW_POPUP_ACTIVE,"彩虹局"
#RAINBOW_POPUP_INACTIVE,"非彩虹局"
