KEY,IT
#OPTIONS_VIEWCREDITS,"Riconoscimenti"
#OPTIONS_CONTROLLERCAMERAMOVES,"Visuale mira controller"
#OPTIONS_SAVESLOT,"SLOT DI SALVATAGGIO"
#OPTIONS_SAVESLOTA,"SLOT A"
#OPTIONS_SAVESLOTB,"SLOT B"
#OPTIONS_SAVESLOTC,"SLOT C"
#OPTIONS_SAVESLOTD,"SLOT D"
#OPTIONS_SHOWCONTROLLERCURSOR,"Cursore"
#OPTIONS_CURSOR,"Cursore"
#OPTIONS_ZOOMONLARGEBOSS,"Zoom boss"
#OPTIONS_RUMBLE,"VIBRAZIONE"
#OPTIONS_GUNMENU,"Menu arma"
#OPTIONS_GUNMENU_HOLD,"Menu arma"
#OPTIONS_QUICKSELECT,"Cambio arma rapido"
#OPTIONS_HIDEEMPTYGUNS,"Nascondi armi scariche nei combattimenti"
#OPTIONS_DEBRISQUANTITY,"Quantità detriti"
#OPTIONS_LIGHTINGQUALITY,"Qualità illuminazione"
#OPTIONS_MONITORSELECT,"Selezione monitor"
#OPTIONS_MONITOR,"Monitor"
#OPTIONS_RESOLUTION,"Risoluzione"
#OPTIONS_SCALINGMODE,"Modalità scalata"
#OPTIONS_FULLSCREEN,"Schermo intero"
#OPTIONS_WINDOWED,"Finestra"
#OPTIONS_BORDERLESS,"Senza bordi"
#OPTIONS_SCREENMODE,"Modalità schermo"
#OPTIONS_SHADERQUALITY,"Qualità shader"
#OPTIONS_VSYNC,"Sinc. verticale"
#OPTIONS_RECOMMENDED,"Impostazioni consigliate"
#OPTIONS_CUSTOM,"Impostazioni personali"
#OPTIONS_VISUALPRESET,"Preset grafico"
#OPTIONS_REFLECTIONS,"Riflessi in tempo reale"
#OPTIONS_KEYBOARDMOUSE,"Tastiera/mouse"
#OPTIONS_RESOLUTION_BEST,"Rapporto d'aspetto corretto, risoluzione con pixel perfetti.\nLa migliore esperienza grafica."
#OPTIONS_RESOLUTION_GOOD,"Rapporto d'aspetto non corretto, risoluzione con pixel perfetti.\nAppariranno barre nere."
#OPTIONS_RESOLUTION_BAD,"Risoluzione con pixel imperfetti.\nPossibile distorsione dei pixel, a meno che la modalità scalata non sia Forza pixel perfetti."
#OPTIONS_PIXELPERFECT,"Pixel perfetti"
#OPTIONS_PIXELPERFECT_INFO,"L'impostazione ideale che fa felice il nostro grafico.\nDisponibile solo se è stata selezionata la risoluzione corretta."
#OPTIONS_UNIFORMSCALING,"Scala uniforme"
#OPTIONS_UNIFORMSCALINGFAST,"Scala veloce"
#OPTIONS_UNIFORMSCALING_INFOGOOD,"Rapporto d'aspetto corretto, scalato in base alla risoluzione selezionata.\nVisualizzazione attuale con pixel perfetti."
#OPTIONS_UNIFORMSCALING_INFOBAD,"Rapporto d'aspetto corretto, scalato in base alla risoluzione selezionata.\nVisualizzazione attuale con pixel distorti."
#OPTIONS_FORCEPIXELPERFECT,"Forza pixel perfetti"
#OPTIONS_FORCEPIXELPERFECT_INFO,"L'impostazione ideale che fa felice il nostro grafico.\nPotrebbero comparire barre nere."
#OPTIONS_MINIMAPSTYLE,"Mostra minimappa"
#OPTIONS_MINIMAPALWAYS,"Sempre"
#OPTIONS_MINIMAPNONCOMBAT,"Non in combattimento"
#OPTIONS_MINIMAPNEVER,"Mai"
#OPTIONS_HIGH,"Alta"
#OPTIONS_FAST,"Veloce"
#OPTIONS_MEDIUM,"Media"
#OPTIONS_LOW,"Bassa"
#OPTIONS_VERYLOW,"Molto Bassa"
#OPTIONS_SLOW,"Lento"
#OPTIONS_INSTANT,"Istantaneo"
#OPTIONS_PS4,"PS4"
#OPTIONS_XBOX,"Xbox"
#OPTIONS_BLANKCONTROL,"Tasto alternativo obliteratore"
#OPTIONS_NONE,"No"
#OPTIONS_BOTHSTICKSDOWN,"Due levette giù"
#OPTIONS_SHOOT,"Spara"
#OPTIONS_DODGEROLL,"Rotoschivata"
#OPTIONS_INTERACT,"Interagisci"
#OPTIONS_RELOAD,"Ricarica"
#OPTIONS_MOVE,"Camminare"
#OPTIONS_MOVEUP,"Su"
#OPTIONS_MOVEDOWN,"Giù"
#OPTIONS_MOVELEFT,"Sinistra"
#OPTIONS_MOVERIGHT,"Destra"
#OPTIONS_AIM,"Mirare"
#OPTIONS_AIMUP,"Mirare Su"
#OPTIONS_AIMDOWN,"Mirare Giù"
#OPTIONS_AIMLEFT,"Mirare Sinistra"
#OPTIONS_AIMRIGHT,"Mirare Destra"
#OPTIONS_MENUUP,"Menu Up"
#OPTIONS_MENUDOWN,"Menu Down"
#OPTIONS_MENULEFT,"Menu Left"
#OPTIONS_MENURIGHT,"Menu Right"
#OPTIONS_MENUSELECT,"Menu Select"
#OPTIONS_MENUCANCEL,"Menu Cancel"
#OPTIONS_USEITEM,"Usa oggetto"
#OPTIONS_USEBLANK,"Usa obliteratore"
#OPTIONS_MAP,"Mappa"
#OPTIONS_MAP_HOLD,"Mappa"
#OPTIONS_CYCLEGUNUP,"Arma successiva"
#OPTIONS_CYCLEGUNDOWN,"Arma precedente"
#OPTIONS_CYCLEITEMUP,"Oggetto successivo"
#OPTIONS_CYCLEITEMUP_HOLD,"Cambia oggetto (tieni premuto)"
#OPTIONS_CYCLEITEMDOWN,"Oggetto precedente"
#OPTIONS_DROPGUN,"Lascia arma"
#OPTIONS_DROPITEM,"Lascia oggetto"
#OPTIONS_LANGUAGE,"Lingua"
#OPTIONS_PAUSE,"Pausa"
#OPTIONS_INVENTORY,"Inventario"
#OPTIONS_EDITKEYBOARDBINDINGS,"Modifica comandi tastiera"
#OPTIONS_PLAYERONE,"Giocatore 1"
#OPTIONS_PLAYERTWO,"Giocatore 2"
#OPTIONS_CONTROLLERPORT,"Porta controller"
#OPTIONS_CONTROLLERCURSOR,"Cursore controller"
#OPTIONS_BUTTONIMAGES,"Immagini comandi controller"
#OPTIONS_EDITP1BINDINGS,"Modifica comandi controller G1"
#OPTIONS_EDITP2BINDINGS,"Modifica comandi controller G2"
#PAUSE_PAUSED,"IN PAUSA"
#PAUSE_RESUME,"Riprendi"
#OPTIONS,"Opzioni"
#AMMONOMICON,"Armonomicon"
#PAUSE_QUICKRESTART,"Riavvio rapido"
#PAUSE_EXITTOMAINMENU,"Menu principale"
#PAUSE_QUITTODESKTOP,"Torna al desktop"
#AMMONOMICON_HEADEREQUIPMENT,"Equipaggiamento"
#AMMONOMICON_HEADERGUNS,"ARMI"
#AMMONOMICON_HEADERGUNS_LC,"Armi"
#AMMONOMICON_HEADERITEMS,"OGGETTI"
#AMMONOMICON_HEADERENEMIES,"NEMICI"
#AMMONOMICON_HEADERBOSSES,"BOSS"
#JOINEDTHESHOOTOUT1,"PARTECIPA"
#JOINEDTHESHOOTOUT2,"ALLA SPARATORIA"
#AMMONOMICON_UNKNOWN,"Ignoto"
#AMMONOMICON_QUESTIONS,"???"
#AMMONOMICON_MYSTERIOUS,"Il Gungeon ha ancora dei segreti nascosti."
#DEATH_YOUWON,"HAI VINTO"
#DEATH_YOUDIED,"HAI PERSO"
#DEATH_GUNGEONEER,"GUNGEONISTA"
#DEATH_AREA,"ZONA"
#DEATH_TIME,"TEMPO"
#DEATH_MONEY,"DENARO"
#DEATH_KILLS,"UCCISIONI"
#DEATH_PASTHAUNTS,"Il passato ti perseguita"
#DEATH_PASTKILLED,"Hai ucciso il tuo passato"
#DEATH_HELLCLEARED,"Il male è stato sconfitto."
#DEATH_KILLEDBY,"COSA TI HA UCCISO"
#DEATH_NOBODY,"Niente e nessuno. Complimenti!"
#DEATH_QUICKRESTART," Riavvio rapido"
#DEATH_MAINMENU," Torna al Varco"
#LANGUAGE_ENGLISH,"Inglese"
#LANGUAGE_SPANISH,"Spagnolo"
#LANGUAGE_FRENCH,"Francese"
#LANGUAGE_ITALIAN,"Italiano"
#LANGUAGE_GERMAN,"Tedesco"
#LANGUAGE_PORTUGUESE,"Portoghese"
#LANGUAGE_POLISH,"Polacco"
#LANGUAGE_RUSSIAN,"Russo"
#LANGUAGE_JAPANESE,"Giapponese"
#LANGUAGE_KOREAN,"Coreano"
#AREYOUSURE,"Confermare?"
#AYS_QUITTODESKTOP,"Tornare al desktop?"
#AYS_QUICKRESTART,"Riavviare?"
#AYS_SAVEOPTIONS,"Salvare le modifiche?"
#AYS_MADECHANGES,"Annullare le modifiche?"
#AYS_RESETDEFAULTS,"Ripristinare le impostazioni predefinite?"
#YES,"Sì"
#NO,"No"
#ENDGAME_STANDARD_THANKS,"Grazie per aver giocato!"
#ENDGAME_STANDARD_MYSTERY,"Il Gungeon cela ancora dei misteri..."
#ENDGAME_STANDARD_PAST,"Hai ucciso il tuo passato, ma il Gungeon è ancora lì..."
#HOW_TO_PLAY,"Usa la rotoschivata."
#ACHIEVEMENT_ALTERNATE,"Completa il gioco usando solo un'arma iniziale con munizioni infinite."
#SELECTITEM,"Seleziona oggetto"
#DROPWORD,"Lascia"
#PANMAP,"Sposta mappa"
#SELECTTELEPORT,"Seleziona teletrasportatore"
#TELEPORT,"Teletrasporto"
#CURRENTITEM,"Oggetto attuale"
#CHARACTERSELECT_PASTKILLED,"Passato ucciso"
#OPTIONS_RESETSAVESLOT,"Azzera progressi slot di salvataggio"
#AYS_CHANGESAVESLOT,"Cambiare slot di salvataggio?"
#AYS_RESETSAVESLOT,"Azzerare i progressi?"
#AYS_RESETSAVESLOT2,"%CURRENTSLOT (%PLAYTIMEHOURS ore)"
#OPTIONS_CONTROLLERSOUND,"Suono controller"
#MAINMENU_NEW_PLAY,"Gioca"
#MAINMENU_NEW_QUIT,"Esci"
#MAINMENU_NEW_QUICKSTART,"Avvio rapido"
#EXIT_COOP,"Esci dalla modalità Coop"
#FULL_CREDITS,"Enter the Gungeon\nby Dodge Roll LLC\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\nSFX by:\nErica Hampson\n\nMusic by:\nAdam 'Doseone' Drucker\n\nAdditional Level Design by:\nJon 'Storklord' Malloy\n\nVO by:\nErica Hampson\nAdam Drucker\nErnest Hampson VI\n\nTesters:\nDaren Makuck\nJames Barry\nJohn Michelli\nThomas Shamburger\nRitvik Bansal\nNorman Ren\nJerome Dendy\nVincent Morreale\n\nPromotional Art by:\nMax Grecke\n\nLogo by:\nCory Schmitz\n\nAdditional Art by:\nJohn Cipriani\nMaximo Lorenzo\nJared Lunt\nEric Polak\nMichael Phillippi\n\nTrailers by:\nKert Gartner\n\nAdditional Footage Capture by:\nDaren Makuck\n\nAnimated Trailer by:\nPowerhouse Animation\n\nWebsite by:\nNoel Barry\n\nComic by:\nDayjob Studio\nFederico Chemello\nRiccardo Gamba\nMaurizio Furini\n\nDevolver Digital:\nNigel Lowrie\nGraeme Struthers\nRick Stults\nHarry Miller\nMike Wilson\nAndrew Parsons\n\nPorting and Optimization Assistance by:\n22nd Century Toys LLC\nTony Bratton\nJoe Barton\nSean Barton\n\nLocalization:\nSophie Cristobal\nLoc & Load\nStudio Muehl\nA.C.E.\nKakehashi Games\nDICO Co., Ltd.\n\nJapanese Localization by:\nKeiko Fukuichi\n\nSpecial Thanks:\nPaul Barnett\nKate Flack\nKate Ludlow\nJohn Bartkiw\nJM Specht\nAthena Frazier\nElizabeth Petrov\nLinsey Miller\nZach Huntly\nNick Suttner\nESC Toys\nNick LaMartina\nLeah Henry\nPam & Frank Plummer\nErnest Hampson III\nLee Hampson\nJohn Yentes\nBrian DiMaggio\nDennis Liang\n\nMade with Unity\n2D Toolkit by Unikron Software\nAlagard Font by Hewett Tsoi 'Pix3M'\n\nPowered by Wwise © 2006 – 2016* Audiokinetic Inc.\nAll rights reserved.\n\n\n\nThanks for playing!"
#MAINMENU_CONTINUE,"Continua"
#QUICKRESTARTDETAIL,"Mantenere i modificatori?"
#OPTIONS_BEASTMODELVL2,"Modalità Belva liv. 2"
#OPTIONS_TINYUI,"Interfaccia minima"
#OPTIONS_CHALLENGESLOWDOWN,"Ritardo stanze sfida"
#CH_BEST_FOR_LAST,"Ultimo proiettile ancora in piedi"
#CH_BLOBULIN_RANCHER,"Allevamento di miniblobuli"
#CH_BOO_ROOM,"Occhi aperti"
#CH_POT_SHOTS,"Colpi di coccio"
#CH_CURSE_POTS,"Maledetta ceramica"
#CH_DARKNESS,"Nel buio della notte"
#CH_DRAGUN,"Furia dell'armadrago"
#CH_FINAL_ATTACK,"Attacco finale"
#CH_EXPLODING_ENEMIES,"Pira esplosiva"
#CH_FLAME_TRAPS,"La vendetta del Ratto"
#CH_FRIENDLY_FIRE,"Fuoco nemico"
#CH_GHOSTS,"Ritorno spettrale"
#CH_GUN_QUEUE,"Armi in coda"
#CH_HAMMERTIME,"L'ora dei martelli"
#CH_HIGH_STRESS,"Massimo stress"
#CH_KING_ENEMY,"Lunga vita al re"
#CH_THERMAL_CLIPS,"Caricatori termici"
#CH_POISON_TRAIL,"Scia di veleno"
#CH_ADRENALINE,"Scarica di adrenalina"
#CH_SHOCKWAVE,"Onda d'urto"
#CH_ROCKETS,"La vendetta del Becco"
#CH_MEDUZI,"Lo sguardo della Gorgarma"
#CH_ZONE_CONTROL,"Zona sotto controllo"
#OPTIONS_CONTROLLERTYPES,"Tipi di controller"
#OPTIONS_CONTROLLERTYPES_DEFAULT,"Predefinito"
#OPTIONS_CONTROLLERTYPES_XINPUTONLY,"Solo XInput"
#OPTIONS_CONTROLLERTYPES_NOXINPUT,"Non XInput"
#OPTIONS_ALLOWUNKNOWNCONTROLLERS,"Consenti controller non conosciuti"
#TERMINATOR_SHORTNAME,"Arena"
#TERMINATOR_NAME,"Arena dell'Imperatore"
#TERMINATOR_SECONDLINE,"Il passato (117 anni prima)"
#BULLETPAST_SHORTNAME,"Avventura"
#BULLETPAST_NAME,"Gungeon vero e proprio"
#BULLETPAST_SECONDLINE,"Il passato (? anni prima)"
#SWITCH_PERFORMANCE,"Preset grafico"
#SWITCH_BEAUTY,"Alta"
#SWITCH_BALANCED,"Media"
#SWITCH_SPEED,"Veloce"
#CHAR_RANDOM,"Casuale"
#RELOAD_BEHOLD,"Ammira"
#CH_DEMONWALL,"Guardiani della notte"
#CH_HIGHPRIEST,"Qualcosa di sinistro"
#CH_BOSSSTATUES,"Scacchi avvelenati"
#OPTIONS_AIMASSIST_BEAM,"Facilitazione mira raggio"
#OPTIONS_AIMASSIST_BEAM_BINARY,"Mira assistita raggio"
#OPTIONS_GAMESPEED,"Velocità gioco"
#OPTIONS_GAMESPEED_NORMAL,"Normale"
#OPTIONS_GAMESPEED_TURBO,"Turbo"
#OPTIONS_SPEEDUP_OOC,"+ velocità non in comb."
#OPTIONS_PUNCHOUT_DODGELEFT,"Schivata a sinistra"
#OPTIONS_PUNCHOUT_DODGERIGHT,"Schivata a destra"
#OPTIONS_PUNCHOUT_BLOCK,"Blocco"
#OPTIONS_PUNCHOUT_DUCK,"Accovacciamento"
#OPTIONS_PUNCHOUT_PUNCHLEFT,"Pugno sinistro"
#OPTIONS_PUNCHOUT_PUNCHRIGHT,"Pugno destro"
#OPTIONS_PUNCHOUT_SUPER,"Super"
#OPTIONS_LOOTPROFILE,"Profilo bottini"
#OPTIONS_LOOTPROFILE_AGAD,"Gungeons and Draguns"
#OPTIONS_LOOTPROFILE_OLD,"Originale"
#SUPERDUPERAUTOAIM,"Mira automatica controller"
#SUPERDUPERAUTOAIM_OPTION_01,"Rilevamento automatico"
#SUPERDUPERAUTOAIM_OPTION_02,"Sempre"
#SUPERDUPERAUTOAIM_OPTION_03,"Mai"
#SUPERDUPERAUTOAIM_OPTION_04,"Solo in modalità Coop"
#SUPERDUPERAUTOAIM_INFO_A,"Mira sempre al nemico più vicino."
#SUPERDUPERAUTOAIM_INFO_B,"Mira sempre al nemico più vicino a meno che non sia diasabilitata."
#SUPERDUPERAUTOAIM_WARNING_TITLE,"SUGGERIMENTO:"
#SUPERDUPERAUTOAIM_WARNING_BODY,"usa la %CONTROL_AIM per prendere la mira!"
#SUPERDUPERAUTOAIM_POPUP_TITLE,"Mira automatica attivata""
#SUPERDUPERAUTOAIM_WARNING_BODY_A,"Per disattivarla, accedi alle Opzioni di gioco"
#SUPERDUPERAUTOAIM_WARNING_BODY_B,"Per info, consulta le Opzioni."
#OPTIONS_VIEWPRIVACY,"Politiche Sulla Privacy"
#MISC_TITLE_BASE,"Enter the Gungeon"
#MISC_TITLE_SDU,"Supply Drop Update"
#MISC_TITLE_AGD,"Advanced Gungeons & Draguns"
#MISC_TITLE_AFTA,"A Farewell To Arms"
#MISC_TITLE_AFTA_COMBINED,"Enter the Gungeon: A Farewell To Arms"
#CHAR_SELECT_SWAP_GUNS,"Sostituisci arma iniziale"
#CHAR_SELECT_CHANGE_COSTUME_A,"Indossa costume"
#CHAR_SELECT_CHANGE_COSTUME_B,"Cambia abbigliamento"
#CHAR_SELECT_CHANGE_COSTUME_C,"Indossa"
#PARADOX_CHAR_NOPAST,"Senza passato"
#CHAR_PARADOX,"Il Paradox"
#CHAR_PARADOX_SHORT,"Paradox"
#CHAR_GUNSLINGER,"Il pistolero"
#CHAR_GUNSLINGER_SHORT,"Pistolero"
#NAKATOMI_SHORTNAME_V1,"Ricerca e sviluppo armi"
#NAKATOMI_SHORTNAME_V2,"R&S"
#NAKATOMI_SHORTNAME_V3,"UFFICI COMMERCIALI"
#RAINBOW_POPUP_ACTIVE,"Seguire l'arcobaleno"
#RAINBOW_POPUP_INACTIVE,"Non seguire l'arcobaleno"
