KEY,ES
#OPTIONS_GUNMENU_HOLD,"Menú del arma (mantener)"
#OPTIONS_QUICKSELECT,"Activar cambio rápido de arma"
#OPTIONS_HIDEEMPTYGUNS,"Ocultar armas vacías en combate"
#OPTIONS_DEBRISQUANTITY,"Cantidad de escombros"
#OPTIONS_LIGHTINGQUALITY,"Calidad de iluminación"
#OPTIONS_MONITORSELECT,"Seleccionar monitor"
#OPTIONS_MONITOR,"Monitor"
#OPTIONS_RESOLUTION,"Resolución"
#OPTIONS_SCALINGMODE,"Modo de escala"
#OPTIONS_FULLSCREEN,"Pantalla completa"
#OPTIONS_WINDOWED,"Ventana"
#OPTIONS_BORDERLESS,"Sin bordes"
#OPTIONS_SCREENMODE,"Modo de pantalla"
#OPTIONS_SHADERQUALITY,"Calidad de shader"
#OPTIONS_VSYNC,"Sincronización vertical"
#OPTIONS_RECOMMENDED,"Recomendado"
#OPTIONS_CUSTOM,"Personalizado"
#OPTIONS_VISUALPRESET,"Preajuste visual"
#OPTIONS_REFLECTIONS,"Reflejos en tiempo real"
#OPTIONS_KEYBOARDMOUSE,"Teclado/Ratón"
#OPTIONS_RESOLUTION_BEST,"Relación de aspecto correcta, resolución perfecta.\nLa mejor experiencia visual."
#OPTIONS_RESOLUTION_GOOD,"Relación de aspecto incorrecta, resolución perfecta.\nAparecerán barras negras."
#OPTIONS_RESOLUTION_BAD,"Resolución imperfecta.\nPuede estirar los píxeles, a menos que el modo de escala sea Forzar píxeles perfectos."
#OPTIONS_PIXELPERFECT,"Píxeles perfectos"
#OPTIONS_PIXELPERFECT_INFO,"Diseño visual previsto, hace feliz a nuestro artista.\nSolo disponible al seleccionar la resolución correcta."
#OPTIONS_UNIFORMSCALING,"Escala uniforme"
#OPTIONS_UNIFORMSCALINGFAST,"Escala rápida"
#OPTIONS_UNIFORMSCALING_INFOGOOD,"Relación de aspecto correcta, a escala según tu resolución.\nPíxeles perfectos en este momento."
#OPTIONS_UNIFORMSCALING_INFOBAD,"Relación de aspecto correcta, a escala según tu resolución.\nPíxeles estirados en este momento."
#OPTIONS_FORCEPIXELPERFECT,"Forzar píxeles perfectos"
#OPTIONS_FORCEPIXELPERFECT_INFO,"Diseño visual previsto, hace feliz a nuestro artista.\nPueden aparecer barras negras."
#OPTIONS_MINIMAPSTYLE,"Mostrar minimapa"
#OPTIONS_MINIMAPALWAYS,"Siempre"
#OPTIONS_MINIMAPNONCOMBAT,"Fuera de combate"
#OPTIONS_MINIMAPNEVER,"Nunca"
#OPTIONS_HIGH,"Alta"
#OPTIONS_FAST,"Rápido"
#OPTIONS_MEDIUM,"Media"
#OPTIONS_LOW,"Baja"
#OPTIONS_VERYLOW,"Muy Baja"
#OPTIONS_SLOW,"Lento"
#OPTIONS_INSTANT,"Instantáneo"
#OPTIONS_PS4,"PS4"
#OPTIONS_XBOX,"Xbox"
#OPTIONS_BLANKCONTROL,"Asignación de fogueo adicional"
#OPTIONS_NONE,"Ninguno"
#OPTIONS_BOTHSTICKSDOWN,"Pulsar ambos joysticks"
#OPTIONS_SHOOT,"Disparar"
#OPTIONS_DODGEROLL,"Voltereta"
#OPTIONS_INTERACT,"Interactuar"
#OPTIONS_RELOAD,"Recargar"
#OPTIONS_MOVE,"Ir"
#OPTIONS_MOVEUP,"Subir"
#OPTIONS_MOVEDOWN,"Bajar"
#OPTIONS_MOVELEFT,"Ir a la izquierda"
#OPTIONS_MOVERIGHT,"Ir a la derecha"
#OPTIONS_AIM,"Mirar"
#OPTIONS_AIMUP,"Mirar arriba"
#OPTIONS_AIMDOWN,"Mirar abajo"
#OPTIONS_AIMLEFT,"Mirar a la izquierda"
#OPTIONS_AIMRIGHT,"Mirar a la derecha"
#OPTIONS_MENUUP,"Menu Up"
#OPTIONS_MENUDOWN,"Menu Down"
#OPTIONS_MENULEFT,"Menu Left"
#OPTIONS_MENURIGHT,"Menu Right"
#OPTIONS_MENUSELECT,"Menu Select"
#OPTIONS_MENUCANCEL,"Menu Cancel"
#OPTIONS_USEITEM,"Usar objeto"
#OPTIONS_USEBLANK,"Usar fogueo"
#OPTIONS_MAP,"Mapa"
#OPTIONS_MAP_HOLD,"Mapa (mantener)"
#OPTIONS_CYCLEGUNUP,"Arma siguiente"
#OPTIONS_CYCLEGUNDOWN,"Arma anterior"
#OPTIONS_CYCLEITEMUP,"Objeto siguiente"
#OPTIONS_CYCLEITEMUP_HOLD,"Cambiar objeto (mantener)"
#OPTIONS_CYCLEITEMDOWN,"Objeto anterior"
#OPTIONS_DROPGUN,"Soltar arma (mantener)"
#OPTIONS_DROPITEM,"Soltar objeto (mantener)"
#OPTIONS_LANGUAGE,"Idioma"
#OPTIONS_PAUSE,"Pausa"
#OPTIONS_INVENTORY,"Inventario"
#OPTIONS_EDITKEYBOARDBINDINGS,"Modificar asignación de teclas"
#OPTIONS_PLAYERONE,"Jugador 1"
#OPTIONS_PLAYERTWO,"Jugador 2"
#OPTIONS_CONTROLLERPORT,"Conector de mando"
#OPTIONS_CONTROLLERCURSOR,"Cursor de mando"
#OPTIONS_BUTTONIMAGES,"Imágenes de botones de mando"
#OPTIONS_EDITP1BINDINGS,"Cambiar asignación de mando J1"
#OPTIONS_EDITP2BINDINGS,"Cambiar asignación de mando J2"
#PAUSE_PAUSED,"EN PAUSA"
#PAUSE_RESUME,"Continuar"
#OPTIONS,"Opciones"
#AMMONOMICON,"Balanomicón"
#PAUSE_QUICKRESTART,"Reinicio rápido"
#PAUSE_EXITTOMAINMENU,"Volver al menú principal"
#PAUSE_QUITTODESKTOP,"Salir al escritorio"
#AMMONOMICON_HEADEREQUIPMENT,"Equipamiento"
#AMMONOMICON_HEADERGUNS,"ARMAS"
#AMMONOMICON_HEADERGUNS_LC,"Armas"
#AMMONOMICON_HEADERITEMS,"OBJETOS"
#AMMONOMICON_HEADERENEMIES,"ENEMIGOS"
#AMMONOMICON_HEADERBOSSES,"JEFES"
#JOINEDTHESHOOTOUT1,"SE HA UNIDO"
#JOINEDTHESHOOTOUT2,"AL TIROTEO"
#AMMONOMICON_UNKNOWN,"Desconocido"
#AMMONOMICON_QUESTIONS,"???"
#AMMONOMICON_MYSTERIOUS,"Algunos secretos de la Armazmorra permanecen ocultos."
#DEATH_YOUWON,"HAS GANADO"
#DEATH_YOUDIED,"HAS MUERTO"
#DEATH_GUNGEONEER,"ARMAZMORRISTA"
#DEATH_AREA,"ÁREA"
#DEATH_TIME,"TIEMPO"
#DEATH_MONEY,"DINERO"
#DEATH_KILLS,"ELIMINACIONES"
#DEATH_PASTHAUNTS,"El pasado te atormenta"
#DEATH_PASTKILLED,"Has matado el pasado"
#DEATH_HELLCLEARED,"Mal desterrado"
#DEATH_KILLEDBY,"MATADO POR"
#DEATH_NOBODY,"Nadie. ¡Lo has hecho genial!"
#DEATH_QUICKRESTART,"Reinicio rápido"
#DEATH_MAINMENU,"Volver a la Brecha"
#LANGUAGE_ENGLISH,"Inglés"
#LANGUAGE_SPANISH,"Español"
#LANGUAGE_FRENCH,"Francés"
#LANGUAGE_ITALIAN,"Italiano"
#LANGUAGE_GERMAN,"Alemán"
#LANGUAGE_PORTUGUESE,"Portugués"
#LANGUAGE_POLISH,"Polaco"
#LANGUAGE_RUSSIAN,"Ruso"
#LANGUAGE_JAPANESE,"Japonés"
#LANGUAGE_KOREAN,"Coreano"
#AREYOUSURE,"¿Seguro?"
#AYS_QUITTODESKTOP,"¿Salir al escritorio?"
#AYS_QUICKRESTART,"¿Reiniciar?"
#AYS_SAVEOPTIONS,"¿Guardar cambios?"
#AYS_MADECHANGES,"¿Deshacer cambios?"
#AYS_RESETDEFAULTS,"¿Restaurar por defecto?"
#YES,"Sí"
#NO,"No"
#ENDGAME_STANDARD_THANKS,"¡Gracias por jugar!"
#ENDGAME_STANDARD_MYSTERY,"La Armazmorra aún guarda misterios..."
#ENDGAME_STANDARD_PAST,"Has matado el pasado. La Armazmorra permanece..."
#HOW_TO_PLAY,"Solo tienes que usar la voltereta."
#ACHIEVEMENT_ALTERNATE,"Termina el juego usando solo un arma inicial de munición infinita."
#SELECTITEM,"Seleccionar objeto"
#DROPWORD,"Soltar"
#PANMAP,"Mover cámara en mapa"
#SELECTTELEPORT,"Seleccionar teletransporte"
#TELEPORT,"Teletransporte"
#CURRENTITEM,"Objeto actual"
#CHARACTERSELECT_PASTKILLED,"Pasado matado"
#OPTIONS_RESETSAVESLOT,"Restaurar espacios para guardar"
#AYS_CHANGESAVESLOT,"¿Cambiar espacio para guardar?"
#AYS_RESETSAVESLOT,"¿Restaurar progreso?"
#AYS_RESETSAVESLOT2,"%CURRENTSLOT (%PLAYTIMEHOURS horas)"
#OPTIONS_CONTROLLERSOUND,"Sonido del mando"
#MAINMENU_NEW_PLAY,"Jugar"
#MAINMENU_NEW_QUIT,"Salir"
#MAINMENU_NEW_QUICKSTART,"Inicio rápido"
#EXIT_COOP,"Salir de Cooperativo"
#FULL_CREDITS,"Enter the Gungeon\nby Dodge Roll LLC\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\nSFX by:\nErica Hampson\n\nMusic by:\nAdam 'Doseone' Drucker\n\nAdditional Level Design by:\nJon 'Storklord' Malloy\n\nVO by:\nErica Hampson\nAdam Drucker\nErnest Hampson VI\n\nTesters:\nDaren Makuck\nJames Barry\nJohn Michelli\nThomas Shamburger\nRitvik Bansal\nNorman Ren\nJerome Dendy\nVincent Morreale\n\nPromotional Art by:\nMax Grecke\n\nLogo by:\nCory Schmitz\n\nAdditional Art by:\nJohn Cipriani\nMaximo Lorenzo\nJared Lunt\nEric Polak\nMichael Phillippi\n\nTrailers by:\nKert Gartner\n\nAdditional Footage Capture by:\nDaren Makuck\n\nAnimated Trailer by:\nPowerhouse Animation\n\nWebsite by:\nNoel Barry\n\nComic by:\nDayjob Studio\nFederico Chemello\nRiccardo Gamba\nMaurizio Furini\n\nDevolver Digital:\nNigel Lowrie\nGraeme Struthers\nRick Stults\nHarry Miller\nMike Wilson\nAndrew Parsons\n\nPorting and Optimization Assistance by:\n22nd Century Toys LLC\nTony Bratton\nJoe Barton\nSean Barton\n\nLocalization:\nSophie Cristobal\nLoc & Load\nStudio Muehl\nA.C.E.\nKakehashi Games\nDICO Co., Ltd.\n\nJapanese Localization by:\nKeiko Fukuichi\n\nSpecial Thanks:\nPaul Barnett\nKate Flack\nKate Ludlow\nJohn Bartkiw\nJM Specht\nAthena Frazier\nElizabeth Petrov\nLinsey Miller\nZach Huntly\nNick Suttner\nESC Toys\nNick LaMartina\nLeah Henry\nPam & Frank Plummer\nErnest Hampson III\nLee Hampson\nJohn Yentes\nBrian DiMaggio\nDennis Liang\n\nMade with Unity\n2D Toolkit by Unikron Software\nAlagard Font by Hewett Tsoi 'Pix3M'\n\nPowered by Wwise © 2006 – 2016* Audiokinetic Inc.\nAll rights reserved.\n\n\n\nThanks for playing!"
#MAINMENU_CONTINUE,"Continuar"
#QUICKRESTARTDETAIL,"¿Conservar modificadores?"
#OPTIONS_BEASTMODELVL2,"Modo Bestia nivel 2"
#OPTIONS_TINYUI,"Interfaz minúscula"
#OPTIONS_CHALLENGESLOWDOWN,"Retraso de sala de desafío"
#CH_BEST_FOR_LAST,"Última bala en pie"
#CH_BLOBULIN_RANCHER,"Ranchero de blobulines"
#CH_BOO_ROOM,"No parpadees"
#CH_POT_SHOTS,"Ollas pistoleras"
#CH_CURSE_POTS,"Cerámica maldita"
#CH_DARKNESS,"La noche era oscura"
#CH_DRAGUN,"Rabia de armadragón"
#CH_FINAL_ATTACK,"Ataque final"
#CH_EXPLODING_ENEMIES,"Pira explosiva"
#CH_FLAME_TRAPS,"La venganza de la rata"
#CH_FRIENDLY_FIRE,"Fuego enemigo"
#CH_GHOSTS,"El fantasma del cartucho"
#CH_GUN_QUEUE,"Cola de armas"
#CH_HAMMERTIME,"La hora del martillo"
#CH_HIGH_STRESS,"Mucho estrés"
#CH_KING_ENEMY,"Larga vida al rey"
#CH_THERMAL_CLIPS,"Cargadores térmicos"
#CH_POISON_TRAIL,"Objetivo veneno"
#CH_ADRENALINE,"Subidón de adrenalina"
#CH_SHOCKWAVE,"Onda de choque"
#CH_ROCKETS,"La venganza de la gaviota"
#CH_MEDUZI,"La mirada de la Gorgonarma"
#CH_ZONE_CONTROL,"Control de zona"
#OPTIONS_CONTROLLERTYPES,"Tipos de mando"
#OPTIONS_CONTROLLERTYPES_DEFAULT,"Por defecto"
#OPTIONS_CONTROLLERTYPES_XINPUTONLY,"Solo XInput"
#OPTIONS_CONTROLLERTYPES_NOXINPUT,"Sin XInput"
#OPTIONS_ALLOWUNKNOWNCONTROLLERS,"Permitir mandos desconocidos"
#TERMINATOR_SHORTNAME,"Arena"
#TERMINATOR_NAME,"Arena del Emperador"
#TERMINATOR_SECONDLINE,"El pasado (117 años antes)"
#BULLETPAST_SHORTNAME,"Mazmorra"
#BULLETPAST_NAME,"Armazmorra en sí"
#BULLETPAST_SECONDLINE,"El pasado (? años antes)"
#SWITCH_PERFORMANCE,"Preajuste visual"
#SWITCH_BEAUTY,"Alta"
#SWITCH_BALANCED,"Media"
#SWITCH_SPEED,"Rápido"
#CHAR_RANDOM,"Aleatorio"
#RELOAD_BEHOLD,"Observar"
#CH_DEMONWALL,"Guardia de la Noche"
#CH_HIGHPRIEST,"Algo maligno"
#CH_BOSSSTATUES,"Ajedrez malísimo"
#OPTIONS_AIMASSIST_BEAM,"Nivel de puntería asistida del rayo continuo"
#OPTIONS_AIMASSIST_BEAM_BINARY,"Puntería asistida del rayo continuo"
#OPTIONS_GAMESPEED,"Velocidad del juego"
#OPTIONS_GAMESPEED_NORMAL,"Clásica"
#OPTIONS_GAMESPEED_TURBO,"Turbo"
#OPTIONS_SPEEDUP_OOC,"Aumentar velocidad fuera del combate"
#OPTIONS_PUNCHOUT_DODGELEFT,"Esquivar izquierda"
#OPTIONS_PUNCHOUT_DODGERIGHT,"Esquivar derecha"
#OPTIONS_PUNCHOUT_BLOCK,"Bloquear"
#OPTIONS_PUNCHOUT_DUCK,"Agacharse"
#OPTIONS_PUNCHOUT_PUNCHLEFT,"Puñetazo izquierda"
#OPTIONS_PUNCHOUT_PUNCHRIGHT,"Puñetazo derecha"
#OPTIONS_PUNCHOUT_SUPER,"Súper"
#OPTIONS_LOOTPROFILE,"Perfil de botín"
#OPTIONS_LOOTPROFILE_AGAD,"Gungeons and Draguns"
#OPTIONS_LOOTPROFILE_OLD,"Original"
#SUPERDUPERAUTOAIM,"Puntería automática con mando"
#SUPERDUPERAUTOAIM_OPTION_01,"Detección automática"
#SUPERDUPERAUTOAIM_OPTION_02,"Siempre"
#SUPERDUPERAUTOAIM_OPTION_03,"Nunca"
#SUPERDUPERAUTOAIM_OPTION_04,"Solo modo Cooperativo"
#SUPERDUPERAUTOAIM_INFO_A,"Siempre apunta al enemigo más cercano."
#SUPERDUPERAUTOAIM_INFO_B,"Siempre apunta al enemigo más cercano a menos que se anule."
#SUPERDUPERAUTOAIM_WARNING_TITLE,"PISTA:"
#SUPERDUPERAUTOAIM_WARNING_BODY,"¡Usa %CONTROL_AIM para apuntar!"
#SUPERDUPERAUTOAIM_POPUP_TITLE,"Puntería automática activada"
#SUPERDUPERAUTOAIM_WARNING_BODY_A,"Se puede desactivar en las opciones de juego."
#SUPERDUPERAUTOAIM_WARNING_BODY_B,"Más información en las opciones."
#OPTIONS_VIEWPRIVACY,"Política de Privacidad"
#MISC_TITLE_BASE,"Enter the Gungeon"
#MISC_TITLE_SDU,"Actualización del envío de suministros"
#MISC_TITLE_AGD,"Advanced Gungeons & Draguns"
#MISC_TITLE_AFTA,"A Farewell To Arms"
#MISC_TITLE_AFTA_COMBINED,"Enter the Gungeon: A Farewell To Arms"
#CHAR_SELECT_SWAP_GUNS,"Cambiar arma inicial"
#CHAR_SELECT_CHANGE_COSTUME_A,"Llevar atuendo"
#CHAR_SELECT_CHANGE_COSTUME_B,"Cambiar ropa"
#CHAR_SELECT_CHANGE_COSTUME_C,"Llevar"
#PARADOX_CHAR_NOPAST,"Sin pasado"
#CHAR_PARADOX,"La Paradoja"
#CHAR_PARADOX_SHORT,"Paradoja"
#CHAR_GUNSLINGER,"El Pistolero"
#CHAR_GUNSLINGER_SHORT,"Pistolero"
#NAKATOMI_SHORTNAME_V1,"Dpto. de I+A"
#NAKATOMI_SHORTNAME_V2,"I+D"
#NAKATOMI_SHORTNAME_V3,"CONTABILIDAD"
#RAINBOW_POPUP_ACTIVE,"Modo Arcoíris"
#RAINBOW_POPUP_INACTIVE,"Modo No Arcoíris"
