KEY,DE
#AYS_RESETSAVESLOT2,"%CURRENTSLOT (%PLAYTIMEHOURS Stunden)"
#OPTIONS_CONTROLLERSOUND,"Controller-Sound"
#MAINMENU_NEW_PLAY,"Spielen"
#MAINMENU_NEW_QUIT,"Beenden"
#MAINMENU_NEW_QUICKSTART,"Schnellstart"
#FULL_CREDITS,"Enter the Gungeon\nby Dodge Roll LLC\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\nSFX by:\nErica Hampson\n\nMusic by:\nAdam 'Doseone' Drucker\n\nAdditional Level Design by:\nJon 'Storklord' Malloy\n\nVO by:\nErica Hampson\nAdam Drucker\nErnest Hampson VI\n\nTesters:\nDaren Makuck\nJames Barry\nJohn Michelli\nThomas Shamburger\nRitvik Bansal\nNorman Ren\nJerome Dendy\nVincent Morreale\n\nPromotional Art by:\nMax Grecke\n\nLogo by:\nCory Schmitz\n\nAdditional Art by:\nJohn Cipriani\nMaximo Lorenzo\nJared Lunt\nEric Polak\nMichael Phillippi\n\nTrailers by:\nKert Gartner\n\nAdditional Footage Capture by:\nDaren Makuck\n\nAnimated Trailer by:\nPowerhouse Animation\n\nWebsite by:\nNoel Barry\n\nComic by:\nDayjob Studio\nFederico Chemello\nRiccardo Gamba\nMaurizio Furini\n\nDevolver Digital:\nNigel Lowrie\nGraeme Struthers\nRick Stults\nHarry Miller\nMike Wilson\nAndrew Parsons\n\nPorting and Optimization Assistance by:\n22nd Century Toys LLC\nTony Bratton\nJoe Barton\nSean Barton\n\nLocalization:\nSophie Cristobal\nLoc & Load\nStudio Muehl\nA.C.E.\nKakehashi Games\nDICO Co., Ltd.\n\nJapanese Localization by:\nKeiko Fukuichi\n\nSpecial Thanks:\nPaul Barnett\nKate Flack\nKate Ludlow\nJohn Bartkiw\nJM Specht\nAthena Frazier\nElizabeth Petrov\nLinsey Miller\nZach Huntly\nNick Suttner\nESC Toys\nNick LaMartina\nLeah Henry\nPam & Frank Plummer\nErnest Hampson III\nLee Hampson\nJohn Yentes\nBrian DiMaggio\nDennis Liang\n\nMade with Unity\n2D Toolkit by Unikron Software\nAlagard Font by Hewett Tsoi 'Pix3M'\n\nPowered by Wwise © 2006 – 2016* Audiokinetic Inc.\nAll rights reserved.\n\n\n\nThanks for playing!"
#MAINMENU_CONTINUE,"Fortsetzen"
#QUICKRESTARTDETAIL,"Modifikatoren beibehalten?"
#OPTIONS_BEASTMODELVL2,"Bestienmodus Stufe 2"
#OPTIONS_TINYUI,"Mini-UI"
#OPTIONS_CHALLENGESLOWDOWN,"Herausforderungsraum-Aufschub"
#CH_BEST_FOR_LAST,"Letztes überlebendes Geschoss"
#CH_BLOBULIN_RANCHER,"Blobulinen-Rancher"
#CH_BOO_ROOM,"Nicht blinzeln"
#CH_POT_SHOTS,"Topfschießen"
#CH_CURSE_POTS,"Verfluchte Keramik"
#CH_DARKNESS,"Dunkel war die Nacht"
#CH_DRAGUN,"Drachonenzorn"
#CH_FINAL_ATTACK,"Abschlussangriff"
#CH_EXPLODING_ENEMIES,"Explosive Leichen"
#CH_FLAME_TRAPS,"Rattes Rache"
#CH_FRIENDLY_FIRE,"Eigenbeschuss"
#CH_GHOSTS,"Geisterhafte Geschosse"
#CH_GUN_QUEUE,"Waffenreihenfolge"
#CH_HAMMERTIME,"Hammerzeit"
#CH_HIGH_STRESS,"Erhöhter Stress"
#CH_KING_ENEMY,"Lang lebe der König"
#CH_THERMAL_CLIPS,"Heiße Magazine"
#CH_POISON_TRAIL,"Giftspur"
#CH_ADRENALINE,"Adrenalinrausch"
#CH_SHOCKWAVE,"Schockwelle"
#CH_ROCKETS,"Gatling-Gans' Rache"
#CH_MEDUZI,"Blick der Gorgowumme"
#CH_ZONE_CONTROL,"Zonenkontrolle"
#OPTIONS_CONTROLLERTYPES,"Controllertypen"
#OPTIONS_CONTROLLERTYPES_DEFAULT,"Standard"
#OPTIONS_CONTROLLERTYPES_XINPUTONLY,"Nur XInput"
#OPTIONS_CONTROLLERTYPES_NOXINPUT,"Kein XInput"
#OPTIONS_ALLOWUNKNOWNCONTROLLERS,"Unbekannte Controller zulassen"
#TERMINATOR_SHORTNAME,"Arena"
#TERMINATOR_NAME,"Kaiserliche Arena"
#TERMINATOR_SECONDLINE,"In der Vergangenheit (vor 117 Jahren)"
#BULLETPAST_SHORTNAME,"Abenteuer"
#BULLETPAST_NAME,"Eigentlicher Gungeon"
#BULLETPAST_SECONDLINE,"In der Vergangenheit (vor ? Jahren)"
#SWITCH_PERFORMANCE,"Grafische Voreinstellung"
#SWITCH_BEAUTY,"Hoch"
#SWITCH_BALANCED,"Mittel"
#SWITCH_SPEED,"Schnell"
#CHAR_RANDOM,"Zufall"
#RELOAD_BEHOLD,"Benachten"
#CH_DEMONWALL,"Nachtwache"
#CH_HIGHPRIEST,"Etwas Böses"
#CH_BOSSSTATUES,"Extrem schlechtes Schach"
#OPTIONS_AIMASSIST_BEAM,"Umfang der Strahl-Zielhilfe"
#OPTIONS_AIMASSIST_BEAM_BINARY,"Strahl-Zielhilfe"
#OPTIONS_GAMESPEED,"Spieltempo"
#OPTIONS_GAMESPEED_NORMAL,"Klassisch"
#OPTIONS_GAMESPEED_TURBO,"Turbo"
#OPTIONS_SPEEDUP_OOC,"Tempo erhöhen (außer Kämpfe)"
#OPTIONS_PUNCHOUT_DODGELEFT,"Ausweichen links"
#OPTIONS_PUNCHOUT_DODGERIGHT,"Ausweichen rechts"
#OPTIONS_PUNCHOUT_BLOCK,"Blocken"
#OPTIONS_PUNCHOUT_DUCK,"Ducken"
#OPTIONS_PUNCHOUT_PUNCHLEFT,"Linke Gerade"
#OPTIONS_PUNCHOUT_PUNCHRIGHT,"Rechte Gerade"
#OPTIONS_PUNCHOUT_SUPER,"Superangriff"
#OPTIONS_LOOTPROFILE,"Beuteprofil"
#OPTIONS_LOOTPROFILE_AGAD,"Gungeons and Draguns"
#OPTIONS_LOOTPROFILE_OLD,"Original"
#SUPERDUPERAUTOAIM,"Controller Auto-Zielen"
#SUPERDUPERAUTOAIM_OPTION_01,"Auto-Erkennung"
#SUPERDUPERAUTOAIM_OPTION_02,"Immer"
#SUPERDUPERAUTOAIM_OPTION_03,"Nie"
#SUPERDUPERAUTOAIM_OPTION_04,"Nur KOOP"
#SUPERDUPERAUTOAIM_INFO_A,"Immer auf dichtesten Gegner zielen."
#SUPERDUPERAUTOAIM_INFO_B,"Auf dichtesten Gegner zielen – wenn nicht aufgehoben."
#SUPERDUPERAUTOAIM_WARNING_TITLE,"TIPP:"
#SUPERDUPERAUTOAIM_WARNING_BODY,"%CONTROL_AIM zum Zielen benutzen."
#SUPERDUPERAUTOAIM_POPUP_TITLE,"Auto-Zielen aktiviert"
#SUPERDUPERAUTOAIM_WARNING_BODY_A,"In den Spieloptionen abschaltbar."
#SUPERDUPERAUTOAIM_WARNING_BODY_B,"Mehr Infos in den Optionen."
#OPTIONS_VIEWPRIVACY,"Datenschutzrichtlinie"
#MISC_TITLE_BASE,"Enter the Gungeon"
#MISC_TITLE_SDU,"Supply Drop Update"
#MISC_TITLE_AGD,"Advanced Gungeons & Draguns"
#MISC_TITLE_AFTA,"A Farewell To Arms"
#MISC_TITLE_AFTA_COMBINED,"Enter the Gungeon: A Farewell To Arms"
#CHAR_SELECT_SWAP_GUNS,"Startwaffe wechseln"
#CHAR_SELECT_CHANGE_COSTUME_A,"Kostüm tragen"
#CHAR_SELECT_CHANGE_COSTUME_B,"Kleidung wechseln"
#CHAR_SELECT_CHANGE_COSTUME_C,"Anziehen"
#PARADOX_CHAR_NOPAST,"Keine Vergangenheit"
#CHAR_PARADOX,"Das Paradox"
#CHAR_PARADOX_SHORT,"Paradox"
#CHAR_GUNSLINGER,"Der Revolverheld"
#CHAR_GUNSLINGER_SHORT,"Revolverheld"
#NAKATOMI_SHORTNAME_V1,"F&W-Abt."
#NAKATOMI_SHORTNAME_V2,"F&E"
#NAKATOMI_SHORTNAME_V3,"BUCHHALTUNG"
#RAINBOW_POPUP_ACTIVE,"Regenbogenreise"
#RAINBOW_POPUP_INACTIVE,"Keine Regenbogenreise"
