KEY,JA
#STARSHIP_NAME,"廃船"
#WESTERN_NAME,"西部"
#TUTORIAL_NAME,"知識の殿堂"
#TUTORIAL_DESC,"第0チェンバー"
#AIMLESSVOID_NAME,"時空の狭間"
#AIMLESSVOID_DESC,"第??チェンバー"
#SEWERS_NAME,"下水道"
#NIGHTCLUB_SHORTNAME,"ナイトクラブ"
#NIGHTCLUB_NAME,"ナイトクラブ「コンフェッション」"
#NIGHTCLUB_SECONDLINE,"過去（12年前）"
#SCIENCELAB_SHORTNAME,"ラボ"
#SCIENCELAB_NAME,"プライマーダイン研究所"
#SCIENCELAB_SECONDLINE,"過去（7年前）"
#NAZICASTLE_SHORTNAME,"館"
#NAZICASTLE_NAME,"黒剣団の館"
#NAZICASTLE_SECONDLINE,"過去（1147年前）"
#HEGEMONYSPACE_SHORTNAME,"宇宙"
#HEGEMONYSPACE_NAME,"ヘゲモニー宙域"
#HEGEMONYSPACE_SECONDLINE,"過去（11年前）"
#RELOAD,"リロード"
#RELOAD_EMPTY,"弾切れ"
#RELOAD_FULL,"満タン"
#OPTIONS_AUDIO,"オーディオ"
#OPTIONS_CONTROLS,"操作"
#OPTIONS_GAMEPLAY,"ゲームプレイ"
#OPTIONS_VIDEO,"ビデオ"
#OPTIONS_CANCEL,"キャンセル"
#OPTIONS_RESETDEFAULTS,"デフォルトに戻す"
#OPTIONS_CONFIRM,"適用"
#OPTIONS_MUSICVOLUME,"BGM音量"
#OPTIONS_SFXVOLUME,"効果音音量"
#OPTIONS_UIVOLUME,"UI音量"
#OPTIONS_SPEAKERSETUP,"スピーカー設定"
#OPTIONS_SPEAKERS,"スピーカー"
#OPTIONS_HEADPHONES,"ヘッドフォン"
#OPTIONS_GAMMA,"ガンマ"
#OPTIONS_DISPLAYSAFEAREA,"サイズ"
#OPTIONS_QUICKCHARACTER,"デフォルトキャラ"
#OPTIONS_SPEEDRUN,"タイムアタックモード"
#OPTIONS_BEASTMODE,"ビーストモード"
#OPTIONS_AIMASSIST,"照準アシスト"
#OPTIONS_SCREENSHAKE,"画面の振動"
#OPTIONS_COOPSCREENSHAKE,"協力プレイの振動軽減"
#OPTIONS_STICKYFRICTION,"ヒットストップ"
#OPTIONS_TEXTSPEED,"文字の表示速度"
#OPTIONS_HOWTOPLAY,"遊び方"
#OPTIONS_VIEWCREDITS,"クレジット"
#OPTIONS_CONTROLLERCAMERAMOVES,"照準ロック"
#OPTIONS_SAVESLOT,"セーブスロット"
#OPTIONS_SAVESLOTA,"スロットA"
#OPTIONS_SAVESLOTB,"スロットB"
#OPTIONS_SAVESLOTC,"スロットC"
#OPTIONS_SAVESLOTD,"スロットD"
#OPTIONS_SHOWCONTROLLERCURSOR,"カーソル"
#OPTIONS_CURSOR,"カーソル"
#OPTIONS_ZOOMONLARGEBOSS,"ボスカメラのズーム"
#OPTIONS_RUMBLE,"コントローラーの振動"
#OPTIONS_GUNMENU,"武器メニュー"
#OPTIONS_GUNMENU_HOLD,"武器メニュー（長押し）"
#OPTIONS_QUICKSELECT,"武器クイックチェンジ"
#OPTIONS_HIDEEMPTYGUNS,"戦闘中 弾切れの武器を非表示"
#OPTIONS_DEBRISQUANTITY,"がれきの量"
#OPTIONS_LIGHTINGQUALITY,"ライティング"
#OPTIONS_MONITORSELECT,"モニター選択"
#OPTIONS_MONITOR,"モニター"
#OPTIONS_RESOLUTION,"解像度"
#OPTIONS_SCALINGMODE,"スケーリングモード"
#OPTIONS_FULLSCREEN,"フルスクリーン"
#OPTIONS_WINDOWED,"ウィンドウモード"
#OPTIONS_BORDERLESS,"枠なし"
#OPTIONS_SCREENMODE,"画面モード"
#OPTIONS_SHADERQUALITY,"シェーダー"
#OPTIONS_VSYNC,"V-Sync"
#OPTIONS_RECOMMENDED,"推奨"
#OPTIONS_CUSTOM,"カスタム"
#OPTIONS_VISUALPRESET,"画質プリセット"
#OPTIONS_REFLECTIONS,"リアルタイムリフレクション"
#OPTIONS_KEYBOARDMOUSE,"キーボード/マウス"
#OPTIONS_RESOLUTION_BEST,"画面に合ったアスペクト比、最適な解像度\n最高画質で表示されます"
#OPTIONS_RESOLUTION_GOOD,"画面に合わないアスペクト比、最適な解像度\n画面上下に黒いバーが表示されます"
#OPTIONS_RESOLUTION_BAD,"最適ではない解像度（スケーリングモードを「最適に調整」に\n設定しないと、ピクセルが拡大される可能性があります）"
#OPTIONS_PIXELPERFECT,"最適"
#OPTIONS_PIXELPERFECT_INFO,"開発者が想定した最適な画質です\n（正しい解像度を選択した場合のみ有効）"
#OPTIONS_UNIFORMSCALING,"均等スケーリング"
#OPTIONS_UNIFORMSCALINGFAST,"速い均等スケーリング"
#OPTIONS_UNIFORMSCALING_INFOGOOD,"画面に合ったアスペクト比、解像度に合わせてピクセル拡大\n現在は「最適」です"
#OPTIONS_UNIFORMSCALING_INFOBAD,"画面に合ったアスペクト比、解像度に合わせてピクセル拡大\n現在、ピクセルが拡大されています"
#OPTIONS_FORCEPIXELPERFECT,"最適に調整"
#OPTIONS_FORCEPIXELPERFECT_INFO,"開発者が想定した最適な画質です\n画面上下に黒いバーが表示されます"
#OPTIONS_MINIMAPSTYLE,"ミニマップ表示"
#OPTIONS_MINIMAPALWAYS,"常に表示"
#OPTIONS_MINIMAPNONCOMBAT,"戦闘中以外"
#OPTIONS_MINIMAPNEVER,"表示しない"
#OPTIONS_HIGH,"高"
#OPTIONS_FAST,"速め"
#OPTIONS_MEDIUM,"中"
#OPTIONS_LOW,"低"
#OPTIONS_VERYLOW,"とても低い"
#OPTIONS_SLOW,"ゆっくりめ"
#OPTIONS_INSTANT,"超速め"
#OPTIONS_PS4,"PS4"
#OPTIONS_XBOX,"Xbox"
#OPTIONS_BLANKCONTROL,"ブランク使用ショートカット"
#OPTIONS_NONE,"なし"
#OPTIONS_BOTHSTICKSDOWN,"両スティック押し込み"
#OPTIONS_SHOOT,"攻げき"
#OPTIONS_DODGEROLL,"ドッジロール"
#OPTIONS_INTERACT,"アクション"
#OPTIONS_RELOAD,"リロード"
#OPTIONS_MOVE,"移動"
#OPTIONS_MOVEUP,"上に移動"
#OPTIONS_MOVEDOWN,"下に移動"
#OPTIONS_MOVELEFT,"左に移動"
#OPTIONS_MOVERIGHT,"右に移動"
#OPTIONS_AIM,"狙"
#OPTIONS_AIMUP,"上に狙"
#OPTIONS_AIMDOWN,"下に狙"
#OPTIONS_AIMLEFT,"左に狙"
#OPTIONS_AIMRIGHT,"右に狙"
#OPTIONS_MENUUP,"Menu Up"
#OPTIONS_MENUDOWN,"Menu Down"
#OPTIONS_MENULEFT,"Menu Left"
#OPTIONS_MENURIGHT,"Menu Right"
#OPTIONS_MENUSELECT,"Menu Select"
#OPTIONS_MENUCANCEL,"Menu Cancel"
#OPTIONS_USEITEM,"アイテム使用"
#OPTIONS_USEBLANK,"ブランク使用"
#OPTIONS_MAP,"マップ"
#OPTIONS_MAP_HOLD,"マップ（長押し）"
#OPTIONS_CYCLEGUNUP,"武器切替"
#OPTIONS_CYCLEGUNDOWN,"武器切替（戻）"
#OPTIONS_CYCLEITEMUP,"アイテム切替"
#OPTIONS_CYCLEITEMUP_HOLD,"アイテム切替（長押し）"
#OPTIONS_CYCLEITEMDOWN,"アイテム切替（戻）"
#OPTIONS_DROPGUN,"武器投棄（長押し）"
#OPTIONS_DROPITEM,"アイテム投棄（長押し）"
#OPTIONS_LANGUAGE,"言語"
#OPTIONS_PAUSE,"ポーズ"
#OPTIONS_INVENTORY,"インベントリ"
#OPTIONS_EDITKEYBOARDBINDINGS,"キーボード設定変更"
#OPTIONS_PLAYERONE,"プレイヤー1"
#OPTIONS_PLAYERTWO,"プレイヤー2"
#OPTIONS_CONTROLLERPORT,"コントローラーポート"
#OPTIONS_CONTROLLERCURSOR,"コントローラのカーソル"
#OPTIONS_BUTTONIMAGES,"ボタンのアイコン"
#OPTIONS_EDITP1BINDINGS,"P1コントローラーの設定変更"
#OPTIONS_EDITP2BINDINGS,"P2コントローラーの設定変更"
#PAUSE_PAUSED,"ポーズ中"
#PAUSE_RESUME,"再開"
#OPTIONS,"オプション"
#AMMONOMICON,"アモノミコン"
#PAUSE_QUICKRESTART,"クイックリスタート"
#PAUSE_EXITTOMAINMENU,"メインメニューへ"
#PAUSE_QUITTODESKTOP,"ゲームを終了"
#AMMONOMICON_HEADEREQUIPMENT,"そうび"
#AMMONOMICON_HEADERGUNS,"銃"
#AMMONOMICON_HEADERGUNS_LC,"銃"
#AMMONOMICON_HEADERITEMS,"アイテム"
#AMMONOMICON_HEADERENEMIES,"敵"
#AMMONOMICON_HEADERBOSSES,"ボス"
#JOINEDTHESHOOTOUT1,"コレクションに"
#JOINEDTHESHOOTOUT2,"追加!"
#AMMONOMICON_UNKNOWN,"未発見"
#AMMONOMICON_QUESTIONS,"???"
#AMMONOMICON_MYSTERIOUS,"ガンジョンにはまだナゾがひそむ..."
#DEATH_YOUWON,"YOU WON"
#DEATH_YOUDIED,"YOU DIED"
#DEATH_GUNGEONEER,"ガンジョニア"
#DEATH_AREA,"エリア"
#DEATH_TIME,"タイム"
#DEATH_MONEY,"最高所持金額"
#DEATH_KILLS,"キル"
#DEATH_PASTHAUNTS,"過去はまだ始末していない"
#DEATH_PASTKILLED,"過去を始末した!"
#DEATH_HELLCLEARED,"悪は滅んだ!"
#DEATH_KILLEDBY,"死因"
#DEATH_NOBODY,"ナシ! お見事!"
#DEATH_QUICKRESTART,"クイックリスタート"
#DEATH_MAINMENU,"エントランスへ"
#LANGUAGE_ENGLISH,"英語"
#LANGUAGE_SPANISH,"スペイン語"
#LANGUAGE_FRENCH,"フランス語"
#LANGUAGE_ITALIAN,"イタリア語"
#LANGUAGE_GERMAN,"ドイツ語"
#LANGUAGE_PORTUGUESE,"ポルトガル語"
#LANGUAGE_POLISH,"ポーランド語"
#LANGUAGE_RUSSIAN,"ロシア語"
#LANGUAGE_JAPANESE,"日本語"
#LANGUAGE_KOREAN,"韓国語"
#AREYOUSURE,"本当に?"
#AYS_QUITTODESKTOP,"ゲームを終了?"
#AYS_QUICKRESTART,"リスタート?"
#AYS_SAVEOPTIONS,"変更を適用?"
#AYS_MADECHANGES,"変更を破棄?"
#AYS_RESETDEFAULTS,"デフォルトに戻す?"
#YES,"はい"
#NO,"いいえ"
#ENDGAME_STANDARD_THANKS,"プレイしてくれてありがとう!"
#ENDGAME_STANDARD_MYSTERY,"ガンジョンにはまだナゾが残る..."
#ENDGAME_STANDARD_PAST,"過去は始末した。 だが、ガンジョンはまだ呼んでいる..."
#HOW_TO_PLAY,"ドッジロールを使えば何とかなる。"
#ACHIEVEMENT_ALTERNATE,"弾薬無制限の初期そうび武器だけを使って、ゲームをクリアする"
#SELECTITEM,"アイテムを選択"
#DROPWORD,"捨てる"
#PANMAP,"マップをパン"
#SELECTTELEPORT,"テレポーターを選択"
#TELEPORT,"テレポート"
#CURRENTITEM,"現在のアイテム"
#CHARACTERSELECT_PASTKILLED,"過去を始末した"
#OPTIONS_RESETSAVESLOT,"セーブスロットの使用状況をリセット"
#AYS_CHANGESAVESLOT,"セーブスロットを変える?"
#AYS_RESETSAVESLOT,"リセットする?"
#AYS_RESETSAVESLOT2,"%CURRENTSLOT（%PLAYTIMEHOURS時間）"
#OPTIONS_CONTROLLERSOUND,"コントローラー入力音"
#MAINMENU_NEW_PLAY,"プレイ"
#MAINMENU_NEW_QUIT,"終了"
#MAINMENU_NEW_QUICKSTART,"クイックスタート"
#EXIT_COOP,"協力プレイ終了"
#FULL_CREDITS,"Enter the Gungeon\nby Dodge Roll LLC\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\nSFX by:\nErica Hampson\n\nMusic by:\nAdam 'Doseone' Drucker\n\nAdditional Level Design by:\nJon 'Storklord' Malloy\n\nVO by:\nErica Hampson\nAdam Drucker\nErnest Hampson VI\n\nTesters:\nDaren Makuck\nJames Barry\nJohn Michelli\nThomas Shamburger\nRitvik Bansal\nNorman Ren\nJerome Dendy\nVincent Morreale\n\nPromotional Art by:\nMax Grecke\n\nLogo by:\nCory Schmitz\n\nAdditional Art by:\nJohn Cipriani\nMaximo Lorenzo\nJared Lunt\nEric Polak\nMichael Phillippi\n\nTrailers by:\nKert Gartner\n\nAdditional Footage Capture by:\nDaren Makuck\n\nAnimated Trailer by:\nPowerhouse Animation\n\nWebsite by:\nNoel Barry\n\nComic by:\nDayjob Studio\nFederico Chemello\nRiccardo Gamba\nMaurizio Furini\n\nDevolver Digital:\nNigel Lowrie\nGraeme Struthers\nRick Stults\nHarry Miller\nMike Wilson\nAndrew Parsons\n\nPorting and Optimization Assistance by:\n22nd Century Toys LLC\nTony Bratton\nJoe Barton\nSean Barton\n\nLocalization:\nSophie Cristobal\nLoc & Load\nStudio Muehl\nA.C.E.\nKakehashi Games\nDICO Co., Ltd.\n\nJapanese Localization by:\nKeiko Fukuichi\n\nSpecial Thanks:\nPaul Barnett\nKate Flack\nKate Ludlow\nJohn Bartkiw\nJM Specht\nAthena Frazier\nElizabeth Petrov\nLinsey Miller\nZach Huntly\nNick Suttner\nESC Toys\nNick LaMartina\nLeah Henry\nPam & Frank Plummer\nErnest Hampson III\nLee Hampson\nJohn Yentes\nBrian DiMaggio\nDennis Liang\n\nMade with Unity\n2D Toolkit by Unikron Software\nAlagard Font by Hewett Tsoi 'Pix3M'\n\nPowered by Wwise © 2006 – 2016* Audiokinetic Inc.\nAll rights reserved.\n\n\n\nThanks for playing!"
#MAINMENU_CONTINUE,"続ける"
#QUICKRESTARTDETAIL,"特別ルールをキープ?"
#OPTIONS_BEASTMODELVL2,"ビーストモードLvl2"
#OPTIONS_TINYUI,"UI最小化"
#OPTIONS_CHALLENGESLOWDOWN,"チャレンジ入室時スロー効果"
#CH_BEST_FOR_LAST,"ラストキング"
#CH_BLOBULIN_RANCHER,"プニョファーム"
#CH_BOO_ROOM,"「弾丸が転んだ」"
#CH_POT_SHOTS,"ポットショット"
#CH_CURSE_POTS,"呪いのツボ"
#CH_DARKNESS,"闇の試練"
#CH_DRAGUN,"ドラガンの怒り"
#CH_FINAL_ATTACK,"デスアタック"
#CH_EXPLODING_ENEMIES,"ボム・オブ・ザ・デッド"
#CH_FLAME_TRAPS,"ネズミの復しゅう"
#CH_FRIENDLY_FIRE,"フレンドリーファイア"
#CH_GHOSTS,"GHOST OF THE SHELL"
#CH_GUN_QUEUE,"ガンパレード"
#CH_HAMMERTIME,"ハンマータイム"
#CH_HIGH_STRESS,"キラーストレス"
#CH_KING_ENEMY,"国王バンザイ!"
#CH_THERMAL_CLIPS,"サーマルクリップ"
#CH_POISON_TRAIL,"ポイズンチェイサー"
#CH_ADRENALINE,"アドレナリンラッシュ"
#CH_SHOCKWAVE,"ショックウェーブ"
#CH_ROCKETS,"ガルの復しゅう"
#CH_MEDUZI,"ゴルガンの視線"
#CH_ZONE_CONTROL,"ゾーンコントロール"
#OPTIONS_CONTROLLERTYPES,"コントローラーの種類"
#OPTIONS_CONTROLLERTYPES_DEFAULT,"デフォルト"
#OPTIONS_CONTROLLERTYPES_XINPUTONLY,"Xinputのみ"
#OPTIONS_CONTROLLERTYPES_NOXINPUT,"Xinput以外"
#OPTIONS_ALLOWUNKNOWNCONTROLLERS,"不明なコントローラーを許可"
#TERMINATOR_SHORTNAME,"闘技場"
#TERMINATOR_NAME,"EMP-R0Rの闘技場"
#TERMINATOR_SECONDLINE,"過去（117年前）"
#BULLETPAST_SHORTNAME,"ダンジョン"
#BULLETPAST_NAME,"メインガンジョン"
#BULLETPAST_SECONDLINE,"過去（?年前）"
#SWITCH_PERFORMANCE,"画質プリセット"
#SWITCH_BEAUTY,"高"
#SWITCH_BALANCED,"中"
#SWITCH_SPEED,"速め"
#CH_DEMONWALL,"壁の守人"
#CH_HIGHPRIEST,"邪教の呪い"
#CH_BOSSSTATUES,"キラーチェス"
#OPTIONS_AIMASSIST_BEAM,"継続ビームエイムアシストの量"
#OPTIONS_AIMASSIST_BEAM_BINARY,"コントローラービームエイムアシスト"
#OPTIONS_GAMESPEED,"ゲームの速度"
#OPTIONS_GAMESPEED_NORMAL,"通常"
#OPTIONS_GAMESPEED_TURBO,"ターボ"
#OPTIONS_SPEEDUP_OOC,"戦闘以外はスピードアップ"
#OPTIONS_PUNCHOUT_DODGELEFT,"左へよける"
#OPTIONS_PUNCHOUT_DODGERIGHT,"右へよける"
#OPTIONS_PUNCHOUT_BLOCK,"ブロック"
#OPTIONS_PUNCHOUT_DUCK,"かがむ"
#OPTIONS_PUNCHOUT_PUNCHLEFT,"左ジャブ"
#OPTIONS_PUNCHOUT_PUNCHRIGHT,"右ジャブ"
#OPTIONS_PUNCHOUT_SUPER,"スーパーパンチ"
#SUPERDUPERAUTOAIM,"コントローラーオートエイム"
#SUPERDUPERAUTOAIM_OPTION_01,"自動"
#SUPERDUPERAUTOAIM_OPTION_02,"オン"
#SUPERDUPERAUTOAIM_OPTION_03,"オフ"
#SUPERDUPERAUTOAIM_OPTION_04,"協力モードのみ"
#SUPERDUPERAUTOAIM_INFO_A,"一番近い敵を自動的に狙います。"
#SUPERDUPERAUTOAIM_INFO_B,"入力がないかぎり、一番近い敵を自動的に狙います。"
#SUPERDUPERAUTOAIM_WARNING_TITLE,"HINT:"
#SUPERDUPERAUTOAIM_WARNING_BODY,"%CONTROL_AIM で狙いをつけて！"
#SUPERDUPERAUTOAIM_POPUP_TITLE,"オートエイムを設定中"
#SUPERDUPERAUTOAIM_WARNING_BODY_A,"オプションでOFFにできます。"
#SUPERDUPERAUTOAIM_WARNING_BODY_B,"詳しくはオプション画面で。"
#OPTIONS_VIEWPRIVACY,"プライバシーポリシー"
#CHAR_RANDOM,"ランダム"
#RELOAD_BEHOLD,"BEHOLD"
#OPTIONS_LOOTPROFILE,"アイテムドロップ"
#OPTIONS_LOOTPROFILE_AGAD,"Gungeons and Draguns"
#OPTIONS_LOOTPROFILE_OLD,"オリジナル"
#MISC_TITLE_BASE,"Enter the Gungeon"
#MISC_TITLE_SDU,"Supply Drop Update"
#MISC_TITLE_AGD,"Advanced Gungeons & Dragons"
#MISC_TITLE_AFTA,"A Farewell To Arms"
#MISC_TITLE_AFTA_COMBINED,"Enter the Gungeon: A Farewell To Arms"
#CHAR_SELECT_SWAP_GUNS,"初期装備切替"
#CHAR_SELECT_CHANGE_COSTUME_A,"コスチューム着用"
#CHAR_SELECT_CHANGE_COSTUME_B,"衣装変更"
#CHAR_SELECT_CHANGE_COSTUME_C,"着用"
#PARADOX_CHAR_NOPAST,"過去を持たない"
#CHAR_PARADOX,"パラドックス"
#CHAR_PARADOX_SHORT,"パラドックス"
#CHAR_GUNSLINGER,"ガンスリンガー"
#CHAR_GUNSLINGER_SHORT,"ガンスリンガー"
#NAKATOMI_SHORTNAME_V1,"研銃開発部"
#NAKATOMI_SHORTNAME_V2,"研銃開発"
#NAKATOMI_SHORTNAME_V3,"経理部"
#RAINBOW_POPUP_ACTIVE,"レインボーモードON"
#RAINBOW_POPUP_INACTIVE,"レインボーモードOFF"
#FULL_CREDITS_v2,"Enter the Gungeon\nby Dodge Roll\n\nDave Crooks\nJoe Harty\nDavid Rubel\nBrent Sodman\n\nSFX:\nErica Hampson\n\n音楽:\nAdam 'Doseone' Drucker\n\n補足レベルデザイン:\nJon 'Storklord' Malloy\n\n声の出演:\nErica Hampson\nAdam Drucker\nErnest Hampson VI\n\nCam Clarke (Agunim)\n\nテスター:\nDaren Makuck\nJames Barry\nJohn Michelli\nThomas Shamburger\nRitvik Bansal\nNorman Ren\nJerome Dendy\nVincent Morreale\n\nプロモーションアート:\nMax Grecke\n\nロゴ:\nCory Schmitz\n\n補足アート:\nJohn Cipriani\nMaximo Lorenzo\nJared Lunt\nEric Polak\nMichael Phillippi\n\nトレーラー:\nKert Gartner\n\n補足映像キャプチャ:\nDaren Makuck\n\nアニメーショントレーラー:\nPowerhouse Animation\n\nWebサイト:\nNoel Barry\n\nコミック:\nDayjob Studio\nFederico Chemello\nRiccardo Gamba\nMaurizio Furini\n\nDevolver Digital:\nNigel Lowrie\nGraeme Struthers\nRick Stults\nHarry Miller\nMike Wilson\nAndrew Parsons\n\n移植／最適化補佐:\n22nd Century Toys LLC\nTony Bratton\nJoe Barton\nSean Barton\n\nローカライズ:\nSophie Cristobal\nLoc & Load\nStudio Muehl\nA.C.E.\nKakehashi Games\nDICO Co., Ltd.\n\n日本語ローカライズ:\nKeiko Fukuichi\n\nSPECIAL THANKS:\nPaul Barnett\nKate Flack\nKate Ludlow\nJohn Bartkiw\nJM Specht\nAthena Frazier\nElizabeth Petrov\nLinsey Miller\nAlec Fisher-Lasky\nEric Hamel\nZach Huntley\nNick Suttner\nESC Toys\nNick LaMartina\nLeah Henry\nPam & Frank Plummer\nErnest Hampson III\nLee Hampson\nJohn Yentes\nBrian DiMaggio\nKevin Changhan Lee\nDennis Liang\nNicholas Wen-Kai Bransfield Chen\nBrian 'Brilingual' Gray\n\nMade with Unity\n2D Toolkit by Unikron Software\nAlagard Font by Hewett Tsoi 'Pix3M'\n\nPowered by Wwise © 2006 – 2016* Audiokinetic Inc.\nAll rights reserved."
